 	lo	sentii	che	viene	</S>
t	0.99849033	0.0014660265	3.034792e-05	1.2437183e-05	8.316745e-07
o	0.9666386	0.033353068	8.100646e-06	1.8739678e-07	2.4107528e-08
n	0.89370304	0.10628207	1.4360579e-05	6.39086e-08	4.2989944e-07
ì	0.19840708	0.7555232	0.044818915	0.00080026477	0.0004505959
k	0.07433731	0.22283386	0.6636004	0.009435539	0.029792935
u	0.13971439	0.31226954	0.5181017	0.019049432	0.01086496
s	0.10445067	0.16383176	0.62386227	0.052889515	0.05496577
a	0.08146809	0.12091606	0.4718515	0.031863566	0.29390073
n	0.07239299	0.089912705	0.2718377	0.119174615	0.44668192
a	0.14798608	0.14220265	0.21530928	0.16681613	0.32768586
r	0.027019931	0.030095574	0.06605744	0.49848765	0.37833932
t	0.038383823	0.03893567	0.06107269	0.292327	0.5692808
i	0.9350977	0.029759465	0.0031650285	0.0006399841	0.031337872
</S>	0.022066703	0.02394426	0.042929225	0.36980033	0.5412595
