 	lo	ho	finito	di	fare	</S>
t	0.9908857	0.0055416413	0.0035699992	2.7463818e-06	4.538551e-09	4.2826622e-09
o	0.86710215	0.13209572	0.00078757724	1.4585132e-05	2.999636e-10	8.1456446e-11
s	0.7810819	0.1993936	0.019523114	1.364743e-06	1.7081614e-09	3.658441e-09
p	0.09438979	0.5602453	0.33296767	0.012396784	1.383014e-07	3.652301e-07
ì	0.3953181	0.48852935	0.1040524	0.012099548	2.1786667e-07	3.5965422e-07
c	0.06838832	0.37746865	0.54985595	0.0042843227	2.097318e-06	6.565179e-07
c	0.06524905	0.40019995	0.52859634	0.005878773	3.289562e-05	4.2986503e-05
e	0.13691418	0.49904987	0.36248812	0.0015453107	2.1765867e-07	2.220309e-06
t	0.045121778	0.14047842	0.3249062	0.48945153	3.4429247e-06	3.8513524e-05
s	0.14680761	0.27964258	0.51340204	0.054293796	0.005078051	0.0007759476
a	0.1510062	0.23081577	0.6049349	0.012133859	0.00080504746	0.0003041799
a	0.058272243	0.07538008	0.113496296	0.7506088	0.00021862851	0.0020240687
t	0.057610203	0.06911502	0.09478264	0.7552729	0.0022216039	0.020997642
s	0.09696323	0.10309782	0.11823326	0.2512948	0.2635404	0.16687052
è	0.18421543	0.029781112	0.02882842	0.1399089	0.60160553	0.015660591
k	0.06451673	0.0676978	0.074001305	0.3209863	0.043762982	0.42903486
à	0.02415593	0.026347348	0.03103188	0.19125392	0.36964408	0.3575668
m	0.02890118	0.029632635	0.031124804	0.085375406	0.3178894	0.5070766
i	0.030434934	0.030551435	0.030921144	0.07303278	0.45199102	0.38306868
</S>	0.035828296	0.035939395	0.036152802	0.043141536	0.2244281	0.6245099
