 	mia	sorella	ancora	non	è	venuta	qui	</S>
t	0.988392465	0.011508185	9.63347525e-05	1.7044288455e-06	2.68811520575e-07	8.16064424398e-07	7.7690508725e-08	2.01649658032e-08
i	0.979206465	0.0207587686667	3.37525473167e-05	5.750998165e-07	9.42940014083e-08	2.75886069731e-07	2.61888959583e-08	7.00487974653e-09
n	0.831369968333	0.165534323889	0.00270910460392	0.000372789896043	1.1282138138e-05	2.56674163524e-06	1.01083117528e-08	5.73229285884e-09
a	0.585753192778	0.385827951296	0.0278539565346	0.000538257948681	1.56876465793e-05	1.10268128784e-05	4.8006226176e-09	5.85928455295e-09
d	0.380784870926	0.570888450432	0.0475583701782	0.00074082029956	1.49935197264e-05	1.25190758595e-05	1.67632403725e-08	3.67046151765e-09
r	0.479325616975	0.489891586811	0.0299960274794	0.000767038845843	1.43211847555e-05	5.31624519355e-06	1.14074490124e-07	2.20210806588e-09
e	0.501480315658	0.485951298937	0.0122972379131	0.000263846332604	5.19715556517e-06	2.00468867157e-06	1.32557708175e-07	4.38182151529e-09
f	0.274802241886	0.698711946312	0.018395885971	0.00779320464887	0.000293033127322	3.59526849052e-06	1.06943077525e-07	7.53936317176e-09
f	0.299862510629	0.671118428771	0.0183298759637	0.010296084435	0.000389115131341	3.89291699576e-06	1.12534600842e-07	5.59384832392e-09
ì	0.31589784021	0.65186321959	0.0238740202946	0.00768107719703	0.00067877093268	3.8389539975e-06	7.85744135281e-07	4.70044980708e-07
m	0.218519613403	0.644889049863	0.115044221765	0.020303042899	0.00121629627756	2.37134184992e-05	3.31524421176e-06	7.57726860236e-07
m	0.249712844468	0.595449783288	0.133688583255	0.0202660585137	0.000850454160187	2.77970093294e-05	4.05416003725e-06	4.37035523412e-07
u	0.236983103156	0.435958687763	0.309841863752	0.0109174733852	0.0060111614544	0.000284999775273	2.48625841242e-06	2.55533607804e-07
a	0.113429795052	0.196617280254	0.505124054584	0.138068092462	0.0457784688181	0.000980413791758	1.41616785747e-06	5.15281565935e-07
n	0.0869925140173	0.108334069751	0.423205131528	0.310570017487	0.0676915952727	0.00318885476392	1.65234402392e-05	1.31862185531e-06
k	0.292997564672	0.14347727525	0.270077493843	0.247588359162	0.0420410550909	0.00353896385464	0.000179045813413	0.000100263723118
ò	0.329442406891	0.134112178417	0.184125244614	0.233552079721	0.0960260960303	0.0220990038849	0.000486252867804	0.000156751181039
r	0.12913477963	0.0735667274723	0.292098491538	0.298392776574	0.176100315343	0.0297508346283	0.000738311222601	0.00021778043368
a	0.07048784521	0.0586096631574	0.284086995179	0.257927035525	0.312720728448	0.0152469785428	0.000638881580867	0.000281879511227
e	0.0462471384033	0.0423584457191	0.142062398393	0.246284411842	0.380006542816	0.129858743848	0.0121455709003	0.00103677176041
n	0.0466664144678	0.0420026992397	0.0932109747977	0.291693370614	0.317960254272	0.172678351283	0.0320672836334	0.00372070102014
ì	0.0495831781559	0.0453335517466	0.0778600592659	0.295403876871	0.291705398091	0.157262577094	0.0769886012111	0.00586276850671
r	0.0421365643853	0.0406816895822	0.0659225107553	0.30811366229	0.28464581603	0.156467776365	0.0919818920704	0.0100500755022
t	0.0854935147951	0.0392629555274	0.0539409565851	0.294153774097	0.308776615343	0.0647844469417	0.0992687323568	0.0543190288341
e	0.100053528265	0.0390222885091	0.0411791005284	0.190511254699	0.267964498448	0.0455589464672	0.150402880786	0.165307559611
e	0.0600903960883	0.0396655608364	0.0424107171761	0.123516800566	0.166661524149	0.100620232156	0.297124516929	0.169910313204
t	0.0421229510294	0.0280717149455	0.0427234940587	0.0744827391887	0.0915297247163	0.0951330472653	0.530893388976	0.095042971068
t	0.0363149293431	0.0155201301485	0.0305788206696	0.0408707342629	0.0451946994721	0.0318255232451	0.736018746325	0.0636764270227
ù	0.0306078894477	0.0147408372162	0.0171550822065	0.0263300392876	0.0288254203907	0.0461209853584	0.672646808775	0.163572939008
</S>	0.0250630942239	0.0171472616081	0.0188384651032	0.0294992946438	0.0337905321953	0.0763005176792	0.513339944387	0.286020869504
