 	è	che	sono	ancora	svegli	che	ha	la	luce	accesa	</S>
è	0.971202715	0.026526492	0.0015324286	0.00056961953725	8.044222635e-05	8.589707917e-05	2.084890685e-06	2.85381159e-07	3.83082388e-08	3.569529e-08	3.23060022e-08
n	0.788698031667	0.195031799333	0.0152849635	0.00090924163725	4.398886635e-05	2.91579088033e-05	1.01842133167e-06	1.824095059e-06	1.96406431333e-08	1.37975217e-08	1.16170397667e-08
a	0.448561203889	0.469626649778	0.0801587745	0.00160326517908	3.69549307833e-05	1.0225658406e-05	5.98457081223e-07	2.3200933164e-06	1.25845651211e-08	5.14168417667e-09	4.0688834889e-09
s	0.25584771463	0.543102349926	0.129006408167	0.0509355099597	0.00147300615226	0.0194676491953	0.000154573680351	1.26980445355e-05	5.3006268117e-08	2.25966593556e-09	1.7910121963e-09
t	0.276334184877	0.541328049975	0.087135461889	0.0670378812199	0.00196525847075	0.0259758620401	0.00020665171645	1.65463508118e-05	8.0022091039e-08	2.46647927852e-09	1.07054859877e-09
a	0.240428344959	0.467838363325	0.236325716463	0.0458626383066	0.000784324363583	0.00868497880903	6.965805521e-05	5.91355437393e-06	4.1759520013e-08	2.39478611284e-09	9.14043332923e-10
s	0.133854001653	0.344441554442	0.441944998821	0.0741318861022	0.000691951794528	0.00454132599034	0.000228804111797	0.000165326846261	1.36877438004e-07	2.62146705761e-09	7.77372444308e-10
ù	0.0891202558843	0.247341923147	0.437567839607	0.217849875367	0.00439925161818	0.00321992812678	0.000282287543199	0.000218491267344	1.71756241335e-07	2.7194916192e-09	2.54564051477e-09
n	0.0732891589614	0.169678759382	0.453787693202	0.294409141789	0.00654463047273	0.00208353300559	0.000108493442333	9.85342277047e-05	8.22414111117e-08	1.2931092164e-09	3.10181619826e-09
a	0.0616029586538	0.129979489794	0.390687977734	0.30909869393	0.0606571294242	0.0477693274019	0.000144932302778	5.94512262349e-05	5.11091139039e-08	5.95737432133e-10	1.42910175942e-09
n	0.0523286368846	0.0842066432647	0.291302635911	0.397011587977	0.0844318514747	0.0845203158006	0.00515803346759	0.00103799060574	2.28884906617e-06	2.66677674274e-08	3.84921375314e-09
k	0.172107538962	0.161168674422	0.219615185304	0.286486220992	0.0388132738249	0.110844451934	0.00885213882253	0.00205645490191	5.44048107887e-05	1.64690695914e-06	4.22462900844e-08
ò	0.195218651987	0.168153269141	0.151188971768	0.238005245331	0.068843326275	0.161966960645	0.0136096306075	0.00293691793397	7.46702499296e-05	2.24536342638e-06	1.53345863361e-07
r	0.0963285996623	0.0971439107137	0.225779480589	0.359668741777	0.0792807697583	0.125354880215	0.0133022538025	0.00297760664466	0.00016141729631	2.11238804879e-06	2.58670344454e-07
a	0.0693178732208	0.0767836735712	0.214923064863	0.322201390592	0.201198177586	0.067039432405	0.0463989322008	0.00194844198155	0.000186846101103	1.9924449526e-06	2.04825113151e-07
a	0.0425934047403	0.0458119595237	0.0984680919543	0.199205492197	0.352939575862	0.143842063135	0.1105249474	0.00654228029385	7.13993060343e-05	6.88148338533e-07	1.28544119384e-07
