 	quando	venne	Giovanni	Anna	aveva	già	dormito	</S>
m	0.7952405	0.045649443	0.053824894	0.010188333	0.032618437	0.010788306	0.039370928	0.01231911
ò	0.059652936	0.052521832	0.15229902	0.15476198	0.13889322	0.13268796	0.15595779	0.15322521
t	0.84540987	0.037355993	0.022220466	0.022080913	0.017033435	0.013268048	0.02202186	0.020609437
t	0.57477903	0.09094525	0.06422918	0.06579308	0.04560829	0.03328839	0.06563522	0.05972158
i	0.32745472	0.13224457	0.09950714	0.124460734	0.05784859	0.036291268	0.12376823	0.09842469
ì	0.18358728	0.36634758	0.12663157	0.06555602	0.06439494	0.06370117	0.064951465	0.06483004
r	0.14279558	0.7017671	0.08104954	0.02107121	0.010078718	0.0063003134	0.020461518	0.01647601
t	0.2100732	0.54840976	0.109482415	0.039706368	0.013092325	0.009751064	0.04066051	0.028824352
e	0.41010243	0.27753353	0.07333876	0.0685497	0.029700536	0.02500443	0.06853052	0.047240045
o	0.048566483	0.10211053	0.56050134	0.06737368	0.05543833	0.053760592	0.056224167	0.056024842
G	0.013863065	0.07194351	0.6299994	0.07815786	0.051849928	0.050516423	0.05134098	0.05232886
i	0.0028587896	0.023209346	0.6981622	0.04013138	0.006643574	0.02848242	0.10806359	0.092448756
o	0.002787218	0.055519488	0.8327253	0.047180034	0.016406666	0.015561617	0.014909864	0.014909807
v	0.0013380847	0.01268852	0.1319239	0.5014334	0.07786109	0.075050354	0.07566446	0.12404023
à	0.029302929	0.023995457	0.25183526	0.073086396	0.006434871	0.01538427	0.21387433	0.38608658
n	0.0006828668	0.007231886	0.11146748	0.789237	0.030934729	0.011921056	0.031683587	0.016841331
n	0.0065398994	0.015147922	0.11150034	0.77252185	0.023948146	0.013464138	0.03324913	0.02362856
i	0.0027860606	0.015953766	0.13321944	0.61879814	0.04468204	0.02528185	0.13030756	0.028971115
e	0.0010872885	0.0034738407	0.012283482	0.48725408	0.24193607	0.16354202	0.03645505	0.053968195
A	0.0003384942	0.0013003129	0.004749213	0.33337176	0.26410416	0.25743034	0.045028508	0.09367732
n	0.005965187	0.017623084	0.022008734	0.5848422	0.18095154	0.057681613	0.10775713	0.02317053
n	0.14064348	0.010175847	0.03543185	0.36334178	0.035984114	0.1431875	0.1844596	0.08677592
a	0.014484083	0.0056250286	0.004170553	0.3053473	0.17991687	0.18521288	0.2557035	0.04953973
g	0.0009926279	0.0013945291	0.0026655584	0.047182143	0.1572257	0.6537552	0.04008164	0.09670266
i	0.027902367	0.019414216	0.014481421	0.057063416	0.03742569	0.38113272	0.08118149	0.3813987
à	0.0025408342	0.0005685912	0.0022905245	0.013222652	0.2309278	0.36961553	0.2617963	0.119037814
ì	0.024247129	0.004747574	0.002883497	0.008832268	0.06452954	0.27335635	0.47691864	0.14448495
c	0.039110694	0.010611591	0.006023612	0.011632153	0.045573223	0.42883027	0.2196586	0.23855983
h	0.0019755482	0.004650347	0.007841229	0.0063422527	0.0074094827	0.033197902	0.3506189	0.58796436
e	0.0109926015	0.001979563	0.0018018153	0.0024251486	0.0108995335	0.023592446	0.74320567	0.20510323
p	0.03388711	0.0027679463	0.003662362	0.0026536337	0.029601196	0.033044502	0.6278136	0.2665696
l	0.044202846	0.005857535	0.0050856387	0.003305776	0.0016770489	0.020997882	0.23153955	0.6873337
ò	0.0029932025	0.00075526186	0.0011075421	0.00032076734	0.0031201045	0.016404895	0.40887314	0.56642514
s	0.006576567	0.0076288423	0.0060779643	0.0010917197	0.0021227282	0.006233122	0.19827835	0.77199066
o	0.001245192	0.003898641	0.0054111686	0.004589483	0.033460643	0.010712137	0.6406247	0.30005804
n	0.01501144	0.0023322192	0.0025297124	0.0007673482	0.005736309	0.0070494413	0.49619457	0.470379
t	0.017592618	0.004099936	0.022805622	0.0004906852	0.0066901767	0.0016441455	0.6930041	0.25367272
a	0.33822423	0.037526924	0.057461847	0.018112747	0.0032044111	0.005955193	0.38312703	0.15638761
</S>	0.030577678	0.013486133	0.095227316	0.0017134486	0.012545631	0.0006011908	0.56130594	0.2845426
