 	che	consuma	poco	benzina	</S>
n	0.9383266	0.013804659	0.008498326	0.02298108	0.016389273
a	0.8997261	0.026491603	0.027528813	0.017439142	0.02881434
k	0.48886418	0.3670768	0.052203935	0.04510478	0.04675032
o	0.2756019	0.19100334	0.22001813	0.038474634	0.27490202
n	0.06722368	0.824409	0.055078615	0.026204715	0.027084032
s	0.030457571	0.21342048	0.49386638	0.019187415	0.24306823
u	0.036750305	0.6269823	0.12916969	0.019928386	0.18716931
m	0.07989969	0.3688766	0.40336034	0.061413344	0.08644997
è	0.0015560829	0.04039268	0.72746736	0.016084393	0.21449947
t	0.039388087	0.048160426	0.7727378	0.015622428	0.12409138
s	0.003593102	0.012492224	0.884078	0.009796972	0.09003973
i	0.008576985	0.04798742	0.6904999	0.043800052	0.20913571
a	0.0039257663	0.0052220724	0.26165026	0.22554803	0.5036539
l	0.000283449	0.0015623898	0.17951587	0.49928647	0.31935182
ì	0.0014360964	0.0005371848	0.090004876	0.36691955	0.5411023
o	0.0024608348	0.008711015	0.039055936	0.69548696	0.25428525
b	0.00076340104	0.00016427886	0.0057057706	0.23764448	0.7557221
e	0.0015023418	0.0036408529	0.009964384	0.1929673	0.79192513
n	0.0048890277	0.0085867895	0.013968206	0.8373335	0.13522245
z	0.0010752213	0.0005764309	0.00056661695	0.1257819	0.87199986
ì	0.0018968978	0.00017813241	0.0063361432	0.082394056	0.90919477
n	0.0045876666	0.0058785956	0.004374976	0.76074356	0.22441526
a	0.00309729	0.010961574	0.003963994	0.71835846	0.26361868
</S>	0.004652429	0.000856211	0.01037121	0.035258602	0.94886154
