 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a	0.6532315	0.2546437	0.01322794	0.013172334	0.013369927	0.013096577	0.013092028	0.01304186	0.013124108
k	0.34987745	0.46858495	0.026871404	0.025690168	0.025761927	0.024645256	0.025740627	0.025905097	0.026923168
à	0.15573098	0.10746287	0.11665723	0.08365244	0.12107142	0.056551624	0.11796269	0.120421164	0.1204896
j	0.34447297	0.09614718	0.12800094	0.033884373	0.09754062	0.016563335	0.09068293	0.09821709	0.094490536
o	0.59380716	0.09468721	0.07252357	0.011543579	0.059024677	0.0060216365	0.050745264	0.056625307	0.05502155
t	0.20100015	0.38076982	0.13041905	0.06690065	0.044938046	0.043176826	0.044215027	0.044262376	0.0443181
r	0.052010395	0.019902043	0.23050809	0.13912134	0.12284805	0.07691342	0.117616855	0.12064421	0.12043554
a	0.31204775	0.04041782	0.20538007	0.035463158	0.10305004	0.013940538	0.09252325	0.09946426	0.09771321
ù	0.08042644	0.078110516	0.33574253	0.26832402	0.051708173	0.043952134	0.046883937	0.047097355	0.047754914
d	0.0075625796	0.011863914	0.57227015	0.08806613	0.08165744	0.0043521156	0.043590814	0.11750048	0.07313641
i	0.001973803	0.006600746	0.28454918	0.15377109	0.17114243	0.009862531	0.10498097	0.14109033	0.12602893
a	0.0012136166	0.005961303	0.035146493	0.8104261	0.06150408	0.021448646	0.020109963	0.020565398	0.02362429
a	9.109075e-05	0.00032477797	0.0074616196	0.77729183	0.096313536	0.022185225	0.01954219	0.033856466	0.042933244
s	0.00010452499	0.0001869018	0.0035253274	0.5348873	0.18043913	0.056583546	0.035721555	0.09398268	0.09456897
ò	0.00014576377	9.2489056e-05	0.0053561605	0.2846027	0.5071928	0.023937799	0.04511219	0.062141318	0.07141876
z	0.00060094666	0.0012523992	0.04162551	0.036360927	0.5261609	0.012906056	0.042347215	0.15073225	0.18801382
i	0.00035390307	7.092437e-05	0.0075986073	0.047167465	0.7162203	0.0048892475	0.03523738	0.11036842	0.07809375
g	0.00025117025	0.00028245218	0.009004288	0.11464737	0.10599898	0.56871986	0.064098656	0.057555187	0.079442
r	0.00023795913	4.616219e-06	0.0039306288	0.007168578	0.07467837	0.10252229	0.17697357	0.3100742	0.32440978
à	0.00032856263	2.4242081e-05	0.0033592007	0.03577835	0.04666352	0.5233519	0.13517655	0.128556	0.12676166
t	0.0019725773	0.000112192516	0.0026591525	0.0021695518	0.018481582	0.28249887	0.2906256	0.20225576	0.19922473
s	0.00085795234	2.0765337e-05	0.003628305	0.00241296	0.16685684	0.085890755	0.2048763	0.31067437	0.22478172
i	0.00032422107	7.662746e-05	0.0022594663	0.012675949	0.053952236	0.33674747	0.1560426	0.24156922	0.1963522
i	0.009833304	0.00010917376	0.004076206	0.001476435	0.013007825	0.12138398	0.40439355	0.20280662	0.24291292
n	0.00041545526	1.0213026e-05	0.00073357986	0.0007995092	0.0012939374	0.29096985	0.43330613	0.116482444	0.15598892
ì	0.00077315187	2.6295384e-06	0.0012951741	0.0007805333	0.006461823	0.086578004	0.26873302	0.112915695	0.5224599
t	0.0007836472	1.6015072e-05	0.0005516584	0.00071232533	0.00502992	0.051554304	0.3562539	0.43380725	0.15129107
t	0.0017841387	0.00025509176	0.0057800696	0.00010762765	0.102745004	0.0026771768	0.13860092	0.29212618	0.45592377
a	0.0004778114	4.8640737e-05	0.0011587068	0.00025772688	0.004707503	0.052291755	0.27167937	0.52196294	0.14741562
</S>	0.0330526	0.00065776886	0.02471302	0.00024629149	0.10891556	0.004450708	0.44070107	0.26184905	0.12541392
