 	entrò	da	qui	</S>
m	0.78976187	0.07065676	0.065453086	0.074128291
b	0.62083554	0.11683584	0.122825747	0.139502857
ì	0.40610365	0.300347596667	0.128655192333	0.164893552333
k	0.301921703333	0.519121165556	0.0781695224443	0.100787657444
e	0.228249794444	0.626216631852	0.0788227124814	0.0667109274813
a	0.111195015681	0.529278540617	0.26356268416	0.0959637908271
p	0.039003893627	0.311194680206	0.50381406472	0.145987366942
ò	0.0164242807423	0.219251246735	0.633300434907	0.131024062314
t	0.00912287724743	0.153705392245	0.737253334969	0.099918437438
t	0.00755329841581	0.096992937415	0.80750871499	0.087945051146
u	0.00928349680527	0.0648964224717	0.75743501833	0.168384999049
</S>	0.00914018290263	0.0467213712358	0.681360709165	0.262777639525
