 	i	bambini	non	si	vestono	da	soli	</S>
t	0.9620361	0.016299453	0.01619275	0.0018376114	0.00027881112	0.00060708274	0.0010952639	0.0016530486
a	0.95240736	0.018231938	0.0017313235	0.00087743346	0.0033213478	0.010534088	0.006083568	0.0068128314
p	0.5811221	0.41613355	0.002208029	0.00045588394	9.510743e-06	2.0766656e-05	2.6681526e-05	2.3543556e-05
e	0.46403572	0.5226521	0.0026986953	0.009280518	0.00012413156	0.00027717356	0.00069346774	0.00023809599
t	0.29142666	0.6806276	0.025490154	0.0023555239	1.769841e-05	3.0928717e-05	4.0936713e-05	1.0497798e-05
ì	0.62446845	0.27795228	0.018548278	0.020298755	0.0058780224	0.0047237114	0.007843068	0.04028746
a	0.08255047	0.8212819	0.084820494	0.010951568	0.00025258376	4.504169e-05	3.6654168e-05	6.1271065e-05
e	0.124353044	0.75509536	0.11036898	0.0076685725	0.0008875561	0.0010389573	0.00028761468	0.0002999763
n	0.26680484	0.41752926	0.05403757	0.2343412	0.01487234	0.005528835	0.0045593036	0.0023266799
i	0.14711545	0.10807251	0.019020082	0.06260152	0.37806007	0.0476809	0.049779	0.18767047
n	0.11976883	0.4949384	0.2299257	0.09250211	0.05552135	0.0046689133	0.0012194959	0.0014551273
d	0.19743045	0.14441554	0.05968854	0.1016281	0.29695946	0.025995076	0.02358663	0.15029621
ì	0.20531207	0.14980336	0.038497962	0.0820044	0.19568905	0.21409053	0.08023891	0.034363747
n	0.065448254	0.5545607	0.046928022	0.10226201	0.2215727	0.0044888454	0.0019166301	0.0028228818
n	0.044891715	0.03176206	0.018575458	0.17099969	0.72517484	0.0065656127	0.0009907021	0.0010398894
o	0.0058613047	0.017523352	0.04346741	0.05171205	0.5663278	0.2657502	0.031638063	0.017719781
t	0.0043300814	0.010174168	0.020607894	0.00858247	0.24364828	0.6505931	0.05533409	0.0067298566
t	0.009658902	0.0139096975	0.0034485278	0.004850353	0.5521082	0.3551258	0.0439778	0.016920708
e	0.021175975	0.03061104	0.025393888	0.018818213	0.16377345	0.662599	0.0549226	0.022705784
m	0.0076546404	0.011386394	0.025944518	0.0034937826	0.08142107	0.53841203	0.29995665	0.031730924
a	0.0040805354	0.006453941	0.0029744778	0.002771955	0.07409923	0.48686668	0.38935035	0.033402763
n	0.005492213	0.01626575	0.03560201	0.0077295597	0.035670795	0.39400664	0.4567385	0.04849454
e	0.011765594	0.019710023	0.0052366275	0.0027322837	0.05803462	0.40656537	0.45722464	0.038730834
c	0.0038549826	0.00783355	0.031430956	0.0067881867	0.022649596	0.14243619	0.72873753	0.05626907
h	0.0036885003	0.0045424527	0.0029380643	0.002275274	0.014941657	0.06892191	0.6888099	0.21388225
à	0.004939795	0.008985716	0.0027513574	0.0017256688	0.006605119	0.12828521	0.79191315	0.054793928
t	0.008988396	0.02746715	0.04854876	0.027517175	0.041161884	0.073548995	0.7091729	0.0635947
u	0.023503125	0.02367008	0.023264205	0.022877736	0.035676178	0.11977074	0.4929614	0.25827643
</S>	0.0041171485	0.006831187	0.03278306	0.0073840697	0.023788022	0.03314772	0.4214933	0.47045553
