 	vuole	andare	a	Lecce	</S>
i	0.9626817	0.01269408	0.0026013693	0.01806007	0.0039626504
t	0.9983311	0.0006616821	0.00048513684	0.0003262798	0.00019582419
è	0.7250177	0.21758802	0.023395149	0.01768501	0.016314097
l	0.66399586	0.2660967	0.05595532	0.013133903	0.0008182026
i	0.51144975	0.2507605	0.19181275	0.041231193	0.0047458317
n	0.16007853	0.82803035	0.0102432305	0.0014606552	0.00018728552
a	0.038107235	0.8234859	0.068609625	0.06603285	0.0037644068
p	0.095571674	0.83327484	0.058174856	0.012273797	0.0007047949
à	0.0219125	0.69119567	0.15819411	0.104584485	0.02411328
i	0.117928684	0.3342765	0.48116133	0.06389265	0.0027408856
L	0.0061710635	0.3373821	0.40765318	0.23120995	0.017583705
u	0.015380045	0.15671484	0.24651358	0.574607	0.00678447
p	0.089913346	0.3284666	0.18499185	0.3473934	0.04923482
p	0.0045674075	0.044594415	0.071587704	0.834119	0.045131408
ì	0.016907083	0.12287875	0.020534368	0.3995642	0.44011557
u	0.031724047	0.14887965	0.1424393	0.6534723	0.023484742
n	0.008352306	0.14210692	0.073392384	0.4871441	0.2890043
a	0.030284248	0.14897779	0.1577689	0.52523583	0.13773316
</S>	0.04390428	0.08041768	0.054832555	0.106608644	0.7142369
