 	che	non	li	aspetiamo	</S>
n	0.92606698	0.030136016125	0.0386413635	0.00106577963	0.004089860335
a	0.83924968	0.109511608458	0.0459667251667	0.00107954013333	0.00419244921167
m	0.662064926667	0.200223746153	0.114274627056	0.00162215046778	0.0218145545039
i	0.420981865556	0.138465943051	0.402712355685	0.00638328048926	0.0314565635013
t	0.256239815185	0.0930257886837	0.455695631895	0.0104423281631	0.184596429834
u	0.222482258395	0.116071119561	0.391627803965	0.0261213730544	0.243697427945
s	0.202990782798	0.134813389854	0.382684111322	0.0361862860181	0.243325420648
m	0.144816100266	0.101438826618	0.475651580441	0.035866113006	0.242227368883
ì	0.0618847287553	0.0411568715393	0.745112660147	0.0473585396687	0.104487214961
n	0.0517031605851	0.0591994031798	0.721527136716	0.0673111145562	0.10025919832
o	0.0532427968617	0.0948917577266	0.465084172239	0.267120000185	0.11966125144
m	0.0278975996206	0.0654179002422	0.41384138408	0.331661116728	0.161181965813
e	0.0186317465402	0.0387209057474	0.360389284693	0.186895595576	0.395362455271
</S>	0.0183933347701	0.0409191398737	0.198590852347	0.163849457788	0.578247227635
