 	i	bambini	non	possono	mangiare	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a	0.8174482	0.166739285	0.0096157395	0.001483520275	0.000285856445	0.002078347835	0.000780900818	0.0001983067755	0.000247732264	5.111210015e-05	0.0002720705075	0.0004025245695	0.000177664933	0.000218769937
p	0.63097939	0.348442575	0.0111269481667	0.00655865494167	0.000126307085	0.000740555711667	0.000708201218	7.83762355e-05	0.000268728714	2.02313490167e-05	0.000463049624167	0.000242811626167	0.000140841846333	0.000103305210333
e	0.456158876667	0.487324891667	0.0411031790556	0.0131271663139	7.5716815e-05	0.000281828383889	0.000731933892667	3.67458941667e-05	0.000273172056833	9.6019055389e-06	0.000517450514722	0.000182393699922	0.000120550724111	5.6448323111e-05
t	0.422908082222	0.460961223889	0.0502084893519	0.0371728317713	0.001177765585	0.000679480231296	0.0180176127176	0.000987208853722	0.00146078403778	0.00022750696218	0.00175229137824	0.00122423506784	0.000502727490037	0.00271975241404
ì	0.322028930741	0.473957401296	0.083781770784	0.0822387622571	0.00170642136167	0.000900732677099	0.0239536779392	0.00130569922157	0.00185556842293	0.00030069882196	0.00216168303508	0.00157002809471	0.000630206601012	0.00360842888845
a	0.159025530247	0.536909267099	0.183720896928	0.106216710752	0.000883991710557	0.000484482092366	0.00890520167973	0.000440870885357	0.00062474907331	0.000102715585287	0.000736559544027	0.00052921309667	0.000212885086737	0.00120689726218
e	0.132939310082	0.481093422366	0.191052570976	0.182325076917	0.00268754239352	0.00227090669746	0.00572386965991	0.000169262426286	0.000328019603103	3.6077417929e-05	0.000659824271342	0.000213540465223	8.84384893123e-05	0.000412081498993
s	0.138576123361	0.373653797455	0.113061204659	0.308073375639	0.0187071042312	0.0111823731325	0.0284084736533	0.0019641333321	0.000797596624368	0.000290363962076	0.00152222162378	0.000429197961741	0.000269338608104	0.00306468869566
ò	0.098318837787	0.271855435818	0.079271280553	0.445317015213	0.0424814054104	0.0143203499108	0.0384397590511	0.00258842722737	0.000848557118123	0.000384003097359	0.00142761163259	0.000470121093814	0.000317381710368	0.00395983306755
z	0.0896579392623	0.182126508606	0.0786872135177	0.461377091738	0.10980182747	0.0170069691703	0.0548171508504	0.00198634202579	0.000807752016041	0.000537931542453	0.000932912268863	0.000491899671171	0.000202631584456	0.00156583195818
u	0.0850664094208	0.102047689535	0.0785482245059	0.289566813913	0.310516955823	0.0552680987234	0.0733962769501	0.00199529383193	0.000820240312014	0.000593129868151	0.000762190237954	0.000500870723724	0.000162699535719	0.000755099227727
n	0.0492085908069	0.069647989845	0.0611356361686	0.237425721304	0.403221788608	0.0814283145745	0.0859740723167	0.00469518410064	0.00241678297734	0.000771876876717	0.00216199936098	0.000632197141241	0.00018756914614	0.00109225005091
e	0.032733147269	0.0530623209483	0.0516793187229	0.200485818435	0.307785632869	0.179405436525	0.155988990772	0.00995563236688	0.00323040189245	0.000926687545572	0.00265969970699	0.000681017047414	0.000195577113847	0.00121033421864
