 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
m	0.100001395	0.09999811	0.0999978	0.09999811	0.09999773	0.09999773	0.099999405	0.100006655	0.099999025	0.10000399
ò	0.09828176	0.09824053	0.09823379	0.098369315	0.09824563	0.09862	0.09978935	0.10047353	0.099016406	0.110729694
t	0.09762039	0.09762568	0.0976221	0.09824659	0.09765309	0.097886115	0.09914838	0.10378119	0.09790979	0.112506635
t	0.09771303	0.09770528	0.09769946	0.09771594	0.09786657	0.09815708	0.10005534	0.098176256	0.10691461	0.107996516
i	0.09998473	0.099984646	0.0999845	0.09998572	0.099984646	0.09998686	0.10001463	0.10000021	0.099997535	0.100076534
ì	0.098584086	0.09858235	0.09858483	0.099380255	0.09862072	0.098712705	0.098949015	0.10643756	0.099017285	0.10313118
r	0.09107935	0.091295436	0.09092646	0.0912297	0.091063015	0.091926925	0.12781596	0.094721414	0.093844496	0.13609727
t	0.09457458	0.094840415	0.09454118	0.09455755	0.0947211	0.09481357	0.124005996	0.094861396	0.10117122	0.111912966
e	0.099921085	0.0999233	0.0999204	0.099921316	0.099922076	0.09992467	0.1002427	0.099934354	0.09998994	0.10030015
è	0.09575357	0.09575335	0.0957554	0.09772628	0.09584632	0.09621514	0.09757869	0.11503485	0.09659083	0.113745496
t	0.081290826	0.08200926	0.0809878	0.08169035	0.08135908	0.08278266	0.15785861	0.08922481	0.08857343	0.17422318
t	0.08420664	0.08477454	0.08380798	0.08385499	0.084331624	0.084842026	0.15540086	0.085174546	0.10279476	0.15081204
a	0.09915291	0.09915571	0.09914875	0.0991675	0.09915972	0.09932887	0.10046745	0.09939293	0.09976877	0.10525742
s	0.08119212	0.081185184	0.08120352	0.089955516	0.08161376	0.08430691	0.091427825	0.1594579	0.08493509	0.16472225
e	0.065109976	0.065149724	0.064549245	0.06472856	0.06618084	0.069713645	0.13904022	0.06955601	0.13975202	0.25621977
o	0.06865653	0.068596356	0.068597406	0.07918986	0.06914734	0.079654925	0.10325682	0.1617378	0.076717734	0.22444518
G	0.07647126	0.04840403	0.043769855	0.0505061	0.04392702	0.054220162	0.14289884	0.25545728	0.062097125	0.22224827
i	0.07307409	0.069414824	0.06768114	0.067881525	0.068073004	0.07327462	0.17041099	0.07509639	0.07854619	0.2565472
u	0.06345305	0.061719805	0.06133671	0.06953165	0.061719805	0.0721188	0.12659068	0.13749531	0.07426841	0.27176577
v	0.045650546	0.024313567	0.018008744	0.021932367	0.017961828	0.030130152	0.11806726	0.3896612	0.10035057	0.23392381
à	0.06759219	0.05770621	0.05519934	0.055350315	0.0555675	0.06423934	0.17309816	0.15296489	0.08029239	0.23798968
n	0.03100255	0.051590625	0.03145103	0.034133617	0.040654108	0.06900734	0.24754463	0.0619903	0.12809724	0.30452856
n	0.027444936	0.044844437	0.025336757	0.026258603	0.034582157	0.04037823	0.18111199	0.040701658	0.1547889	0.4245523
i	0.04089051	0.043019697	0.040942397	0.04248925	0.042248268	0.082643345	0.26622924	0.06583957	0.085803	0.28989473
e	0.027407585	0.027952055	0.0276154	0.086486556	0.031891797	0.050604865	0.15170018	0.16077997	0.064861186	0.37070048
A	0.031638063	0.022776484	0.01952269	0.04302851	0.021359503	0.035259664	0.15335555	0.20628719	0.057733085	0.40903926
n	0.011131422	0.026235366	0.011659101	0.035067424	0.02501426	0.03693316	0.10442173	0.24098626	0.15276738	0.3557839
n	0.007158511	0.014668779	0.0072831884	0.008722218	0.019823467	0.0447316	0.22754778	0.04442547	0.18314624	0.44249278
a	0.028780757	0.03369572	0.02881433	0.032640304	0.031068822	0.059033383	0.21374159	0.07384114	0.08848408	0.40989986
a	0.0066647995	0.008229603	0.007024624	0.03415729	0.017087236	0.044039465	0.16636622	0.0685223	0.15030572	0.4976027
n	0.010966628	0.010018207	0.0040286467	0.019644486	0.007395654	0.016323928	0.08167334	0.20481351	0.19153136	0.45360422
k	0.027184509	0.028335711	0.009895572	0.017623866	0.014741437	0.027554158	0.08191295	0.4281974	0.18810663	0.17644785
ò	0.018433869	0.021176564	0.018511824	0.037830137	0.024311136	0.058495183	0.16115344	0.23659876	0.1680551	0.255434
r	0.0030950706	0.008852993	0.007202177	0.063659586	0.045079485	0.041128352	0.04667006	0.14388537	0.16190414	0.4785228
a	0.0066263764	0.012706091	0.005397627	0.0073520383	0.020448465	0.026784748	0.20429139	0.035423327	0.09813819	0.5828318
ì	0.0006353967	0.0013845898	0.0008021389	0.0072017633	0.0046469774	0.0077896332	0.072100304	0.011757082	0.18183082	0.71185124
c	0.0025900125	0.003882763	0.0017534873	0.01698222	0.00564995	0.009585202	0.03124371	0.2205768	0.30700046	0.40073544
h	0.004910828	0.0086751655	0.0021838532	0.0029748208	0.0049132197	0.008846571	0.05090066	0.074364126	0.18091412	0.6613166
e	0.002649095	0.0070950165	0.0032290036	0.008708305	0.012760057	0.024133345	0.12974422	0.10729506	0.21556692	0.48881903
n	0.00025739623	0.00023667232	0.0001921862	0.0010728879	0.001106592	0.0008679521	0.015188978	0.005746505	0.3918613	0.58346957
a	0.0023113247	0.0056348946	0.0019314401	0.009020977	0.0035220964	0.005751153	0.016266974	0.16151808	0.30200037	0.4920426
m	0.0001300694	0.00013236792	8.079644e-05	0.00064448983	0.0005607783	0.00026209085	0.0062468452	0.010846605	0.39599285	0.5851031
a	0.0008162673	0.0013825548	0.00046501344	0.0021051185	0.0006248066	0.0010405818	0.0072071273	0.077138364	0.4465571	0.46266308
r	5.0218612e-05	6.347289e-05	6.720615e-05	0.00032455966	0.000188651	0.000106042346	0.0024689292	0.006388287	0.42146584	0.5688768
è	0.00017038877	0.00025668126	0.00016845622	0.0017107662	0.0018082497	0.002280963	0.0095198145	0.14207476	0.22634107	0.6156689
s	0.0032993539	0.0017688274	0.0029466192	0.013005726	0.010202844	0.016199589	0.058613952	0.042664643	0.32038087	0.5309176
