 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.096787795	0.10275846	0.19026738	0.16904743	0.10605353	0.11458874	0.22049674
c	0.14044945	0.14058979	0.14468475	0.14346509	0.14211792	0.14063527	0.14805777
h	0.13493769	0.13620941	0.15818153	0.15221399	0.13880734	0.13848989	0.14116018
a	0.12659758	0.12955764	0.1789194	0.16539982	0.13123924	0.13461311	0.1336731
n	0.12928298	0.12968051	0.14217377	0.13919482	0.1354902	0.13680491	0.18737286
a	0.12674652	0.12619373	0.13092321	0.12937808	0.13520835	0.12749311	0.224057
v	0.09034586	0.092934884	0.15552352	0.13308308	0.20570976	0.1020743	0.2203286
o	0.043544736	0.05504336	0.17787175	0.18750544	0.2707835	0.08437951	0.18087171
r	0.043125734	0.05195805	0.12864636	0.12133702	0.19409329	0.06859427	0.3922453
à	0.02098846	0.060866132	0.18767196	0.13428804	0.22645818	0.13777825	0.23194894
s	0.04768444	0.052062165	0.13501747	0.20228681	0.08162781	0.059358694	0.42196265
o	0.054793123	0.110610604	0.13643017	0.12544739	0.17196095	0.1187384	0.28201932
o	0.011381706	0.025602797	0.19208035	0.22668333	0.069989055	0.058290876	0.41597193
t	0.0102982	0.01065791	0.07407281	0.26753598	0.1995364	0.03598346	0.40191522
s	0.007153397	0.026198998	0.11727207	0.3470024	0.12116779	0.13769397	0.24351141
o	0.008521317	0.06311223	0.17580281	0.2674777	0.27495116	0.08896076	0.121173985
m	0.0041464926	0.0052854163	0.010176016	0.014837995	0.042783193	0.31229952	0.61047137
ì	0.0016498539	0.004558178	0.0101024145	0.041474383	0.09076743	0.3667277	0.48472
k	0.008389275	0.007038805	0.02289881	0.037833337	0.06154299	0.33817682	0.52412
u	0.0032443253	0.0075761	0.021359103	0.16804439	0.11607509	0.066655755	0.6170452
à	0.00035347382	6.721035e-05	0.000275715	0.0007210821	0.008952975	0.6315894	0.35804012
i	0.00034928392	0.00046436986	0.0020861968	0.006958155	0.009433247	0.58249253	0.39821622
m	0.000103376165	8.635854e-05	0.00041580715	0.0008502478	0.0013367629	0.846577	0.15063038
è	0.0009669299	0.007620652	0.024330944	0.05826739	0.043353084	0.25548312	0.6099779
r	0.0004070311	0.00040845003	0.001181389	0.0028630407	0.072953336	0.3707355	0.55145127
i	0.00029831994	0.00028149065	0.0004826275	0.0011630203	0.020070698	0.44313857	0.53456527
</S>	0.00012487774	5.9974678e-05	7.549201e-05	0.00016338668	0.010300116	0.6856912	0.30358502
