 	quando	divento	vecchio	vendo	mia	casa	e	vado	a	vivere	al	mare	</S>
m	0.076780695	0.07678327	0.076781455	0.076927802	0.076786865	0.07678605	0.07679125	0.07680394	0.076843575	0.07712736	0.076996055	0.07695085	0.077640842
ò	0.0761977233333	0.0762248766667	0.0762056533333	0.0771808053333	0.0762325833333	0.07622729	0.0762420253333	0.0762794983333	0.0764385066667	0.077096125	0.0766522216667	0.0767857216667	0.082236974
t	0.0744384594444	0.0745056105556	0.0744677474444	0.0767404117778	0.0750158561111	0.0747969266667	0.0750348937778	0.0758531677778	0.0752517272222	0.0755858213333	0.0765509525556	0.0837774802222	0.08798094
t	0.0744223398148	0.0744783618519	0.0744516938148	0.0763659439259	0.0751540053704	0.0748673055556	0.0751710492593	0.0762268625926	0.0752533257407	0.0751121217778	0.0768567328519	0.0862887914074	0.0853514633333
e	0.0757502032716	0.0757971486173	0.0757665159383	0.0764845179753	0.0760051084568	0.0759199451852	0.0760242010864	0.0764024441975	0.0761772385802	0.0766144339259	0.0768773409506	0.0800440704691	0.0821368311111
j	0.0746519977572	0.0746994775391	0.0746671349794	0.0766716406584	0.0748129761523	0.0747812397284	0.0748922836955	0.0752028627325	0.0757260661934	0.0792758579753	0.0775197316502	0.0782870401564	0.0888116983704
è	0.0680961225857	0.0681312891797	0.0681476226598	0.0842844015528	0.0687644140508	0.0686016345761	0.0693556825652	0.0706777822442	0.0755802853978	0.0865488209918	0.0772646152167	0.0816424733855	0.112904894123
n	0.0651799875286	0.0652107097266	0.0653147268866	0.105971140518	0.0669732200169	0.0660085628587	0.0671239755217	0.0683572740814	0.0742628551326	0.0850267586639	0.0746535484056	0.0813241111285	0.114593166041
o	0.0685184558429	0.0686149665755	0.0686582372955	0.104652716839	0.0701881900056	0.0691508922862	0.0698341085072	0.0702374113605	0.0732552550442	0.0800820295546	0.0739822161352	0.0778439970428	0.104981540014
m	0.0710207586143	0.0711379588585	0.0710896074318	0.0859892089463	0.0716864153352	0.0713565940954	0.0716950378357	0.0721111621202	0.0741875416814	0.0835433998515	0.0780629187117	0.0774513956809	0.100668020005
e	0.0709108895381	0.0710243629528	0.0709545691439	0.0793765563154	0.0712548304451	0.0711680363651	0.0714407042786	0.0719620323734	0.0740995005605	0.0858924499505	0.0796283382372	0.0774139518936	0.104873813335
