 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.16618249	0.166240115	0.166310755	0.166855545	0.16671927	0.167691865
c	0.16591153	0.166017635	0.166198115	0.167354668333	0.167002706667	0.167515358333
h	0.16566267	0.165849715	0.165929545	0.167126852778	0.167780205556	0.167650982778
e	0.164507916667	0.164617495	0.164867591667	0.166988307593	0.166914108519	0.172104534259
p	0.162827155556	0.162958498333	0.164026533889	0.169523999198	0.164620346173	0.176043438086
o	0.154102885185	0.154558099444	0.16320186463	0.198714363066	0.159166608724	0.170256182695
l	0.140299648395	0.141318466481	0.16200284821	0.240819737689	0.153940406241	0.161618904232
e	0.133684522798	0.13485536216	0.158882069403	0.25124027923	0.151613178747	0.169724571411
m	0.115295224266	0.11703147072	0.155064769801	0.286998949743	0.147615682916	0.17799389047
ì	0.100716948089	0.103616853573	0.143316209934	0.277216243248	0.143735567639	0.23139820349
s	0.087119749363	0.114209661191	0.109856294645	0.215683987749	0.17932669588	0.293803654497
o	0.0631408664543	0.103683827064	0.0917390295483	0.21597783925	0.202268455293	0.323190011499
n	0.0674060508181	0.092532550688	0.0957270418494	0.20364191975	0.158241118431	0.382451307166
t	0.0949767489394	0.110092725229	0.110052432616	0.185619799917	0.14498813281	0.354270132389
a	0.0755615851798	0.0851369714097	0.0932204725387	0.156995163306	0.15004632427	0.43903945413
ò	0.0282467981933	0.0364908541366	0.0809252725129	0.125471724435	0.18332136809	0.545543938043
l	0.0134081406644	0.0230212630455	0.0850608025043	0.123017333478	0.208989199363	0.546503216014
i	0.00725860884147	0.0151341931352	0.0536532148348	0.0919287131593	0.192464799788	0.639560432005
t	0.00274038321382	0.00645705223173	0.0528407072783	0.0867681643864	0.311310896596	0.539882774002
i	0.00172995765127	0.00355205971058	0.0519531597594	0.0811703801288	0.362530225532	0.499064211334
n	0.00215570348376	0.00294192560353	0.0480268672531	0.0642972687096	0.358706318511	0.523871930445
a	0.00175923140459	0.00272043211784	0.0429773954177	0.0556269672365	0.335138329504	0.561777650148
d	0.00072849449153	0.00161576485595	0.0197542454726	0.0368679844122	0.265064456501	0.675969043383
d	0.000371387517177	0.00140774211865	0.0148452924909	0.105751255804	0.2854149155	0.592209411128
o	0.000707040579059	0.000834942896217	0.0180140688303	0.149152610601	0.3891019785	0.442189353709
m	0.00077879543202	0.000480604768739	0.0142589210434	0.0863393685337	0.445180876167	0.452961451236
à	0.000559604439673	0.00088209616958	0.00719888598113	0.0820894325112	0.368759755389	0.540510263745
d	0.000543411239891	0.00100559978319	0.00562818069371	0.117322050837	0.380374391796	0.495126374582
a	0.000614184349964	0.000507372294397	0.00510785606457	0.103591196946	0.517991200599	0.372188198194
</S>	0.000849227774982	0.000329692857199	0.00498882203228	0.086793163473	0.609438515299	0.297600599097
