 	ho	cosa	a	fare	</S>
è	0.19872256	0.19903192	0.19988291	0.200230585	0.202132075
c	0.195242076667	0.196724663333	0.204445876667	0.197667395	0.205920025
h	0.191240602222	0.193624561111	0.204597348889	0.198847678333	0.211689838333
o	0.177714464074	0.18237050037	0.19887038963	0.189970609444	0.251074039444
t	0.115492534691	0.13050794079	0.19641489321	0.248051099815	0.309533526481
i	0.0525397942303	0.0779767265967	0.16577887307	0.246257725272	0.457446868827
k	0.0270384875101	0.0505558011989	0.116262456357	0.310036250424	0.496106979609
à	0.01216505427	0.0264275223996	0.0741926234523	0.338630503475	0.548584303203
i	0.00601414307667	0.0130932012665	0.0412461968174	0.340401971158	0.599244524401
</S>	0.00322055651833	0.00787017833325	0.0308134449087	0.449559910579	0.5085359472
