 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.1186186225	0.121674125	0.167476065	0.15625626	0.124085725	0.127612005	0.184277255
c	0.131335254167	0.132824441667	0.156780781667	0.150645113333	0.135003661667	0.135579055	0.157831735
h	0.130956841389	0.132863830556	0.164627237222	0.156086307778	0.135016747222	0.136227351667	0.144221671667
a	0.128945800463	0.130700660185	0.161906802407	0.153560315926	0.133915395741	0.135881790556	0.155089210556
n	0.128325100154	0.128858300062	0.145001260802	0.140711071975	0.134871315247	0.133393270185	0.188839690185
a	0.115139160051	0.115995638021	0.143815996934	0.134390743992	0.158596475082	0.120986893395	0.211075096728
a	0.080689871017	0.0825275953403	0.135261110645	0.134010571331	0.212308345027	0.0969327211317	0.258269785576
g	0.0580290480057	0.0569626847801	0.118795545215	0.12755564511	0.263202895009	0.0814885517106	0.293965635192
o	0.0445398373352	0.04734377326	0.105658595072	0.158717793037	0.273784238336	0.0684698919035	0.301485898397
r	0.0256385421117	0.0413927697533	0.101495451691	0.175786751012	0.275860286112	0.0689336306345	0.310892576132
à	0.0219961203706	0.0409382209178	0.10738436923	0.181605397004	0.230723538704	0.0670806345448	0.350271688711
s	0.0368700201235	0.0509245326393	0.11787207841	0.174692342335	0.175719456235	0.0653800091816	0.378541532904
o	0.0374701647078	0.0586800708798	0.134907692803	0.141937747445	0.142772625412	0.102551346394	0.381680340968
o	0.0191710355693	0.0400342014599	0.115841746268	0.161642605815	0.115718695137	0.120755932131	0.426835776989
s	0.0104426441898	0.0270385499866	0.089811280756	0.214308055272	0.126550325046	0.138326687377	0.39352246233
s	0.00918183872993	0.0441663766622	0.101446743585	0.223220058424	0.210375985015	0.153523685792	0.25808533411
o	0.00752431750998	0.0396622722207	0.0773619533283	0.133931750908	0.202228547338	0.196109315264	0.34318187137
m	0.00352374221666	0.0146688190736	0.0288206055761	0.0529970150693	0.0920094437793	0.304463038421	0.503517357123
ì	0.00202513398555	0.00579074705787	0.0123118803254	0.0258229406898	0.0500078763931	0.438386752807	0.465654662374
k	0.00191432246185	0.00359952815262	0.0104798649085	0.0467524125633	0.048468754931	0.379996270936	0.508788810791
a	0.00140762416728	0.00267618219354	0.00925438069617	0.0523881814478	0.047195587977	0.414347743645	0.472730253597
m	0.00062085699576	0.00156504077385	0.00479093012539	0.0217672650759	0.0216144753257	0.555324654548	0.394316744532
è	0.000383789835253	0.00139820414128	0.00348891070846	0.011762281792	0.0253493827752	0.452334158183	0.505283261511
r	0.000353609331751	0.00079626244376	0.00158904880282	0.00463213443067	0.0275941905917	0.392056132728	0.572978610504
i	0.000286751268584	0.000395948764587	0.000722497358607	0.00195827518356	0.0164432335306	0.489758617576	0.490434636835
</S>	0.000183967656292	0.000217437037294	0.000391554215803	0.00105661655178	0.0114459192653	0.573221328788	0.413483118417
