 	non	aveva	dove	aveva	per	stare	</S>
e	0.921923	0.0424519	0.016299	0.00384511	0.00366026	0.00394435	0.00787665
n	0.603491	0.281939	0.0246662	0.0115464	0.0133325	0.0305946	0.0344308
ì	0.145432	0.296268	0.0538922	0.0538145	0.0225387	0.181015	0.24704
c	0.20629	0.68414	0.0333818	0.0219949	0.00674583	0.0235058	0.0239412
h	0.115069	0.450874	0.344974	0.0203489	0.00965662	0.0192859	0.0397916
e	0.0734777	0.162188	0.41806	0.123575	0.131002	0.0341992	0.0574976
p	0.0243393	0.0755136	0.743942	0.0449892	0.0152636	0.0240482	0.0719042
u	0.0112068	0.0202097	0.236839	0.12976	0.270237	0.0610956	0.270652
ì	0.0186864	0.0259876	0.523636	0.101297	0.113725	0.0351239	0.181544
c	0.0108812	0.0184532	0.360553	0.208852	0.191979	0.0318347	0.177447
h	0.00541568	0.0158273	0.121561	0.160709	0.282234	0.282086	0.132167
e	0.0222275	0.0505725	0.0979685	0.251351	0.281932	0.0569252	0.239023
n	0.00908457	0.0137284	0.0444371	0.205196	0.370821	0.100832	0.255901
a	0.00394535	0.00879316	0.0296182	0.111673	0.471317	0.204733	0.16992
s	0.00461788	0.00554049	0.00902606	0.0560079	0.142563	0.514105	0.268139
t	0.00117301	0.00148759	0.00465582	0.0211834	0.115868	0.749439	0.106193
a	0.000854739	0.000955262	0.00296648	0.0126715	0.0557293	0.816058	0.110765
t	0.00174198	0.00208107	0.00249644	0.011041	0.0299731	0.772781	0.179885
ì	0.000570192	0.000821429	0.00267286	0.0118656	0.0873673	0.702216	0.194486
</S>	0.00106507	0.0015649	0.00419472	0.0121312	0.0232194	0.701886	0.255939
