 	allora	questo	anno	che	viene	vengo	nuovamente	qui	e	mangio	molti	pasticciotti	</S>
a	0.940614	0.03178	0.0101114	0.00205475	0.00173027	0.00162735	0.00151541	0.00147714	0.00147179	0.0014721	0.0014763	0.00151499	0.00315402
l	0.620266	0.111668	0.0730044	0.014016	0.0120179	0.00377016	0.00588384	0.010045	0.014383	0.0162775	0.0239702	0.0644269	0.0302716
l	0.100036	0.59275	0.0802366	0.0124541	0.00972597	0.00960407	0.0029736	0.0146315	0.00899957	0.00611569	0.00692453	0.0695527	0.0859959
ò	0.260503	0.467803	0.0455034	0.0175199	0.0112223	0.00817697	0.00526863	0.0141619	0.0153562	0.0158096	0.0227273	0.0467918	0.0691554
r	0.16622	0.662287	0.0838185	0.0219515	0.0103731	0.00664768	0.00420798	0.00636437	0.0070821	0.00725345	0.00757659	0.00963107	0.0065868
a	0.0952923	0.483472	0.149279	0.0864761	0.0292644	0.0427153	0.0154889	0.0161684	0.0142796	0.0140459	0.0142225	0.0266578	0.0126377
f	0.0958725	0.46596	0.135336	0.0370336	0.023999	0.0490353	0.00927377	0.0303937	0.0199977	0.0184047	0.0187411	0.0380305	0.0579223
è	0.0216976	0.147938	0.296103	0.127108	0.0648766	0.113873	0.0310964	0.0278822	0.0175783	0.00830367	0.00843584	0.0339149	0.101192
t	0.142308	0.500139	0.160476	0.029026	0.0154065	0.0777934	0.00993552	0.0200441	0.0100813	0.00584417	0.00532852	0.00797949	0.015638
i	0.027794	0.241165	0.22377	0.173497	0.124215	0.0697091	0.0473952	0.0280927	0.0128669	0.0082408	0.00779959	0.0169078	0.0185462
p	0.0551394	0.207312	0.318821	0.070401	0.0324057	0.121055	0.0168771	0.040727	0.0214441	0.0127719	0.0118885	0.0249798	0.0661782
ò	0.0135678	0.0278713	0.159651	0.231253	0.194808	0.142206	0.0683691	0.0221581	0.0188957	0.00979733	0.00720785	0.0315517	0.0726628
r	0.0670735	0.198082	0.290458	0.114125	0.0453555	0.177052	0.0277539	0.0236126	0.0156084	0.00701049	0.00538828	0.00824586	0.020235
k	0.0196213	0.0925872	0.302781	0.178982	0.152582	0.105632	0.0621811	0.0321444	0.0136738	0.00776139	0.00696935	0.0134075	0.0116758
e	0.0172494	0.0458348	0.205273	0.16469	0.165848	0.128099	0.0502803	0.108799	0.0296806	0.0170081	0.00967905	0.0261662	0.0313912
t	0.0165214	0.0545779	0.231698	0.272563	0.169129	0.125319	0.0501255	0.0247901	0.0113308	0.00675342	0.00623992	0.0145079	0.0164444
e	0.0293913	0.0465715	0.138192	0.192505	0.164144	0.153579	0.0794724	0.0518671	0.032448	0.014513	0.0121712	0.0367943	0.0483503
è	0.0240566	0.0651256	0.157103	0.232987	0.180601	0.0931589	0.0810196	0.0349352	0.0300717	0.0140499	0.00907533	0.0229699	0.054846
r	0.0182875	0.052467	0.164896	0.273465	0.157694	0.10166	0.107642	0.0282019	0.0232517	0.0133933	0.00579047	0.0120322	0.0412192
k	0.0136526	0.0345288	0.167883	0.249027	0.200921	0.11352	0.0898462	0.0330489	0.0224959	0.0111295	0.00580361	0.0163927	0.0417504
o	0.0151112	0.0285209	0.135357	0.175364	0.151346	0.117043	0.0570696	0.114074	0.0513126	0.0214307	0.00993455	0.0361261	0.0873111
m	0.0201043	0.0365308	0.0968539	0.233839	0.242386	0.0898919	0.119912	0.0617901	0.0276152	0.0119397	0.00847494	0.0270144	0.0236484
e	0.013673	0.0186575	0.035808	0.0795636	0.0869987	0.0870517	0.164209	0.0973202	0.0376921	0.0257236	0.0103044	0.0737159	0.269282
m	0.027082	0.0404142	0.0699478	0.162314	0.203143	0.0800134	0.149311	0.102828	0.0477763	0.0222235	0.0118082	0.0365653	0.0465734
a	0.0133626	0.0161217	0.0263791	0.0487197	0.0474056	0.045964	0.129323	0.174045	0.0666096	0.0474766	0.0216837	0.0982373	0.264673
p	0.0269002	0.0374304	0.0576285	0.11505	0.148513	0.0598049	0.173393	0.166272	0.0633655	0.0332768	0.0127087	0.0379366	0.0677212
à	0.00743514	0.00970183	0.0234798	0.0889236	0.10535	0.0622733	0.132155	0.168609	0.0760186	0.0557651	0.0345089	0.110622	0.125157
l	0.0101312	0.0284578	0.0556056	0.18212	0.170537	0.0584688	0.30672	0.0945439	0.0261938	0.0195413	0.00524831	0.00754015	0.0348926
e	0.00636158	0.0152916	0.0547042	0.114048	0.135341	0.0950843	0.107469	0.090608	0.0503838	0.0378725	0.0142776	0.0786798	0.199878
e	0.0156981	0.0229736	0.0355289	0.0696131	0.087587	0.0324645	0.148239	0.327988	0.100742	0.0511239	0.0103123	0.0400107	0.0577184
t	0.0136103	0.0177761	0.0269425	0.0530927	0.0606639	0.0263982	0.134868	0.336691	0.124783	0.0763352	0.0126202	0.0436929	0.0725261
t	0.00983172	0.0121705	0.0200794	0.0514881	0.0602367	0.0330816	0.13379	0.230027	0.0958876	0.0677657	0.0176777	0.0744175	0.193546
ù	0.00958173	0.0136987	0.0205864	0.0353719	0.0407803	0.0153132	0.0826427	0.267213	0.115073	0.0859976	0.0303763	0.066131	0.217234
c	0.0066444	0.0185023	0.0295567	0.0639091	0.0605018	0.0192226	0.201478	0.279406	0.123867	0.0919218	0.0197486	0.0163526	0.0688885
e	0.00307537	0.0117463	0.0391749	0.0859936	0.110662	0.042783	0.0741083	0.117822	0.106587	0.0912002	0.0512164	0.169575	0.0960554
t	0.00871498	0.0105583	0.0139471	0.0202749	0.0245125	0.011061	0.0370019	0.241192	0.237305	0.184772	0.0349743	0.0646015	0.111084
r	0.00788857	0.00867449	0.0110066	0.0181172	0.0188679	0.0128643	0.0372149	0.174686	0.167972	0.134117	0.0575135	0.121584	0.229493
ò	0.00538271	0.00760984	0.0111973	0.0176812	0.0199539	0.00738776	0.0336844	0.205376	0.20002	0.175321	0.0644116	0.0872973	0.164677
o	0.00459076	0.0118409	0.0177784	0.0311915	0.0280748	0.0085711	0.0773805	0.234215	0.194975	0.182335	0.073463	0.052265	0.0833186
p	0.00645444	0.00841701	0.0134432	0.0262604	0.0276618	0.012433	0.0391648	0.217191	0.232568	0.206305	0.065801	0.0794426	0.0648574
o	0.00333862	0.00478625	0.0113729	0.0356733	0.0448369	0.0292804	0.0604902	0.0940698	0.098508	0.095339	0.173947	0.23347	0.114887
d	0.009408	0.0142971	0.0201233	0.0246594	0.0291195	0.00956761	0.022939	0.125257	0.194529	0.203568	0.100003	0.106089	0.14044
d	0.00228462	0.00382428	0.0102327	0.0314563	0.0413523	0.0232179	0.0456503	0.0741976	0.082015	0.08478	0.246	0.26829	0.0866996
ù	0.00716001	0.00795763	0.00942888	0.0117084	0.014061	0.00774364	0.0126702	0.100179	0.147027	0.131178	0.127154	0.180511	0.243222
p	0.00340619	0.00848119	0.0132048	0.0227235	0.0200854	0.00608686	0.0349994	0.157447	0.190369	0.192947	0.160814	0.118505	0.0709297
a	0.00314595	0.0053752	0.0118936	0.0265117	0.0349781	0.021005	0.0560154	0.0978742	0.116754	0.112123	0.136034	0.253488	0.124802
s	0.00555145	0.00691284	0.00907455	0.0112324	0.0139069	0.00559508	0.0091782	0.0466419	0.125037	0.157518	0.279661	0.213262	0.116428
t	0.00482753	0.00517026	0.00635806	0.00993768	0.0100381	0.00734578	0.0154021	0.0889252	0.13093	0.133072	0.197471	0.212091	0.17843
i	0.00401218	0.00479816	0.00617632	0.0082281	0.00987036	0.00445622	0.00844057	0.0749104	0.140472	0.14793	0.214923	0.218844	0.156938
c	0.00370714	0.00446861	0.00580911	0.00733436	0.0089971	0.0037943	0.00614717	0.0322084	0.0890671	0.116138	0.232885	0.310915	0.178529
c	0.00176076	0.00516016	0.0128759	0.0337587	0.0468784	0.0200546	0.0418729	0.0698591	0.0722397	0.0737494	0.247279	0.301268	0.0732437
i	0.00415947	0.00501604	0.00686385	0.0110516	0.012138	0.00580862	0.0125905	0.073816	0.144743	0.157121	0.225884	0.17785	0.162958
ò	0.00409638	0.00355977	0.00372347	0.00438864	0.00495595	0.00414178	0.00461916	0.0154777	0.0371626	0.0611216	0.156577	0.348876	0.3513
t	0.00155088	0.00265286	0.00403176	0.00614095	0.00619655	0.00201853	0.00667178	0.0287612	0.0559652	0.0684341	0.12841	0.498204	0.190962
t	0.00261548	0.00300544	0.0042163	0.00762874	0.00802086	0.00464322	0.012287	0.0703621	0.100313	0.103864	0.202687	0.354376	0.125981
u	0.00468172	0.00601389	0.00803904	0.0102482	0.0124415	0.00487075	0.00843053	0.0365394	0.0924435	0.122511	0.236603	0.281241	0.175936
</S>	0.00304651	0.00328153	0.0041427	0.00510636	0.00628306	0.00289837	0.00404153	0.010755	0.0267121	0.0463449	0.134363	0.470218	0.282807
