 	è	che	stanno	ancora	alzati	</S>
è	0.744971	0.11318045	0.0276108	0.044193615	0.037958255	0.0320857
n	0.554694	0.26547015	0.0478667333333	0.0500737716667	0.040811385	0.0410835
a	0.322531766667	0.506213716667	0.0585815444444	0.0321665905556	0.0330652283333	0.0474407
s	0.161726588889	0.550940572222	0.143229714815	0.0352366968519	0.0338926094444	0.0749738
t	0.0999606962963	0.423962857407	0.284783904938	0.055275032284	0.0382249031481	0.0977928666667
a	0.0782784987654	0.319661952469	0.400462634979	0.0545210107613	0.045153967716	0.101922222222
s	0.0665002329218	0.213566350823	0.41553421166	0.0722594035871	0.056008822572	0.176131074074
ù	0.0597871443073	0.164896150274	0.44008773722	0.093946034529	0.051648707524	0.189634124691
n	0.0469035481024	0.152324716758	0.427912579073	0.0780224115097	0.0459081691747	0.24892880823
e	0.0583503493675	0.143615905586	0.327478859691	0.109247970503	0.0632570897249	0.29805026941
a	0.0861707831225	0.142978635195	0.261227619897	0.192874990168	0.0767775632416	0.239970423137
n	0.0681204943742	0.106539345065	0.196075206632	0.272159330056	0.108691321081	0.248414141046
k	0.0396068647914	0.0688789816883	0.136074368877	0.246888443352	0.138054107027	0.370497380349
ò	0.0298669882638	0.0489096272294	0.0756417562923	0.231083814451	0.206496702342	0.408001126783
r	0.0336679294213	0.0517634090765	0.0792562520974	0.26434793815	0.247422567447	0.323541708928
a	0.0385384098071	0.0474072696922	0.0737537173658	0.18599844605	0.231174855816	0.423127236309
o	0.027916503269	0.0299291232307	0.0415954057886	0.107170882017	0.284307618605	0.509080412103
r	0.016036374423	0.0167345977436	0.0234348052629	0.0807635606723	0.460666539535	0.402363804034
t	0.00707794480767	0.00785743924787	0.0109496017543	0.0471383202241	0.655509846512	0.271466268011
ì	0.00480273160256	0.00727779641596	0.0084146639181	0.032565073408	0.688900615504	0.258038756004
</S>	0.00505262080128	0.00901554820798	0.00980623195905	0.036372286704	0.658551807752	0.281201378002
