 	dovevo	comprare	il	pane	</S>
ì	0.3126805	0.1001058	0.11215115	0.198179	0.276884
c	0.3882255	0.122927933333	0.08810795	0.176053033333	0.224685666667
h	0.589275166667	0.137508311111	0.04591855	0.0891998777777	0.138097955556
a	0.676109388889	0.14677477037	0.0350371166667	0.0522298259259	0.0898486851853
n	0.67539812963	0.152571923457	0.0277437722222	0.0354746753086	0.108811195062
a	0.580553709877	0.214796974486	0.0250946574074	0.0278153251029	0.151739065021
a	0.408316569959	0.317134658162	0.0276273858025	0.0310955083676	0.21582568834
f	0.23732542332	0.282059552721	0.170134361934	0.0628225027892	0.247658229447
o	0.13464657444	0.179275517574	0.262970787311	0.0809099675964	0.342197409816
r	0.07835459148	0.100607939191	0.32851659577	0.134746455865	0.357774803272
à	0.0388858638267	0.052346346397	0.386715531923	0.292934818622	0.229117934424
s	0.0287820879422	0.0403056821323	0.300179510641	0.438785272874	0.191947644808
o	0.0247111293141	0.0315310607108	0.229924170214	0.534486757625	0.179346881603
t	0.0212573431047	0.0272269202369	0.252460056738	0.526013919208	0.173041627201
o	0.0176525810349	0.022855640079	0.231627618913	0.535434306403	0.192429875734
t	0.0138677770116	0.016022746693	0.227338806304	0.523916768801	0.218853958578
s	0.0137033423372	0.017893782231	0.277335935435	0.4189965896	0.272070319526
o	0.0131819274457	0.0164927007437	0.191354911812	0.434415196533	0.344555439842
m	0.0130173558152	0.0168314735812	0.220737570604	0.432986732178	0.316426813281
ì	0.0136436186051	0.0193418911937	0.275332856868	0.379215910726	0.312465271094
</S>	0.0121350593025	0.0166593955969	0.239827928434	0.376216455363	0.355160635547
