 	da	da	un	famoso	poeta	</S>
p	0.7545865	0.11590555	0.01914019	0.012251885	0.031956	0.0661604
u	0.516279166667	0.29323385	0.0281996966667	0.0184895283333	0.0579045666667	0.0858936666667
s	0.268121022222	0.407092283333	0.100606798889	0.0245538094444	0.0705375555556	0.129088755556
s	0.144553840741	0.420515761111	0.16888359963	0.0325246698148	0.0724749851852	0.161047251852
è	0.11206511358	0.476496253704	0.212121199877	0.0353633566049	0.0565445283951	0.107409650617
n	0.08452343786	0.445586084568	0.299119733292	0.0328543522016	0.0422947761317	0.0956214502057
a	0.0575204792867	0.311516028189	0.452448577764	0.0416930507339	0.0401994253772	0.0966219167352
f	0.0382908930956	0.169253009396	0.508567859255	0.104041683578	0.0616096417924	0.118236405578
a	0.0310906310319	0.108490503132	0.389144953085	0.242394894526	0.0783483805975	0.150530135193
m	0.0278951770106	0.0788588677107	0.267602651028	0.325915298175	0.119247626866	0.180480045064
ò	0.0185356256702	0.0494685225702	0.195543883676	0.411826766058	0.138471708955	0.186153348355
s	0.0198844418901	0.0450252741901	0.166287627892	0.474598255353	0.102432869652	0.191771449452
o	0.0201870139634	0.03718952473	0.113819909297	0.379540418451	0.240738423217	0.208524483151
p	0.0115385746545	0.0197294482433	0.054630503099	0.22329410615	0.543264474406	0.147542427717
o	0.00723571488483	0.0112834894144	0.0288272343663	0.11037900205	0.657135158135	0.185139075906
è	0.00645791496161	0.0093647398048	0.0228023114554	0.0659620340167	0.633342386045	0.262070358635
t	0.0035672279872	0.0053775666016	0.0160050371518	0.0393927113389	0.735947462015	0.199709752878
a	0.00287869232907	0.00397577220053	0.0103202423839	0.0277643704463	0.739439154005	0.215621884293
</S>	0.00357137116454	0.00460799610027	0.00961956619195	0.0244633852232	0.662389577003	0.295348442147
