 	guardando	le	nuvole	sapevi	che	sta	per	piovere	</S>
k	0.617635118	0.1718816676	0.0330763477	0.0285554593154	0.0287412734917	0.0296241107262	0.0284970872322	0.032233532955	0.0297554652816
a	0.517442094	0.1210747788	0.055961213206	0.0407510951996	0.0495491983476	0.0490825950649	0.0528186987386	0.0586988940308	0.0546214896458
n	0.535962686	0.22463566354	0.04134887112	0.0264438942697	0.0273872463281	0.0288073055866	0.030756386598	0.0488941854396	0.0357637814712
o	0.297285546	0.324384902	0.09068982488	0.029192390894	0.039814764958	0.0374064497537	0.0409835243013	0.0568653432007	0.0833770960814
n	0.234157774	0.446884834	0.11909742558	0.026169052092	0.0267088893528	0.0280991356805	0.0304316993527	0.0461134609266	0.042337922131
ì	0.0947462346	0.3009403232	0.1733442484	0.058578115	0.05143059792	0.05660008766	0.0669960338228	0.0767525027394	0.120611742963
s	0.146183536	0.370955063	0.242841229	0.05966740564	0.030741902064	0.0266698433384	0.0283040972403	0.0372762837659	0.0573605620516
o	0.0994319404	0.42366625	0.1712870304	0.0703166267	0.05078330318	0.026912588008	0.02608947356	0.0467046152941	0.084808030198
n	0.1033815606	0.2756247052	0.3887342	0.04638407254	0.032220297011	0.0292123692082	0.0352387860197	0.0330668693174	0.0561370429415
t	0.04956199	0.278204186	0.273424968	0.13868325114	0.0527293864	0.036607919224	0.0408500603805	0.0456820543767	0.0842563105218
a	0.2223253786	0.226552449	0.162025059	0.0800239974	0.0626532342	0.04507065788	0.04586558322	0.0702702049353	0.0852133512628
t	0.04193647312	0.0788829606	0.3953072168	0.2323871678	0.0472676266	0.033107122656	0.0461095106919	0.0399525327309	0.0850494707481
e	0.034747684422	0.05144226554	0.250209107	0.1537847588	0.1199465304	0.0817477904	0.07703126464	0.0754151986414	0.155675257723
s	0.03042760672	0.0488447228	0.322917887	0.2822660292	0.0959348892	0.03817171672	0.0571829597608	0.0403672100217	0.083886812417
m	0.0177130478614	0.03432363008	0.1993620716	0.1733349898	0.1537715998	0.1247785218	0.1141912046	0.074142838266	0.108382035576
à	0.017120180529	0.13432182708	0.1413160114	0.162611919	0.1913184416	0.0620407048	0.075343043866	0.0820491566978	0.1338786414
n	0.01929453246	0.0461128158	0.25335047	0.2201612816	0.1933606308	0.0656466546	0.02653462684	0.0568363077284	0.118702662935
t	0.021260034994	0.04095613702	0.2029678468	0.2729690416	0.17180751	0.0488347618	0.0258414251	0.026484960908	0.188878180208
e	0.045874679868	0.02553242788	0.1458327364	0.1630977914	0.255058484	0.0984778333	0.0463948452	0.04985595548	0.16987537228
ì	0.010594247048	0.01248538946	0.0302529153	0.1016701048	0.33194244	0.1979893196	0.0593751508	0.0555042665431	0.200185982312
t	0.009776096066	0.01560726924	0.0578874778	0.1283506888	0.363222637	0.1880963152	0.0661323578	0.067052504548	0.10387480884
s	0.012348767632	0.0158014803708	0.0234366468	0.141995622	0.33937094	0.177162512	0.0841566428	0.07224716746	0.133480234994
e	0.036616385182	0.01856740334	0.0386613196	0.1186036924	0.2857385728	0.1488812368	0.065396652	0.13197006938	0.15556475038
r	0.01013297979	0.012153132034	0.01703987166	0.029504365908	0.14183006938	0.248100496	0.2130468612	0.14386525944	0.1843270294
e	0.005152707575	0.0053527537528	0.0073058028	0.0331965716	0.1810139768	0.28758768	0.155959866	0.165600258	0.1588302658
k	0.0118662333228	0.0129317278712	0.01521531779	0.022162838622	0.070957943008	0.22188933002	0.3224099888	0.1297355882	0.1928311212
a	0.0087538877486	0.0068911620074	0.00767326032	0.03170403594	0.07606298972	0.221024284	0.2302545286	0.19853098	0.2191047218
n	0.0094054118626	0.0094924933612	0.010719483561	0.01384142719	0.03308241767	0.14652387616	0.354954619	0.234132298	0.1878479168
a	0.0052639110712	0.006044207448	0.00730715182	0.02455199646	0.0575964336	0.1725196014	0.2911950856	0.244383449	0.191138212
v	0.00865489554576	0.0085436578138	0.0096737912052	0.011134392198	0.0233356495	0.080300442274	0.28562838934	0.380763188	0.191965732
r	0.008268603312	0.0069178974288	0.00660570288	0.02533156722	0.04970145028	0.080921377	0.1862376308	0.313335063	0.3226809352
è	0.0071709733028	0.0379319706202	0.0604653816846	0.067463011328	0.0161678135	0.0664524386	0.23837876	0.2990270516	0.2069424732
t	0.0081695730908	0.00816359530072	0.01178072586	0.01007200278	0.02262705696	0.05126783372	0.1518511914	0.435157034	0.3009110556
s	0.008259638172	0.007087265472	0.006659799166	0.01051274273	0.03314284658	0.0672875176	0.1331469294	0.41504492	0.318858174
i	0.0117565644398	0.0284362761464	0.0345642352868	0.051212770456	0.03627852958	0.0448890317	0.154445214	0.316572644	0.321844854
</S>	0.0066928513658	0.0064130483228	0.0068682855624	0.007294560198	0.008595582014	0.01619352314	0.0890018728	0.394911504	0.46402879
