 	il	morto	si	piange	</S>
o	0.80963389	0.0564831324	0.045072522386	0.045220875982	0.0435895832088
a	0.48256799	0.359871444	0.0432223866127	0.0451620484089	0.0691760548241
p	0.289667702	0.507542762	0.0512668409	0.0691646828	0.0823579523642
e	0.228358674	0.479720156	0.08441103014	0.122897432	0.084612713208
t	0.294551192	0.482959838	0.0641026694	0.060636331724	0.0977501598702
a	0.147683806	0.491007362	0.0808337604	0.1526776314	0.1277974802
m	0.162772134	0.498455082	0.1207807986	0.0708407392	0.147151339984
m	0.0756411956	0.3680120724	0.15993137312	0.2993325526	0.0970827374
è	0.1962051988	0.319391828	0.1148709776	0.15148895	0.2180429614
n	0.1543325052	0.407565126	0.1457507956	0.0955627962	0.19678867858
o	0.168866534	0.282593646	0.231174472	0.139271736	0.1780937046
i	0.0663255644	0.1404807674	0.35972267	0.2144209552	0.219050055
k	0.04507934968	0.1038105266	0.27785452	0.334757908	0.2384975334
l	0.068555481724	0.08634810546	0.2425099326	0.407932114	0.1946545372
è	0.02674601522	0.0499612876	0.0761070926	0.266729054	0.58045656
e	0.02483796976	0.0542478658	0.1212135536	0.4153610434	0.384339756
t	0.014435465586	0.03234066172	0.0727983366	0.379237652	0.50118786
e	0.0308319908146	0.0540564559052	0.11643334006	0.447577606	0.351100544
</S>	0.01782726156	0.03852922402	0.04359067678	0.179646282	0.72040648
