 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.625565358	0.17151479641	0.036642941196	0.0382746405527	0.0386646738754	0.0414080807889	0.0479295314214
ì	0.505052084	0.280944789363	0.037947397776	0.0411076671396	0.0412449115933	0.0443365620086	0.0493666089242
s	0.423440361333	0.350400441121	0.055964361312	0.0425734648518	0.0404937733202	0.0432147369274	0.0439128975257
i	0.308849273778	0.451761190374	0.0696619464107	0.0441807374413	0.0389219888028	0.0425088932712	0.044116056502
f	0.205277555593	0.510139732125	0.0955417664969	0.0548889857505	0.0416972616868	0.0412943557297	0.0511604642495
a	0.152139404531	0.506054491375	0.138347999199	0.0617472780235	0.0428195600303	0.0413478703298	0.0575434500237
m	0.125349798444	0.448252683125	0.139111503466	0.0854453684478	0.0684676415048	0.0528253251034	0.0805476490058
ì	0.101183025548	0.367283747042	0.173930300022	0.133455559349	0.0789442544883	0.0555850385335	0.0896180274909
g	0.0677638048493	0.349724743014	0.208199792074	0.176002903783	0.0572981310294	0.0481009225856	0.092909659674
l	0.104965518416	0.314828450738	0.175059043891	0.196142672594	0.0545822193431	0.0530907938693	0.101331302452
i	0.117298879832	0.209166680379	0.205912563164	0.233716446198	0.081679293981	0.0549074603638	0.0973187437716
a	0.0592130149973	0.0947805226597	0.226574472655	0.281090839933	0.150407291594	0.0744475109679	0.113486393991
e	0.0329623610884	0.0525623032932	0.147962294845	0.279080449311	0.218165403598	0.125927544523	0.143339719664
n	0.0280310666188	0.0391574264044	0.0790980251283	0.23019783217	0.273624500933	0.178193924841	0.171697337355
è	0.0228402004063	0.0445046558348	0.0482868894894	0.181738457257	0.324109199644	0.222933337814	0.155587258318
c	0.0167188929794	0.0465989210283	0.0375495456211	0.161280470866	0.337519416348	0.271517726138	0.128815011906
h	0.0514227374438	0.0329054571261	0.0308768238317	0.134895174469	0.341123369916	0.240506002379	0.168270441035
i	0.0607762956629	0.0199748941812	0.0227532332472	0.0867834287583	0.276354067252	0.28972128246	0.243636780078
n	0.0281128881686	0.0142698888683	0.0183505814917	0.0448215240214	0.209235329631	0.44095903882	0.244250717493
a	0.0174904329083	0.0125125501646	0.016236639857	0.0275555106205	0.160111185084	0.52836589694	0.237727748164
f	0.0176880963702	0.0103924874767	0.0129042607125	0.0192289444868	0.0949664679013	0.55197813098	0.292841580721
à	0.0180038773725	0.018494295664	0.0260474624614	0.0206049056823	0.0849533350338	0.535813824327	0.296082292574
i	0.0124518010801	0.0234777550769	0.0337446828371	0.0217458000608	0.0739748350779	0.504846617442	0.329758561191
</S>	0.0109358905923	0.0205212219372	0.0252524620572	0.0209634262504	0.065056709439	0.470693295721	0.386577077595
