 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.601946585	0.14004912944	0.0329690110204	0.0264032270133	0.0242861493135	0.0255551068324	0.0264454114296	0.0278506311269	0.0297064017685	0.0344701916689	0.0303181145302
v	0.5434462066	0.108488720147	0.051141040968	0.0347301624309	0.0317729749111	0.0346783993121	0.0324247327222	0.035798845886	0.0342424643875	0.0406523675156	0.0526240085204
ò	0.411959339533	0.212927226982	0.0767249811827	0.0371924072674	0.0337902837898	0.0370605991436	0.0309026611132	0.0359201168887	0.0302258256126	0.0357712879279	0.0575252049047
e	0.253276026111	0.386189217394	0.106968106588	0.0389104466236	0.0283637388694	0.0313600117242	0.0266830082271	0.0307203857457	0.0276180402759	0.0319182969671	0.0379927209143
n	0.136345033437	0.380579505331	0.200341884729	0.0695622688119	0.0306171746385	0.0306971036441	0.026495012052	0.0284910312234	0.0275473444156	0.0316901818277	0.0376334460471
ì	0.104910471479	0.312357186844	0.282649237176	0.0938947720773	0.0350403876595	0.0313109485163	0.0243539998957	0.0264009131432	0.0241289342408	0.0275378809675	0.0374152319849
m	0.0877301962263	0.233895278215	0.332487993725	0.117645290852	0.0444121656132	0.040175335769	0.0250343318746	0.0330505591225	0.0223364467753	0.0241512627011	0.0390811784414
e	0.0597709983421	0.136764497405	0.310247746108	0.230773081617	0.0724851232711	0.0430101322163	0.0258859676843	0.0350968064668	0.0229207985332	0.0237853536957	0.0392595392236
g	0.056796978694	0.0984618138017	0.225590864236	0.328372843206	0.107840407024	0.0436024474014	0.0258588301678	0.0292402901989	0.0242883362175	0.0232889501248	0.0366582663138
r	0.077072136416	0.0695200322139	0.171339151945	0.317289295735	0.166523891341	0.0617579486771	0.0261123692059	0.0271159794823	0.0237069191589	0.0227674692104	0.0367948225036
a	0.0718841172367	0.0487748667513	0.116177887515	0.262651543578	0.272769051047	0.084835754249	0.03496915702	0.0271838817107	0.0246260224991	0.024003351148	0.0321243655406
m	0.0437881140809	0.0429165377944	0.0945754386583	0.225287070926	0.302714591949	0.118596459216	0.041354228338	0.0368345000668	0.031242395199	0.0248383022008	0.0378523591582
m	0.070097638805	0.0465171176088	0.0824476914394	0.212374343309	0.216581111583	0.139309811672	0.0499596139393	0.0501990963823	0.0354044041377	0.0262152641123	0.0708939039333
è	0.0753180733577	0.0407970582963	0.0626616308798	0.172620403836	0.203135304461	0.166754649157	0.0788766300531	0.0550054334901	0.0309794108212	0.0227559594751	0.0910955233224
n	0.0417154488686	0.0338281687921	0.0594354583599	0.139880432212	0.284556846487	0.193967711519	0.0815743016577	0.046958312806	0.0249933081031	0.0200519763327	0.0730381246808
a	0.0309414710769	0.030543826704	0.04918460508	0.107110797137	0.272673713962	0.25377636284	0.100866981053	0.0468893394153	0.0295186849877	0.0233335695497	0.0551606731537
m	0.0292944293903	0.0275016182767	0.0436191494867	0.085974476199	0.194268185787	0.313045041613	0.115208964551	0.0651600746718	0.0421897071352	0.024354320894	0.0593840687179
a	0.0281546977368	0.0307923957209	0.0414558775489	0.083635153153	0.159575290396	0.290342606204	0.131965740384	0.0904541734239	0.0518266950717	0.026042186624	0.06575525563
i	0.0189200602503	0.0254266641316	0.0285024430596	0.0578580685177	0.127700507665	0.264841368668	0.199169438661	0.118740247541	0.0679956580506	0.0241191196113	0.066726510586
a	0.0135043070552	0.0193442926549	0.0230222655925	0.0403447457926	0.102332329015	0.244958156423	0.230076435954	0.14645149878	0.0859439031835	0.0192403124304	0.0747817963293
