 	questa	canzone	venne	scritta	quattro	anni	fa	</S>
ì	0.7094972635	0.0702558493863	0.0403199057257	0.0344469229179	0.0360815728289	0.035106743375	0.036334385617	0.0379573298017
s	0.619501474833	0.166609242386	0.040136083763	0.0332058045327	0.0346037757	0.0333945563977	0.0357103328092	0.036838638553
o	0.548986183944	0.241893786282	0.0382261767395	0.0326023503886	0.0326471470719	0.032492381269	0.0368722055731	0.036279722153
t	0.453542379581	0.284831555314	0.049608201205	0.0368044818454	0.0340601176776	0.035347618521	0.0465025760946	0.0593030973078
r	0.39364670646	0.317488325238	0.0587701577262	0.0395108918065	0.0353223260915	0.0365209057468	0.0499081963434	0.0688325575815
a	0.389096653153	0.328354892279	0.0614708856466	0.0407947338604	0.0363205107751	0.037138486459	0.0472516331789	0.0595722209732
ù	0.260022813984	0.427076909426	0.0961608357489	0.0401225653765	0.0358010427063	0.0355935179374	0.0426432049644	0.0625790964982
d	0.147161924928	0.465394584475	0.163307086583	0.0497960273055	0.0386750405164	0.0343024273841	0.0368142064726	0.0645487667261
i	0.102586371089	0.359479842225	0.289723540194	0.0657418759185	0.0407401547879	0.0357030914279	0.0379117520928	0.0681134132878
ì	0.077059547861	0.219306696275	0.473044116065	0.0604593937248	0.0325532718358	0.0318946121633	0.0319677397511	0.0737146446904
r	0.0561207458717	0.163844579825	0.548750376022	0.0688506655549	0.0266935376567	0.0264038272346	0.0297236054807	0.07961269783
t	0.0764227224572	0.162072747208	0.487198407341	0.107453957985	0.0349430362678	0.0285309663347	0.0351291230355	0.0682490510055
e	0.0856146221551	0.130189745003	0.415507007914	0.192534922128	0.0488883976245	0.0322859126202	0.0328788183455	0.0621005596634
g	0.058465394261	0.0907630474677	0.338723698638	0.302295800309	0.0582328058567	0.0324821681335	0.0285005908531	0.0905364940454
r	0.0419118371557	0.0714540784892	0.253352922079	0.410969329436	0.0621180941649	0.0315878623893	0.0288597954813	0.0997461331437
a	0.0367034390959	0.0554237183431	0.185504276426	0.478734045812	0.094208174841	0.0312950026152	0.0267213358087	0.0914100280412
m	0.030133122634	0.0444282677677	0.139475246595	0.457574150204	0.156385506514	0.0521007436478	0.0297081143456	0.0901948479229
m	0.0536916621913	0.0578706646292	0.139524664585	0.378469911668	0.152142463091	0.0678449770433	0.0446118655659	0.105843773607
è	0.0614457196284	0.0605926378431	0.166128580062	0.350849744156	0.13618538175	0.0644959693944	0.0445276020893	0.115774345746
n	0.0372368992475	0.0470926068544	0.162759424354	0.370801651252	0.181109750583	0.0586777959515	0.0314634859411	0.110858408027
o	0.0299404144738	0.0383863754581	0.117626064518	0.320880868684	0.250209864461	0.0885552953972	0.0367504693417	0.117650677235
t	0.0261891400826	0.0314343341687	0.0718781723793	0.278218749361	0.286447450487	0.125313849839	0.0528303894672	0.127687906272
è	0.0258671876475	0.0313012630056	0.0636808120664	0.254931763587	0.295617743162	0.142574168346	0.0642037158557	0.121823354877
s	0.0230725253825	0.0307249827952	0.0681966700221	0.236043417329	0.303649903387	0.159788505315	0.0718995910319	0.106624426619
s	0.0190475473008	0.0252681654251	0.0572635027407	0.239323244776	0.267906763196	0.172546441105	0.091507802704	0.127136507491
e	0.0178409531069	0.0200458695817	0.0393251435402	0.169936021165	0.225935830665	0.224372194768	0.120149492395	0.182394471182
r	0.0141260371423	0.0172249643939	0.0273652183867	0.0952123443617	0.202760629422	0.293349332256	0.143017938465	0.206943571127
u	0.0127612979501	0.0154545717513	0.0224721145256	0.0671190809139	0.162682000741	0.303892634752	0.194433940222	0.221184355842
c	0.0124910382987	0.0143925052438	0.0217028969852	0.0461315924646	0.123219060714	0.301951177584	0.257777477407	0.222334221614
h	0.00968578672957	0.0117884138109	0.0185531977284	0.0422136114549	0.0952478417047	0.331548148528	0.272301495536	0.218661555471
r	0.0166050201405	0.00952140200623	0.0152164610115	0.0318416051316	0.0650734626682	0.309727769509	0.262181807245	0.289832516424
ò	0.0196836987202	0.00905745759548	0.0161456237458	0.0221957745892	0.0567168065161	0.220765069503	0.348389462082	0.307046132141
n	0.0133965713227	0.0113311251322	0.0182652290553	0.0258376812177	0.0642970608827	0.184692502434	0.390369170027	0.29181070898
u	0.0151009099702	0.0152436401987	0.0200261356118	0.0277670375886	0.0531958034182	0.167973131545	0.373742953342	0.326950441927
a	0.0191600854741	0.0145726281889	0.0176350553106	0.0213413226495	0.0330652504127	0.133238714848	0.443796419781	0.317190567309
m	0.0176154552954	0.0124858558996	0.0166215072169	0.0316666727765	0.0459747585376	0.177287125216	0.42851235886	0.269836331236
p	0.0128109712285	0.0101220777792	0.0137209002123	0.0330214591855	0.0521385498172	0.259815303472	0.37112626406	0.247244509452
ì	0.00902308840617	0.0069398200304	0.0092470637041	0.0176769990418	0.0326382728904	0.220442035557	0.410629140193	0.293403586057
</S>	0.00716991085309	0.0066074998852	0.00995755575205	0.0154583423509	0.0248024939152	0.143067005379	0.452052318097	0.340884901028
