 	sta	e	dorme	nel	letto	</S>
s	0.757371162	0.07940285096	0.0401643738275	0.0388966700125	0.043132221278	0.0410328307525
t	0.685572083333	0.1095668144	0.050693094724	0.0429864472958	0.0512011720297	0.0599804620447
e	0.545401754444	0.220334470893	0.0601754541545	0.0442201868462	0.0588879139557	0.0709802123431
c	0.350842137815	0.357489686298	0.122042933705	0.0449826141888	0.0609799798164	0.0636626925303
e	0.209182020672	0.417466554099	0.198899970568	0.0464012385383	0.0609443862552	0.0671058677116
p	0.147040850651	0.341275081366	0.313357039523	0.0597938887081	0.0648562133165	0.0736768591772
l	0.166685644644	0.202503212855	0.374221223841	0.082041739956	0.0679695173722	0.10657855299
ò	0.157233200015	0.149308234018	0.409121559947	0.0863176769187	0.0593609088707	0.138658336763
n	0.090418411185	0.145949485339	0.492663353982	0.0857472836396	0.0475692784102	0.137652136394
n	0.0953914162417	0.13121441198	0.421545593994	0.139429437147	0.0624194500167	0.149999690736
i	0.0880698380272	0.0880661295267	0.276034318665	0.301872442716	0.0916921012056	0.15426521463
s	0.0489379430024	0.0527763618756	0.181913808688	0.438641619905	0.115681010335	0.162049262543
t	0.0527148240008	0.0369402116852	0.151613416829	0.422177029235	0.154261755512	0.182292789688
o	0.0506930749869	0.0275235764817	0.110896534183	0.347823162345	0.241936548237	0.221127183203
g	0.0254729378515	0.0186542139228	0.0600115854277	0.275180434715	0.344471732479	0.276209115734
r	0.013671002753	0.0119473348565	0.0427269366826	0.235362038705	0.41622120576	0.280071406638
à	0.0103019064223	0.0113919955888	0.0323321258075	0.206613037062	0.46374775352	0.275613062939
t	0.00939062479477	0.0125339533076	0.0251279103892	0.146834910114	0.50240304184	0.303709483646
t	0.0105552695616	0.00927471652853	0.0227083861031	0.140486035298	0.486450607947	0.330524945595
i	0.0124045808609	0.00877881875404	0.021543692026	0.128806646759	0.435748145982	0.392718061578
</S>	0.01196364529	0.00981043033682	0.0188982522704	0.0915678796795	0.422521408991	0.445238319789
