 	sto	ancora	cucinando	</S>
s	0.750776737	0.101692503161	0.0737679928397	0.0737626464395
t	0.715852990333	0.116781369368	0.0738360807936	0.0935295329392
e	0.644849692111	0.177941955459	0.0671397323294	0.11006867878
a	0.470403036704	0.349820780753	0.0711308481178	0.108645350736
n	0.299408078901	0.468082282251	0.0850507230393	0.147458882712
k	0.279540361634	0.417631960384	0.0938822487931	0.208945374504
ò	0.251428979011	0.378898091761	0.123977297178	0.245695648168
r	0.185153764804	0.437452745254	0.133440404593	0.243953126689
a	0.144671244001	0.387616893218	0.153246771998	0.314465056196
m	0.125139483934	0.287122090539	0.259666715866	0.328071595599
a	0.100367864078	0.20885646138	0.348006454889	0.342769185733
r	0.051294146026	0.120758140193	0.414632978296	0.413314844911
è	0.0373956487087	0.088435385331	0.457386736232	0.416782324037
o	0.0260989948296	0.067671489097	0.457989548211	0.448240021079
n	0.0266149680565	0.059551229559	0.49326187607	0.420572001026
t	0.0913624141388	0.0668554335263	0.457673689623	0.384108501009
a	0.105352930206	0.0610750648888	0.377162745074	0.456409243003
</S>	0.062053086843	0.0508633844144	0.359888206937	0.527195300501
