 	li	vestono	i	genitori	</S>
a31	0.20088	0.0889512	0.245909	0.300506	0.163755
a46	0.0933566	0.0513076	0.349897	0.38647	0.118968
a18	0.0977073	0.133092	0.349528	0.301188	0.118485
a35	0.119676	0.133418	0.355977	0.281132	0.109797
a15	0.108424	0.144003	0.307681	0.293416	0.146475
a39	0.138359	0.165435	0.271819	0.265442	0.158947
a31	0.146071	0.170837	0.270345	0.259997	0.15275
a11	0.0470861	0.0380029	0.356074	0.391547	0.16729
a20	0.153204	0.162817	0.323043	0.251816	0.10912
a31	0.124751	0.146187	0.312418	0.282486	0.134158
a39	0.046746	0.0291187	0.296908	0.419202	0.208025
a20	0.193332	0.173708	0.281665	0.2362	0.115095
a46	0.17619	0.146815	0.285912	0.260703	0.13038
a31	0.155851	0.160614	0.244676	0.261938	0.176921
a15	0.0469862	0.0172184	0.157923	0.478981	0.298892
a24	0.167412	0.132702	0.252597	0.291817	0.155472
a20	0.162678	0.0710159	0.257207	0.313238	0.195862
a31	0.163114	0.114148	0.270201	0.297268	0.155269
a13	0.028443	0.01064	0.0853206	0.517766	0.35783
a46	0.143904	0.0732083	0.232868	0.343164	0.206855
a14	0.117397	0.0775034	0.202277	0.380332	0.22249
a20	0.114979	0.0585398	0.220183	0.387701	0.218597
a31	0.107687	0.0641495	0.227606	0.38937	0.211187
</S>	0.0146792	0.0121655	0.0563148	0.530373	0.386468
