 	quando	Giovanni	venne	a	casa	la	sera	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
a8	0.01534744739	0.0128611419	0.0148908463	0.00961969158	0.004333121226	0.01191356776	0.02237241608	0.0427609462	0.1026278248	0.0629700276	0.04104605642	0.0641310353	0.05212058086	0.0467030897	0.1100119926	0.1534169028	0.23287331754
a39	0.00588454166033	0.0122746493967	0.030126213506	0.02154403424	0.0092320796704	0.03528404346	0.04311323788	0.10592293058	0.1188173858	0.2444060892	0.1041400678	0.0326452803	0.0671690934	0.112456431468	0.043714287484	0.0076779124676	0.00559170975388
a31	0.00148718115421	0.00485266827447	0.0468347976972	0.0216718140206	0.0060798611194	0.0255822254	0.13838688946	0.194190942	0.2131050262	0.07681033534	0.0605157962	0.05849472274	0.0809554034	0.03088902148	0.0269043416	0.0089911520499	0.0042477718304
a20	0.0096303012172	0.0813507033095	0.0586288603572	0.0190548854999	0.00778952099959	0.0417496595284	0.08926783416	0.16171183694	0.178762286	0.0455577112	0.034272602408	0.07093443176	0.06725504166	0.08650625434	0.0210629619	0.021424540542	0.00504059685484
a24	0.0057998058447	0.0587234081684	0.0276580791344	0.017679797992	0.0188437392574	0.0470086070538	0.0441273510806	0.104684846064	0.11650747058	0.111891214248	0.09799508841	0.04550699958	0.048550096	0.205447956902	0.03391283534	0.00862363960752	0.00703904157968
a8	0.02923288028	0.0632862827362	0.061681615072	0.05804679766	0.0209867176722	0.053679777048	0.05633332444	0.1172599305	0.0747912138	0.10417655112	0.04337539374	0.04916417678	0.07011803904	0.11757928376	0.057447720468	0.014012124852	0.0088281760688
a24	0.0299505462134	0.101425295207	0.0514114965558	0.0341404117525	0.0108280659451	0.04287762538	0.04926806804	0.09134132446	0.0724605048	0.1182666614	0.043013327	0.11507262704	0.04446806338	0.07337577832	0.09996001432	0.01173300971	0.0104071907927
a31	0.030508564034	0.047229177718	0.02747298296	0.02132889404	0.0201287702662	0.063089666006	0.0532706073	0.09798651006	0.07145324154	0.0848880152	0.0553997608	0.12145524318	0.029492412	0.036089585936	0.19959723512	0.02121543902	0.019393870054
a20	0.020351822672	0.135716428079	0.029888789064	0.009327360134	0.00506242259157	0.0316753529056	0.046812843008	0.05431066128	0.0400488367	0.09020948334	0.05162433286	0.13721274898	0.02555376018	0.13664410988	0.1300417248	0.04042455662	0.015094735234
a31	0.014690155804	0.009603548572	0.00810423952	0.006605280164	0.009025403133	0.044238156132	0.028811002451	0.10388222954	0.10916099272	0.05661241026	0.03523137178	0.16276770808	0.0275243236	0.07225323128	0.2199444126	0.02275766644	0.068787854452
a8	0.01714323544	0.116152022965	0.034258200038	0.007728189246	0.00465019030968	0.0352671572894	0.054496982674	0.0562304924	0.03907344346	0.062046885524	0.0396066516	0.07984340894	0.0190083367	0.0284100506	0.2789179672	0.10300690354	0.02415987898
a31	0.0285142779316	0.0161805439682	0.016719523228	0.0189227649068	0.0102690180384	0.041621250376	0.04625418446	0.090991663586	0.1207988508	0.068559743456	0.03474138822	0.13071669486	0.0416274758	0.0494005164	0.2088377138	0.0223579754	0.05348642918
a20	0.009859355464	0.055929541876	0.0257207373	0.00955863786	0.0059289054118	0.026440942298	0.04477721108	0.03523335442	0.03654181398	0.05285597682	0.07429616828	0.0357186836	0.01463176326	0.034817751004	0.312423995	0.2070514252	0.01821371898
a31	0.009972844338	0.00861945971	0.0077262134	0.008617166428	0.0066119970976	0.027853599552	0.01626607824	0.07984848992	0.1643886358	0.056027831532	0.0322706606	0.08049586002	0.0326032984	0.06270609742	0.2601602628	0.09303144862	0.0528000512
a9	0.0045849161714	0.00887050951	0.013599588194	0.006418214434	0.00484567293	0.020870596732	0.03665445316	0.0372829615	0.0478077873	0.0422435247	0.14372399252	0.0413232304	0.01548604528	0.055807007232	0.3181262932	0.186118835	0.0162363472
a31	0.0043355268552	0.012066549896	0.014633936306	0.01237857267	0.0111670448612	0.02407934344	0.02858107612	0.0795246493	0.11968068444	0.085718896	0.16514358418	0.0996128898	0.0274040158	0.047195997594	0.23562995284	0.01570176274	0.017145505728
a24	0.0027300668168	0.003853404612	0.006900762206	0.004784325444	0.004093293374	0.01757386354	0.03655135952	0.044548675	0.0773233852	0.0453872742	0.13135812956	0.04072489684	0.0218706996	0.08057698188	0.3080702808	0.1542234464	0.0194291575
a8	0.0017372121592	0.001976004416	0.00796893894	0.00482748092	0.005296937166	0.01946183562	0.02336065566	0.0883050054	0.15250076152	0.13475023852	0.03947674016	0.06137128874	0.05982334796	0.039821183108	0.2410364432	0.092643004676	0.02564288564
a46	0.03907185706	0.025686236886	0.040454888136	0.054275291454	0.0280532001336	0.05559676765	0.0364408603	0.06502341612	0.12974361622	0.05917996528	0.039729749632	0.08094745848	0.02394153436	0.03043470144	0.25187813426	0.02615646854	0.01338588952
a21	0.0435314575732	0.029774481454	0.0473137994	0.04758055335	0.0203530511346	0.04514984417	0.06289441408	0.0631106631	0.113466784664	0.051864728212	0.04206105792	0.078492965264	0.02128587898	0.0461216478	0.23686378404	0.0272288043	0.022906122
a23	0.044897499188	0.04809041682	0.03695689472	0.036335521988	0.0142124222282	0.02657480733	0.03810654553	0.0422378639	0.111288263	0.04738748276	0.02593927902	0.06966790682	0.0344730908	0.12427559812	0.1815305396	0.05666894616	0.06135694432
a31	0.041177325098	0.049960479422	0.04077498738	0.040809684462	0.0138991627756	0.026535718808	0.050871468494	0.04000246012	0.10572921124	0.042338520952	0.0483991417	0.098173973108	0.02457084746	0.07152040978	0.2309558096	0.027953977514	0.04632680792
a46	0.016124195634	0.124966332414	0.02132612114	0.011260088986	0.0083041027506	0.019736742588	0.03484212394	0.06539275512	0.09136852294	0.03966975206	0.02706802902	0.0420881975	0.0229271622	0.05377762296	0.314866998	0.05588301732	0.05039825162
