 	guardando	le	nuvole	sapevi	che	sta	per	piovere	</S>
a31	0.08882757288	0.09167122286	0.0722358216	0.093267197	0.1013602288	0.03408599762	0.078971379	0.1198713236	0.3197092556
a46	0.0594210807	0.228949666412	0.0758544772	0.14044737538	0.04276288872	0.03118259318	0.17780433132	0.21901320292	0.024564409
a31	0.021648649026	0.080478188312	0.07434259062	0.16554956546	0.1967045768	0.0733529904	0.06198356736	0.251484395542	0.0744554891354
a27	0.0158945892	0.05069943379	0.09901508688	0.1422773859	0.17769136554	0.1190035004	0.149683649	0.1763785672	0.0693564362
a41	0.035774612088	0.148602949507	0.2667184802	0.2379710456	0.1031077758	0.0241118842	0.032269363064	0.13278790058	0.0186559635852
a1	0.0354788966	0.081131265628	0.1067982373	0.20831525028	0.1889772918	0.0389882278	0.0383236152	0.27671843256	0.02526881184
a21	0.02329648508	0.03721359276	0.11821675006	0.2869129894	0.1374681516	0.028839807	0.0532724292	0.293209017534	0.0215707735748
a31	0.06269163728	0.12109407438	0.1400856674	0.197094453	0.094654519	0.0500048884	0.0645850844	0.22297084432	0.0468188542
a13	0.05378922724	0.15555610816	0.1617925242	0.2174618396	0.1495505777	0.05095399526	0.091014088	0.09202179746	0.02785980424
a31	0.0360086528	0.0646039854	0.12625926588	0.303823408	0.1318683542	0.026572375	0.035767662754	0.216240424548	0.05885586818
a41	0.14403230646	0.1169193865	0.1381314872	0.13926023438	0.1746119256	0.0441365658	0.0764977314	0.1110447152	0.0553656438
a35	0.11290832616	0.0646182038	0.1440051612	0.27561194	0.115384486	0.0570581034	0.0493320266	0.1364670433	0.0446147048
a31	0.12093737	0.09834469246	0.1329541168	0.203716505	0.091012227	0.0665150808	0.06218191226	0.1492394432	0.0750986388
a14	0.15169934932	0.0569984282	0.1080490522	0.110469798	0.1170449732	0.0603961076	0.0988526752	0.1622866874	0.1342029076
a28	0.10511646716	0.09577100864	0.1311852648	0.196518514	0.100811252	0.1226216352	0.09229848144	0.08774361538	0.0679337682
a31	0.15635782646	0.09750937312	0.12835961	0.167535448	0.093473434	0.0799411102	0.08237481542	0.09468992874	0.099758476
a0	0.161308877	0.07600828056	0.1365737136	0.101458137	0.071502699	0.0744547868	0.101009224	0.11437833034	0.1633059656
a31	0.13743753352	0.11673035386	0.1336390374	0.15432074	0.105536826	0.0949692948	0.09145992596	0.07737405086	0.088532222
a46	0.1603081046	0.0756643074	0.128760555	0.1012170156	0.0912563052	0.070855824	0.096486732	0.106369599	0.169081558
a17	0.14709097966	0.1276489054	0.133021565	0.1453240856	0.0955324168	0.0770876098	0.08538075894	0.0676780072	0.1212356512
</S>	0.14418756568	0.10721762	0.0899884078	0.1295003038	0.1047035646	0.0765185866	0.1007488572	0.0918944828	0.155240597
