 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
a31	0.1913823284	0.09954060094	0.0176334076	0.12327640788	0.1364460202	0.00767596506	0.01749312852	0.12409804072	0.130084871	0.1523692166
a24	0.178052789258	0.010312650448	0.00597810158	0.0279375111	0.18305416874	0.0159843018412	0.0373978803264	0.0936405232	0.258505340608	0.189136725586
a31	0.073318325813	0.0530110483014	0.01309389533	0.0276243798	0.3960990415	0.039824047	0.0365269603758	0.047966273294	0.15205561208	0.16048043623
a13	0.0605290783914	0.0464005957088	0.005905075958	0.01579676554	0.47847166172	0.0210983629176	0.0255551244106	0.018463118924	0.16589146068	0.16188877026
a18	0.150764345734	0.0677532001542	0.029112195134	0.06837292718	0.25876457346	0.02683802236	0.0285142384384	0.0379916494854	0.126514746668	0.205374078412
a20	0.180318059699	0.0892285612464	0.06383713161	0.10104532716	0.1306477192	0.0233767507	0.0190350620176	0.037576150818	0.18580406946	0.16913115548
a31	0.201078132114	0.120425326588	0.064634279	0.13751742888	0.1090498804	0.02792439904	0.0325355725314	0.111446258586	0.1243051706	0.07108352118
a37	0.10332065536	0.10358132768	0.0525792608	0.128869602	0.278689474	0.02396253454	0.03504206908	0.11052669148	0.0536984756	0.10972991328
a31	0.13249531562	0.054102831694	0.05900380604	0.170474449	0.1578164394	0.018971147	0.0279610461	0.1574388804	0.1394135889	0.0823224966
a11	0.1928200016	0.115619073548	0.0466950294	0.0916433431	0.2108358056	0.027479572	0.0486699942	0.1709552583	0.0381496	0.0571323257
a31	0.11527187495	0.03237314324	0.06320494404	0.08022654866	0.1649945198	0.02470620332	0.026733904	0.2311805064	0.1864118826	0.0748964552
a11	0.1909942156	0.123007510812	0.0392373572	0.08941428156	0.2200337136	0.0289461301	0.05442263172	0.1625112672	0.060630782	0.030802125
a31	0.110913398386	0.03545100504	0.068925035932	0.056567593146	0.18456725556	0.03843377032	0.0278124957	0.2013694618	0.2021648336	0.0737951708
a11	0.1765901334	0.12929980572	0.05367436392	0.10259210454	0.1995172074	0.0432064842	0.0602940284	0.1110161724	0.095753556	0.0280561537
a31	0.124139969408	0.0381817878	0.0747571435	0.05823582551	0.17005836148	0.0452951302	0.03821246936	0.18902403	0.2140664048	0.0480288812
a13	0.1791691822	0.1187646874	0.066261449	0.1113028624	0.165485821	0.04142447952	0.0612459262	0.0882938994	0.1337744286	0.0342772756
a31	0.14119982677	0.04773872788	0.079247567146	0.056657831776	0.1252521786	0.04342755394	0.04652536612	0.1701595094	0.2545554526	0.0352359781
a18	0.1705781074	0.1069865712	0.0690724254	0.11389031546	0.146472928	0.041173627	0.05882073268	0.0754235128	0.1689983524	0.0485833984
a31	0.13360005099	0.0651530602	0.106118008388	0.069409993552	0.10163041974	0.04677421832	0.0512199958	0.1044495864	0.2883221674	0.0333224956
a10	0.1392420914	0.1149018016	0.0714932784	0.105227794	0.124335584	0.05158305294	0.0607979192	0.070357212	0.1923512894	0.069709946
a7	0.14586133656	0.0995297336	0.1309247158	0.06472135962	0.0765910314	0.05423962552	0.0586386898	0.075096393	0.2346958666	0.0597012072
a31	0.112188915274	0.1312081794	0.09968437194	0.06152072986	0.074783214	0.0740043314	0.0687847292	0.0809491572	0.2328487786	0.0640275902
a20	0.1034119876	0.145048705	0.0858596018	0.0770723036	0.0970109228	0.06774167288	0.06259208222	0.0656610734	0.1870374668	0.1085641408
a31	0.11792752786	0.1144490838	0.10637614668	0.0589776911	0.0675739538	0.065955966	0.0593814864	0.0772272782	0.2353235032	0.096807391
</S>	0.1256120376	0.148508042	0.081897652	0.0640912428	0.0896368308	0.06890483886	0.05459876928	0.0637258476	0.1809402784	0.1220844576
