 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
a31	0.2167118582	0.198087698	0.065893299698	0.07980049418	0.004940451094	0.01103455418	0.040991013392	0.2668764176	0.11566424314
a24	0.134460364267	0.117314401876	0.095728049439	0.110355716926	0.120380763606	0.0207670354826	0.0827021916	0.29687751454	0.02141399083
a28	0.0109747691935	0.062394852554	0.167476294748	0.27118488658	0.104364982945	0.158559522732	0.04391615577	0.137871146445	0.0432574283708
a31	0.03292880396	0.10274234224	0.115130303246	0.4090065322	0.0426354182274	0.006156869331	0.019382147816	0.245255754904	0.026761826354
a8	0.01798753322	0.0747447357	0.144823098328	0.3219142504	0.126109323049	0.0405498642407	0.070983136884	0.161942608016	0.0409454499368
a0	0.0982523061	0.07984138232	0.121864919809	0.156361769	0.172314277538	0.117055931634	0.0496300093	0.17862613677	0.0260532836265
a31	0.1471343109	0.115777448	0.112977884381	0.1308388854	0.13555880864	0.05107275812	0.043812812	0.248914142146	0.013913000712
a39	0.0908930706	0.1826655668	0.09240951197	0.1514142284	0.02429021488	0.0317914778	0.0737464976	0.30182739	0.0509620246
a31	0.09095380088	0.132241318	0.0790542700056	0.0690311952	0.013174009768	0.020382963516	0.141162074	0.401556672	0.052443699
a8	0.08116419446	0.120418094	0.090402984652	0.0949861306	0.0195673548	0.02466927012	0.084380531	0.36661159	0.1177998358
a31	0.11003905998	0.2144190488	0.0652490545212	0.0851912268	0.0113086434532	0.019302782438	0.0731039793	0.341455492	0.0799307452
a24	0.1438442228	0.1457814408	0.06561721592	0.0934688422	0.02661663842	0.05061629274	0.076410792	0.2194329894	0.1782115376
a46	0.1200987797	0.2223577346	0.081796637248	0.078819505	0.027792948956	0.03431070154	0.0463741754	0.2391579792	0.1492915284
a31	0.1374515761	0.2411652856	0.0644186817	0.0609291148	0.0286783237	0.03695144694	0.0530080664	0.222904622	0.1544928694
a1	0.2150250224	0.1586836458	0.0527830936	0.1178689646	0.03420199072	0.08540668776	0.0608752104	0.1431337476	0.1320216556
a31	0.12725206054	0.2200382522	0.07146132311	0.0675515623	0.03543530862	0.03669216472	0.0623066148	0.2273367534	0.1519259386
</S>	0.1929766892	0.14556589	0.05624456694	0.1269847784	0.04456191076	0.1141844078	0.0740480082	0.1372903486	0.1081434
