 	ora	che	loro	non	vengono	più	</S>
a39	0.3660279398	0.06513929876	0.18567877324	0.01792681706	0.022789256334	0.070084497936	0.272353444535
a20	0.273090280037	0.227397609232	0.21350809584	0.081338872736	0.000380177046	0.00473278641	0.199552136872
a13	0.2018074192	0.05140549716	0.36526676336	0.15664454372	0.00858226031626	0.055849363694	0.16044416583
a17	0.2247378034	0.14736545454	0.4150629008	0.0692387626	0.00585497885	0.0356833152	0.102056750602
a39	0.1823988446	0.2559757584	0.331965803884	0.04935412102	0.0107898644455	0.07069000248	0.098825605699
a8	0.22147308	0.33841490668	0.235798536532	0.0212492308	0.016547891769	0.0789163007	0.087599997646
a31	0.35465330244	0.2823890082	0.169564424426	0.02422472354	0.0111356126463	0.077035202248	0.0809977336626
a15	0.2533742126	0.2130442354	0.3463365534	0.030361184	0.0467075003504	0.0391506502567	0.0710256901734
a38	0.50407257539	0.1483849102	0.133655429713	0.014433611636	0.0535190598574	0.0953929889	0.050541426218
a31	0.347373745	0.256320417	0.13172755146	0.0415466502	0.064289114426	0.07060565796	0.0881368628
a13	0.2678071026	0.18663928372	0.35076453462	0.0649087424	0.0382412867801	0.039127766994	0.052511266758
a20	0.44123862	0.1521934924	0.15282720434	0.0208865414	0.0963587664702	0.06472283552	0.07177256458
a7	0.4968606154	0.14709721116	0.13072024268	0.02526076794	0.0956473751886	0.05519999512	0.04921383254
a11	0.4651502932	0.15921463652	0.1349115392	0.03176333176	0.117450359213	0.0455304966	0.0459793476
a24	0.4620822864	0.1605833429	0.1441395917	0.0480576753	0.101572686284	0.03485495542	0.04870946054
a15	0.471224444	0.1318082782	0.1507452176	0.04980055898	0.088938857694	0.0389852654	0.06849735008
a24	0.384387692	0.16025179432	0.140634195	0.0590179167	0.135154685106	0.0431764665	0.0773772185
a31	0.41719496	0.1879772215	0.1568234306	0.09154774426	0.041450549472	0.0367764756	0.06822960014
a0	0.3960104708	0.1571520689	0.2132421092	0.09035086258	0.047318831652	0.03497209888	0.06095361454
a18	0.403840868	0.1679854518	0.1212189766	0.09393820812	0.05781024118	0.0774300202	0.0777762488
a31	0.322980026	0.1794892438	0.1648103064	0.103232471	0.03768497906	0.0613685184	0.13043442886
a38	0.2835091616	0.13962846984	0.23581295	0.103740765	0.04757308276	0.0618603514	0.1278752126
a31	0.333046896	0.1607790566	0.16457430672	0.1004029728	0.04066980238	0.09418919356	0.1063377392
a20	0.20737569	0.13029840498	0.253846658	0.1157424313	0.050215099526	0.05422279412	0.188298933768
a31	0.260477044	0.1477771866	0.1958775208	0.1000133148	0.04489965434	0.0801892514	0.170766052
a35	0.213149146	0.12836831992	0.2533685832	0.1151114104	0.05919832018	0.05687642956	0.173927789684
a31	0.1272121402	0.1359120448	0.214526678	0.12157345	0.09552372874	0.1198116078	0.1854403396
a18	0.2197270652	0.12239901374	0.255875845	0.106145684	0.06031074086	0.06429344895	0.171248182939
a31	0.145856041	0.1614526156	0.207916162	0.1212957512	0.07960286656	0.1011026278	0.18277391382
a46	0.20605143	0.11582193526	0.2557833	0.1109151712	0.07009115312	0.072417328648	0.168919675064
a39	0.1167927812	0.137294319	0.210691162	0.1245940068	0.08334289832	0.1194710278	0.20781379892
a31	0.2270778228	0.0973271746	0.219790524	0.124626322	0.06939553436	0.08955981694	0.17222282759
</S>	0.1856028624	0.10774258768	0.254845422	0.12702452	0.08028018982	0.08875079374	0.155753619068
