 	dovevo	comprare	il	pane	</S>
a31	0.3126485265	0.21959393963	0.10671771083	0.22037358326	0.140666272596
a46	0.4023686859	0.189808172697	0.101710216677	0.16668103572	0.139431920351
a31	0.476192750113	0.128855965106	0.097087667919	0.120173729107	0.177689921312
a18	0.484863286714	0.139815936709	0.086052558753	0.111734137389	0.177534104919
a13	0.482525626236	0.13835784127	0.0889296877843	0.12039423401	0.169792639814
a0	0.521035605697	0.128479379923	0.0867658787281	0.109375956337	0.154343209265
a20	0.547879893382	0.138515929708	0.0946405969694	0.0942715545477	0.124692041627
a7	0.545390489327	0.138946784569	0.10941903925	0.0959477004512	0.110296004821
a20	0.516040847109	0.133762858323	0.11145020535	0.11298973425	0.12575637034
a31	0.484063701036	0.124271623641	0.115921293183	0.134802781217	0.14094059998
a11	0.449029125012	0.14509313628	0.122106055794	0.149176049006	0.134595627127
a39	0.411601631671	0.18408432676	0.127671852798	0.152165559002	0.124476633309
a31	0.362398797357	0.165901150253	0.132235987599	0.196298310334	0.14316576297
a13	0.341279453919	0.170038112351	0.1314768108	0.206202308111	0.151003322323
a17	0.344872077306	0.208641988117	0.139822729067	0.17049458857	0.136168613508
a31	0.285885267769	0.195226984039	0.152695010556	0.21538203139	0.150810690103
a46	0.250333233256	0.186661072013	0.163864017852	0.22549663673	0.173645034434
a20	0.257579301352	0.192417749671	0.173874346617	0.202231609177	0.173896993345
a31	0.220987650051	0.177152876224	0.179999266872	0.251465229726	0.170394965648
</S>	0.192888269025	0.170461233112	0.182079642436	0.283524851863	0.171045983424
