 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
a23	0.052749638754	0.09766492311	0.14477551896	0.046794198634	0.104312140285	0.3384785621	0.088469210268	0.126755822419
a31	0.0421945262058	0.19426503249	0.165735528027	0.043234533794	0.113627384637	0.316438929033	0.0651887715878	0.059315310235
a37	0.0445566231371	0.21757238323	0.150758175609	0.0978996472247	0.151341309164	0.194838625744	0.0930401400837	0.0499931176833
a20	0.0561127637957	0.123548721143	0.132103415736	0.133963520342	0.157435677368	0.171123131315	0.160488107823	0.0652246690907
a31	0.0433107858786	0.075531078961	0.109702171912	0.106676795447	0.161798499123	0.247136455572	0.180873690668	0.0749705200598
a7	0.0398194120909	0.0565527478137	0.0988124218373	0.0846567224823	0.204809457954	0.266687566324	0.160777440576	0.0878842289419
a10	0.045656842515	0.0857572816512	0.102343124046	0.0771400290941	0.213578163885	0.227977259141	0.159833238585	0.0877140467006
a41	0.0502184789497	0.11169322635	0.104144438582	0.071852629298	0.203793902682	0.222666102214	0.151648714335	0.0839824920535
a37	0.0716552883759	0.103884154203	0.0882569341207	0.0630275534327	0.224142979227	0.242333695205	0.119952216878	0.0867471786845
a14	0.0854296205766	0.0967663973277	0.0773525611936	0.0548168185642	0.226075476209	0.277397548602	0.098651058186	0.0835105280948
a31	0.0660417505582	0.115273707799	0.0737961836879	0.0608687075261	0.20606591229	0.307042468534	0.100674955209	0.0702363227916
a20	0.0538178661127	0.123233258661	0.0703052451175	0.059427388491	0.163928049717	0.366218003911	0.101570024283	0.0615001684172
a31	0.0467144807216	0.094007247979	0.089223807944	0.0679626704947	0.137686729772	0.394208163704	0.100212274061	0.0699846304657
a37	0.0403737864205	0.091898343473	0.103738107059	0.0736843073316	0.126017896257	0.399233989901	0.0952563513003	0.0697972174859
a7	0.0500419579908	0.116217936224	0.0970095175037	0.0599739200772	0.112026350619	0.431517912967	0.0746254468068	0.058586963098
a10	0.0481302495929	0.131535365391	0.0928573168359	0.0571558657684	0.12714689194	0.425670681322	0.0653046090689	0.0521990366407
a7	0.0499934846896	0.127638851794	0.0833763541022	0.0534763035635	0.14594841058	0.416069982174	0.0700817727563	0.0534148401509
a39	0.0532302797965	0.116985182367	0.0682267055505	0.0514528196458	0.15566349146	0.421490799791	0.0760459684521	0.0569047377836
a10	0.0520864045522	0.101222151578	0.0601844823604	0.0534060876486	0.17338056502	0.414462575664	0.0827512312174	0.0625064911865
a32	0.0527147482241	0.0871836637193	0.0647098276541	0.0552545423162	0.19553155574	0.365769485555	0.0925057269391	0.0863304535822
a19	0.0683097805414	0.0846161877331	0.0659040773814	0.0509180805141	0.200255480647	0.338001283785	0.0920837386464	0.0999113657161
a31	0.0744262132005	0.0795959900844	0.0622182099831	0.0524132172934	0.180267928149	0.294420134462	0.105287359349	0.151370940307
</S>	0.0661276828303	0.0730176675022	0.0622286794776	0.0581437580567	0.165416536974	0.241052177031	0.125045622675	0.208967883163
