 	ieri	abbiamo	deciso	di	andare	al	mare	tutti	ma	mio	fratello	non	voleva	venire	</S>
a31	0.0542724579776	0.026296082259	0.06326167827	0.0409052706895	0.036113897618	0.04617816198	0.0983626931	0.0950116307	0.051352336654	0.0666687562	0.0490401536103	0.05245584484	0.103971188023	0.083296386943	0.13281348543
a46	0.051958297591	0.0521177393873	0.12449647365	0.0502938371762	0.0419193087313	0.0613322980493	0.110684576833	0.114894265367	0.0700279094687	0.0480823158133	0.0492768838802	0.0620157887987	0.0626337802897	0.0503498901028	0.0499166454393
a31	0.0236120486445	0.109363493047	0.14034025795	0.0510062603121	0.0412148617438	0.0851278784351	0.112044355004	0.114572619816	0.0796454210736	0.0423801038178	0.0290423361933	0.0521580662249	0.0486548270966	0.0430447271274	0.0277927449374
a46	0.0128528066364	0.102667416805	0.106703633983	0.0471427591107	0.0354278273013	0.084663115021	0.122683188861	0.106591201365	0.0733284638645	0.0589061910926	0.0596770660191	0.059817066077	0.0589473402895	0.0475627098434	0.0230292190243
a8	0.0185561948363	0.0537385486277	0.0954552218277	0.0606044033636	0.0400678717204	0.0803691814737	0.13114540062	0.0747063407217	0.0695530236748	0.0828028241175	0.0820530260624	0.083936680381	0.0602579382385	0.0481663302141	0.018587026106
a31	0.0285074140387	0.0433941704734	0.0938464248426	0.0612643780545	0.0375705998335	0.0701368329979	0.165677881167	0.0679183319739	0.0704183816983	0.111034510772	0.0762653311035	0.0613075167137	0.0490541592975	0.0478772631367	0.0157268017595
a28	0.0249773427753	0.0352865173586	0.0936058228542	0.0506175828848	0.0235739032578	0.0443533742726	0.144445842549	0.070420085858	0.0743320385928	0.151257232591	0.0887210248705	0.0545737783912	0.0598258165992	0.0599017258531	0.0241078931618
a8	0.0340103741535	0.0220793262829	0.105563561458	0.0579374066283	0.0287945555593	0.0474951734575	0.100457431516	0.065822538086	0.0791273800776	0.16294197993	0.0807695288502	0.0529841342571	0.0729047930131	0.0625013632772	0.0266104462626
a31	0.0487948305984	0.0488737482943	0.127879491553	0.0567520632761	0.0391839991064	0.0591712347525	0.087655371572	0.0639163538287	0.0706147911285	0.136905424777	0.0573662846787	0.0345734139257	0.066484394751	0.0827370639937	0.0190915282909
a11	0.0481808886366	0.0717503744181	0.131120069711	0.0455163691854	0.0296786133621	0.0487142599242	0.0705282466573	0.0598041890629	0.0716148106388	0.154809477346	0.0452119685162	0.0330098426286	0.0638527224837	0.0989571493879	0.0272510200036
a31	0.0467277616567	0.0566696462594	0.105421345497	0.0416941930218	0.023103192014	0.0419315171147	0.0624888971524	0.0544328177676	0.0705676959063	0.174116796402	0.0347011974421	0.0383275740629	0.105909606361	0.111443631403	0.0324641292079
a11	0.0383061212818	0.0363280369731	0.0670410968323	0.0374235420739	0.022588456518	0.0368577005516	0.0606895763175	0.0588991014959	0.0821227819621	0.156447509601	0.02570482979	0.0472875466876	0.181013563854	0.123641715868	0.0256484192626
a39	0.0318048208469	0.0339222623444	0.0492470675441	0.038420630958	0.032252757586	0.0429706460305	0.0644640716392	0.058751937912	0.0993210766274	0.147105001734	0.025623924118	0.0561477113159	0.193186055271	0.108830298256	0.0179517337809
a31	0.0297854278835	0.0393574810148	0.0403781149814	0.033884063986	0.0332406616153	0.0426770852968	0.0589142759131	0.0449283519573	0.0729536516691	0.140510493218	0.029034250702	0.0624827670586	0.214893252877	0.141232892559	0.0157272276336
a8	0.0283673681584	0.0291057600516	0.0363082162605	0.0308908675487	0.0263245635784	0.0361375311056	0.062174044871	0.0568443986724	0.0813615443217	0.114695259646	0.0231240532747	0.0568698561129	0.257418638359	0.143586205566	0.0167917064755
a46	0.0303103565178	0.0262817306972	0.0430193122868	0.0409123005362	0.0395365141195	0.0580613741552	0.081011956757	0.0698567210375	0.0955937515659	0.107746034549	0.0235650446889	0.0488278863443	0.2242335258	0.0976781296287	0.0133653780561
a35	0.0333638984781	0.0382886589857	0.0478860012289	0.0490127932921	0.0499906807798	0.0749001468117	0.0900337709857	0.0569444021258	0.0802843016086	0.12916807405	0.0404716685256	0.0576486981348	0.150802386213	0.0845686731749	0.0166358698567
a31	0.0289992631399	0.0424857866819	0.0405715203563	0.0410251102374	0.0400952410799	0.0607500272706	0.0839260227952	0.0495911492819	0.0649403938362	0.124025956837	0.0474391075839	0.0590989939849	0.162821599338	0.128850998584	0.0253788505902
a24	0.0260913386731	0.0403155850473	0.0319181826988	0.0378617056391	0.02773689358	0.0470812375102	0.0795902822651	0.047451838434	0.0571231022321	0.108383387166	0.0343605981546	0.0440043090416	0.218762634113	0.153907593288	0.0454113160367
a31	0.0250013419901	0.0512025066358	0.0309320263196	0.0392384685864	0.0233483675933	0.0429787413767	0.0823909258884	0.0477605089247	0.0576767934107	0.0983977216553	0.0318016150049	0.0430181761939	0.227712057838	0.140672985063	0.0578677589589
