 	voglio	che	Maria	venga	domani	</S>
a31	0.034089148	0.0117991995	0.07554069	0.09552263	0.21272604	0.57032233
a35	0.500024	0.47378087	0.0027056483	0.0047002835	0.012744909	0.0060443445
a31	0.15208828	0.84787637	5.261757e-07	2.5116196e-07	2.9989897e-06	3.1620428e-05
a37	0.93075126	0.014169959	0.000153416	0.0059242602	0.047979634	0.0010214102
a31	0.7285653	0.18255162	0.00017023538	0.0006559326	0.018983813	0.06907317
a11	0.9185979	0.009905574	0.00010260098	0.0047908174	0.060237713	0.006365454
a31	0.70013076	0.10514413	0.0001261221	0.008797717	0.13273685	0.053064466
a20	0.17193566	0.08638808	0.00073916663	0.05919969	0.64655584	0.035181522
a13	0.246473	0.71426433	0.00034252246	0.0040000794	0.031803533	0.0031164892
a20	0.04073491	0.44258523	0.0143864015	0.03333614	0.3196699	0.14928743
a31	0.02448955	0.14485362	0.034464404	0.10158422	0.42968962	0.26491857
a18	0.2808793	0.30334166	0.13599648	0.04771895	0.09021331	0.14185023
a31	0.097075015	0.46095726	0.10619006	0.06603887	0.10832579	0.16141295
a36	0.2238182	0.36934054	0.116998374	0.06318503	0.11121048	0.11544733
a31	0.105030715	0.41161564	0.10344992	0.07150556	0.12914023	0.17925788
a20	0.24200657	0.2388625	0.09245894	0.11953603	0.21771838	0.08941759
a31	0.15124075	0.21557602	0.15103981	0.14384994	0.1655428	0.17275068
a20	0.26111722	0.15135728	0.093303494	0.14208724	0.26104948	0.091085285
a31	0.15806684	0.18603736	0.15733562	0.15375604	0.17071325	0.1740909
</S>	0.266142	0.1196591	0.095658384	0.15080899	0.2742281	0.09350343
