 	ora	io	sto	studiando	di	diventare	medico	</S>
a31	0.029483675	0.0262826765	0.0056106199	0.0597836425	0.316779765	0.16938289	0.0793152276	0.31336150975
a20	0.0376695783333	0.0272788085	0.00203744592784	0.207815734167	0.464258715	0.1287365025	0.0270851797166	0.105118028752
a31	0.0355288884444	0.019172065	0.000680534185453	0.258151563389	0.434582021667	0.207118766667	0.00925480478877	0.035511344286
a8	0.0358687948148	0.0117807093333	0.000228826216651	0.267698469796	0.428747930556	0.238296595889	0.00386988476292	0.0135087716953
a31	0.0921092069383	0.0351415699444	7.78006072503e-05	0.265978606599	0.402832616852	0.181276302296	0.00765327098764	0.0149305997984
a37	0.128672962313	0.0495271636481	2.76691797501e-05	0.2313965022	0.362835378951	0.191426202099	0.00911692652921	0.0269971665995
a31	0.191153370771	0.0663064235494	1.254301805e-05	0.216607970733	0.317650022984	0.171966915366	0.00830047404307	0.0280022751998
a39	0.361268510257	0.0888349145165	7.40682701667e-06	0.128141666911	0.226462160995	0.167231381789	0.00876537068102	0.0192885997333
a20	0.408857540086	0.0740396848388	1.73081883389e-05	0.088344463637	0.213791710332	0.195248990596	0.00593581506034	0.0137644640778
a31	0.265136450029	0.0447924689463	0.00011852321378	0.055829105879	0.213407356777	0.405759870199	0.00432421585345	0.0106319602926
a39	0.13200436001	0.0249445756488	0.00232350145459	0.0287821156263	0.162902265592	0.625704640066	0.00722058295115	0.0161179011975
a41	0.0776411640033	0.0267640382163	0.00722679635153	0.0196047165421	0.126262698531	0.694169693355	0.0154968316504	0.0328340420658
a31	0.0937353453344	0.0337219070721	0.0121618321172	0.029041951514	0.139297236177	0.615555871118	0.0259467498835	0.0505391096886
a23	0.105164618445	0.0447677276907	0.0182457923724	0.0328390915047	0.132987155392	0.549106617039	0.0406680189612	0.0762209752295
a31	0.110029859482	0.0509898445636	0.0242990021241	0.0396325881682	0.123686555131	0.516114729013	0.0504397463204	0.0848076804098
a20	0.130787383161	0.0731778881879	0.0427789653747	0.0449230670561	0.11235758371	0.472720676338	0.0486227137735	0.0746317301366
a31	0.14484213772	0.083700019396	0.0518037211249	0.0455865416854	0.0951671379033	0.465234595446	0.0469575815912	0.0667082850455
a28	0.153132302573	0.0855531264653	0.053929096375	0.0476817095618	0.0908302906344	0.460692135149	0.0467810025304	0.0614003733485
a31	0.137419860858	0.0806860088218	0.0503815277917	0.0418746438539	0.0870557935448	0.493009111716	0.0448432375101	0.0647298444495
a8	0.146068723619	0.106270762941	0.0676462249306	0.037214187618	0.0821030471816	0.451428183905	0.0413805315034	0.0678883548165
a24	0.146297901206	0.120434372314	0.0734337899769	0.0302274575393	0.0710498883939	0.447360317968	0.0397955635011	0.0714007216055
a31	0.132406527069	0.0936345621047	0.0543964749923	0.0296921641798	0.0733102171313	0.502242395989	0.041817346167	0.0725002988685
a3	0.14500385569	0.111161150702	0.0607721169974	0.0282700770599	0.0614797927104	0.479634248663	0.0417588110557	0.0719199346228
a13	0.159471348563	0.133532913567	0.0653199193325	0.0246324563533	0.0523995312368	0.451438976221	0.0401221483519	0.0730827265409
a35	0.173154679521	0.169168974522	0.0806203147775	0.0219446467844	0.0458950287456	0.394903082074	0.037643950784	0.0766693471803
a31	0.18102865984	0.170617216507	0.0920304202592	0.0244766682615	0.0506473702485	0.371349630691	0.0360702315947	0.0737798457268
a11	0.173023006613	0.176973807169	0.10031156542	0.0249826357538	0.0547234674162	0.350451056897	0.0370531591982	0.0824813602423
a31	0.178283775538	0.18202983239	0.106505663807	0.0250927105846	0.0602352818054	0.325720505632	0.0363351750661	0.0857971130808
a46	0.151359946513	0.14795584413	0.0960763466023	0.0276400368615	0.0738759792685	0.338492965211	0.0440686166887	0.12053029236
a8	0.112811693504	0.134523108043	0.0988053572008	0.0507970022872	0.0954266330895	0.283447908404	0.0695654472296	0.154622827453
a31	0.129153777835	0.148319802681	0.130159354067	0.0734000107624	0.11992873103	0.201310556135	0.0776604590765	0.120067272484
a39	0.128737625945	0.153307610894	0.140950569356	0.0754435302541	0.11887613701	0.188656035378	0.0780571196922	0.115971347495
a31	0.127316061982	0.138371356965	0.128001164452	0.0805382480847	0.13333982567	0.193432431793	0.0808715498974	0.118129322498
a29	0.123669010661	0.125002608988	0.115256928151	0.0813521740282	0.13887001189	0.208066803931	0.0821549116325	0.125627487499
a31	0.12060879022	0.103644686329	0.095106102717	0.0877764013427	0.15752572063	0.217941207977	0.0861903168775	0.131206739166
a20	0.122958812073	0.0985339421097	0.090768962239	0.0940315237809	0.165997483543	0.208752809326	0.0902757436258	0.128680676389
a13	0.114879442691	0.106750154037	0.102631855413	0.100592047927	0.140116764514	0.194199446442	0.102732574542	0.138097655463
a31	0.12595590423	0.115069134679	0.110127208471	0.104449265976	0.154610084838	0.168225175481	0.100771103514	0.120792085154
a23	0.110880428077	0.104543634893	0.098287546157	0.0871232343253	0.144105198279	0.22235565516	0.0901363265047	0.142567965051
</S>	0.0889454040385	0.0902209424465	0.0845554680785	0.0733036606626	0.12048770914	0.28020137758	0.0869945332524	0.175290922525
