 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
a33	0.06412979	0.2568254	0.013163618	0.007526098	0.0023257735	0.0094954055	0.2507268	0.24450237	0.15130475
a31	4.1088156e-06	0.00061211194	0.0010333423	0.25843975	0.20032841	0.029150767	0.24498142	0.061805703	0.20364444
a37	0.012442103	0.0005575849	0.0012975383	0.014660457	0.008491973	0.0041273725	0.22319165	0.29715797	0.43807337
a20	0.0009944227	0.0001428329	0.00030060756	0.036688317	0.0170495	0.022270039	0.30913302	0.123535514	0.48988578
a28	0.00011625061	0.0006866892	0.011008603	0.19781773	0.11222555	0.044052638	0.29691032	0.08724861	0.24993367
a37	9.886358e-05	0.00092779857	0.035222217	0.44305834	0.099945866	0.074642844	0.1423346	0.09121349	0.11255598
a18	0.0007950657	0.0009849843	0.27622703	0.28344336	0.14306027	0.0733445	0.030687762	0.15849409	0.032962937
a31	0.0005140931	0.0011043949	0.34056616	0.15525365	0.070950404	0.06357988	0.034376644	0.28809905	0.04555564
a0	0.0673532	0.0077120103	0.051458504	0.055102244	0.04115091	0.06316721	0.12864499	0.5081539	0.07725706
a13	0.0005193273	0.00028896343	0.16417925	0.20861359	0.07367606	0.10978454	0.06664893	0.33357283	0.042716462
a31	0.031080974	0.015828712	0.3886751	0.02601131	0.0276374	0.02308861	0.09346403	0.3438233	0.05039055
a41	0.16520345	0.06619684	0.027875692	0.012906606	0.020330984	0.022679036	0.2245942	0.4152652	0.044947978
a24	0.004340776	0.006837953	0.4289104	0.07421725	0.09452169	0.046193857	0.10903102	0.16745703	0.068490125
a37	0.16914172	0.10517182	0.21271445	0.012677549	0.022449207	0.019879414	0.17440072	0.19213301	0.09143204
a31	0.07302424	0.02964475	0.47669405	0.019316385	0.03291203	0.025630498	0.11478316	0.13293992	0.09505501
a28	0.3297012	0.10139288	0.07792826	0.021176139	0.02960047	0.037466988	0.1582159	0.17622003	0.06829812
a11	0.012962004	0.007357	0.5982437	0.070172235	0.081445016	0.05278352	0.05584661	0.06914153	0.052048407
a39	0.39883697	0.1350715	0.20216046	0.025693437	0.03240863	0.032650795	0.059258312	0.060066257	0.05385362
a46	0.21664514	0.07310662	0.35374933	0.041176196	0.05765422	0.042197548	0.07750252	0.07706869	0.060899757
a49	0.26815763	0.10162868	0.3087488	0.04289102	0.05410611	0.04252576	0.06391732	0.063968904	0.054055873
a31	0.35471475	0.1316495	0.21900201	0.027115952	0.036536206	0.03443439	0.067931704	0.06821632	0.060399204
a33	0.22145672	0.06430122	0.10601318	0.05248123	0.06648931	0.074125245	0.13837542	0.14221512	0.1345426
</S>	0.17684142	0.092829816	0.35457864	0.04816416	0.06493805	0.04602953	0.07827065	0.07753929	0.060808487
