 	se	si	era	vestito	il	mio	fratello	l'	avessi	portato	con	me	</S>
a20	0.03886341	0.04303494	0.08185169	0.2639374	0.24637924	0.05794597	0.0030385412	0.003729814	0.006230105	0.065192915	0.052761916	0.022633439	0.11440055
a31	2.4126377e-08	4.6194737e-06	0.3047365	0.22028697	0.3571657	0.111493215	0.004987514	0.00063698785	0.0001245016	6.0124507e-06	4.4895827e-05	5.7467507e-05	0.0004556282
a37	3.7495053e-07	0.00037817092	0.045662913	0.047666486	0.15551198	0.4652028	0.15766022	0.10592451	0.012574511	0.0001175881	0.0016754552	0.003421193	0.004203727
a31	6.303782e-06	0.00016436544	0.040949415	0.3986489	0.36860907	0.06641594	0.04303897	0.016929727	0.008792648	0.00060510135	0.014249545	0.010046644	0.031543314
a7	1.1597989e-05	0.00013697588	0.009739165	0.18437529	0.3103286	0.2550338	0.046101075	0.025692733	0.020092087	0.016448665	0.04529908	0.010802926	0.07593798
a31	6.8354993e-06	0.00010107384	0.027351871	0.121732615	0.72107995	0.060696553	0.029968675	0.009305998	0.0059066154	0.0038369892	0.0078002214	0.0031478975	0.009064634
a21	5.9769303e-07	5.181101e-06	0.0054429714	0.047004268	0.5239209	0.22978562	0.09435672	0.033505857	0.020444797	0.0116070425	0.011842046	0.009129799	0.012954125
a31	0.0002570523	0.004114673	0.09897343	0.14466456	0.30421606	0.20609117	0.06856892	0.036925733	0.03389284	0.048924617	0.024626946	0.021038925	0.0077050417
a24	0.00015800806	0.0009933643	0.04839568	0.03371482	0.18087809	0.21028861	0.12751633	0.08348287	0.09675135	0.02961807	0.060955983	0.10857422	0.018672649
a20	0.0054961005	0.05681503	0.056726992	0.023466123	0.123751275	0.18992548	0.19096072	0.14514758	0.07507226	0.025916383	0.03281873	0.047453802	0.026449526
a31	0.03760776	0.10919883	0.16055919	0.14397676	0.2399042	0.14024162	0.030107016	0.013998072	0.015623129	0.02688982	0.013990411	0.037866883	0.030036295
a39	0.0046169013	0.007668993	0.02357337	0.060366884	0.13843046	0.14030313	0.11590524	0.0962495	0.104763396	0.041342817	0.11028916	0.13396044	0.022529678
a3	0.029399615	0.057189245	0.17570126	0.16093482	0.15537852	0.109219484	0.0380246	0.015658604	0.04397725	0.0425193	0.035864852	0.060497038	0.075635366
a11	0.052465525	0.2731316	0.15619755	0.061607737	0.07902236	0.078533724	0.045214742	0.03571892	0.058200236	0.015383423	0.041158363	0.06112014	0.042245697
a37	0.06724263	0.27559936	0.05044912	0.05000862	0.07003326	0.07287794	0.072590776	0.067939565	0.067816444	0.021519683	0.057475533	0.06480848	0.061638612
a17	0.07926838	0.2974914	0.039531343	0.0491741	0.06644606	0.06861834	0.06979124	0.066793084	0.062131662	0.021674985	0.0553028	0.06215228	0.06162428
a28	0.16472226	0.3320121	0.04086637	0.04679913	0.051766556	0.05124452	0.05020019	0.048345607	0.04903899	0.021703964	0.045988154	0.050399363	0.04691281
a31	0.2793119	0.31902435	0.028546298	0.033862926	0.03868891	0.038985804	0.039341666	0.039153397	0.039988197	0.029492423	0.038197417	0.038588606	0.03681806
a28	0.16627163	0.07154077	0.040192097	0.060527742	0.07320143	0.07430399	0.07402574	0.074076734	0.07420542	0.07435645	0.07425922	0.07378315	0.069255635
a31	0.1654257	0.294412	0.049790073	0.04857532	0.05120946	0.05139538	0.051767465	0.051181436	0.051141426	0.034653887	0.049222957	0.05065612	0.050568756
a16	0.1626434	0.07555863	0.056471225	0.06628753	0.07106638	0.071427174	0.07122012	0.07129637	0.07137243	0.07135555	0.071441345	0.071283594	0.0685763
a31	0.2124628	0.27464697	0.04934265	0.046815872	0.04791493	0.047907252	0.04817941	0.047809765	0.047985718	0.03516111	0.0465484	0.04759177	0.04763336
a0	0.25366446	0.07547682	0.056313545	0.06013418	0.061813537	0.061873816	0.061860833	0.061896358	0.062011097	0.061842903	0.062001284	0.06193722	0.059173886
a18	0.3629905	0.28530115	0.03555867	0.034058183	0.03348753	0.032741506	0.0327078	0.03257929	0.03337034	0.01803642	0.03167562	0.03350031	0.0339927
a31	0.50423974	0.16303273	0.03137344	0.029963138	0.030127494	0.03014859	0.0302868	0.030304888	0.030671822	0.029489376	0.030212373	0.03011359	0.030036036
a8	0.28146696	0.0742948	0.05623887	0.058067594	0.05890445	0.05895593	0.058970552	0.058987767	0.059051145	0.05897865	0.05899823	0.0589475	0.058137525
a31	0.3874797	0.3260797	0.03327742	0.02714843	0.02679603	0.026395345	0.022447247	0.025301592	0.026847702	0.01886516	0.026191033	0.026312357	0.026858406
</S>	0.3646159	0.07668127	0.05013509	0.05052175	0.05088528	0.050915472	0.05095589	0.050954334	0.051051613	0.05089567	0.050951026	0.050905958	0.050530814
