 	devo	comprare	il	pane	ogni	giorno	</S>
a8	0.015807383	0.18643466	0.59816664	0.046448607	0.018290985	0.035363745	0.09948796
a31	0.00012907239	0.00031656958	0.007910161	0.19474116	0.23169972	0.21094188	0.35426146
a10	0.001549444	0.052343037	0.10939736	0.13999742	0.020794092	0.1839799	0.4919387
a20	0.00011413753	0.004596294	0.020506194	0.12533996	0.25706223	0.19366731	0.39871383
a10	3.6102407e-05	0.0011497983	0.011353602	0.20093882	0.5164812	0.13094707	0.13909337
a31	9.7736345e-05	0.0015391234	0.02641941	0.25158292	0.61523974	0.066942826	0.038178284
a14	3.428421e-05	0.0006602687	0.011863011	0.17266466	0.6909794	0.084147625	0.039650768
a31	0.00022639368	0.011398618	0.100069694	0.2508038	0.50153035	0.09933242	0.036638737
a37	0.011749801	0.03051226	0.08289506	0.083888195	0.62254304	0.1281296	0.040282026
a31	0.0016119148	0.026308244	0.18201868	0.24956235	0.24491282	0.20658924	0.08899675
a46	0.06749779	0.046203393	0.043502282	0.09141513	0.37776935	0.25459605	0.119016044
</S>	0.00075512676	0.006680308	0.17998317	0.47832382	0.116669364	0.13397862	0.08360963
