 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
a8	0.015112813	0.05412571	0.16935341	0.073221184	0.0036704529	0.21043594	0.20707072	0.26700976
a31	6.961224e-07	3.4884465e-07	2.5868563e-05	0.00089350104	0.7226865	0.00064677396	0.03457596	0.24117033
a8	0.0003122531	0.002358365	0.028927179	0.18984418	0.47085437	0.009888699	0.06358996	0.23422493
a31	0.00012939444	0.0005950333	0.002471211	0.0129190115	0.5879869	0.024725938	0.2166043	0.15456823
a20	9.2871844e-05	6.511309e-05	0.0007501253	0.018431783	0.6572087	0.00899021	0.123321556	0.19113973
a31	1.8856383e-05	1.414939e-05	0.00010906844	0.00580997	0.6649917	0.019897241	0.18852969	0.12062931
a24	0.0005795126	0.0003364242	0.0032658032	0.051219422	0.29737464	0.02526655	0.18867685	0.43328083
a31	0.0005280646	0.0005912408	0.005129263	0.045894373	0.45477438	0.05000288	0.18193378	0.26114598
a28	0.011581634	0.007183482	0.071600534	0.2655801	0.045073386	0.1025466	0.15870705	0.33772722
a17	0.001180406	0.0040533235	0.0410476	0.26174894	0.08964405	0.3649333	0.13565274	0.1017396
a31	0.0052359095	0.004494436	0.02310941	0.16393347	0.01874111	0.4257451	0.10284791	0.25589266
a28	0.022210168	0.05716996	0.1505458	0.0386268	0.009394928	0.3888547	0.045572042	0.2876256
a13	0.0011544663	0.005653989	0.041906614	0.08934307	0.013249073	0.37041348	0.07431678	0.40396258
a31	0.013887491	0.060576323	0.18440805	0.09051291	0.0052356855	0.26866242	0.054958053	0.32175907
a23	0.020231815	0.061429385	0.1017227	0.016988806	0.010839892	0.39052576	0.06562214	0.33263946
a31	0.0030549262	0.025042688	0.2550557	0.31488806	0.010130346	0.23565817	0.02869363	0.12747647
a18	0.022507431	0.115764506	0.14598294	0.01808147	0.007983211	0.3021276	0.09756645	0.28998634
a31	0.008120363	0.07007474	0.38772625	0.23019435	0.005886717	0.14566243	0.0367327	0.11560248
a18	0.030890776	0.20573817	0.16728787	0.0197459	0.0062110247	0.24178433	0.09826903	0.23007284
a31	0.017811552	0.10615461	0.42907462	0.25007278	0.0035339945	0.08890043	0.032483075	0.07196892
a24	0.04790761	0.31511799	0.18314214	0.023362873	0.004226492	0.16262364	0.10382434	0.15979488
a17	0.04625868	0.20980802	0.46604446	0.14507166	0.0017242198	0.05003798	0.03459286	0.046462238
a20	0.09964173	0.31178114	0.4187495	0.077360764	0.001108536	0.032854535	0.026829364	0.031674396
</S>	0.07165415	0.4114738	0.31646848	0.027112478	0.0015812991	0.056829028	0.057230078	0.05765067
