 	il	medico	mi	ha	detto	di	non	mangiare	dolci	però	a	me	mi	piacciono	e	li	mangio	</S>
a31	0.01836279	0.025632685	0.033905625	0.012006948	0.008729902	0.0010017968	0.007382128	0.037139874	0.026178608	0.07861642	0.08578791	0.060109675	0.027164081	0.021805689	0.10383347	0.19509181	0.16209225	0.09515835
a39	0.00017139148	1.7084601e-06	2.1493002e-05	0.0033673148	0.001507427	0.28171203	0.06357405	0.01846231	0.096980006	0.08784438	0.06443869	0.19112301	0.06379245	0.0025351723	0.052333407	0.019057507	0.042202536	0.010875097
a31	7.173882e-08	2.178678e-08	7.9820516e-08	1.1761765e-06	2.2910863e-05	0.013501611	0.013529864	0.08256301	0.40811187	0.023392852	0.050958578	0.053101648	0.016191505	0.00052634714	0.0073474213	0.059237137	0.12100821	0.15050568
a8	1.2195462e-06	7.727221e-08	1.5670689e-07	7.856868e-06	5.6633042e-05	0.04764174	0.014634696	0.042236023	0.491983	0.039808437	0.06785381	0.085329935	0.03300358	0.013628696	0.042221125	0.028596535	0.04434993	0.04864657
a31	3.4879067e-06	7.715471e-07	1.3359954e-06	6.2822786e-05	0.0037820295	0.018309092	0.025291717	0.13719423	0.17426835	0.07205571	0.1104977	0.099383414	0.045092087	0.012206317	0.0938724	0.05914386	0.06378969	0.085045
a35	3.837177e-06	2.6694917e-07	3.75123e-07	4.4560133e-05	0.00019591712	0.028915463	0.012017133	0.041160308	0.34563658	0.033374272	0.050682295	0.07310051	0.03069449	0.121947445	0.14642195	0.037859175	0.032198824	0.04574652
a31	8.377601e-06	1.9698518e-06	2.6747632e-06	8.5102394e-05	0.0018592069	0.0030616068	0.002616347	0.02932293	0.1427189	0.105619594	0.21390346	0.13773027	0.058097843	0.03353949	0.11357358	0.057766628	0.03745145	0.06264059
a33	0.00028116998	1.566995e-05	4.22159e-06	0.00092566956	0.0006152825	0.0067384406	0.008439864	0.05421788	0.10355763	0.009270013	0.015417016	0.024033353	0.00988866	0.27312282	0.28093618	0.108569495	0.031761505	0.072205104
a23	0.0003192361	2.0462181e-05	1.228289e-05	0.0012063953	0.01012419	0.008036376	0.008864496	0.054841932	0.061378825	0.107401505	0.10845756	0.14269917	0.084015645	0.05019072	0.14196482	0.13604586	0.035024803	0.049395718
a31	0.0020132556	7.472465e-05	2.3823104e-05	0.002765957	0.01694598	0.010272191	0.019297663	0.048468497	0.023734586	0.058932595	0.04610566	0.068283126	0.05901831	0.12476435	0.17935319	0.26397252	0.029933736	0.046039842
a37	0.028412573	0.031649154	0.0048373076	0.0033557513	0.0020243358	0.0024017103	0.005653369	0.010691358	0.013396853	0.0149945505	0.012512321	0.009774966	0.010769849	0.061360683	0.3741181	0.32081723	0.056370806	0.03685911
a31	0.006495868	0.0039268252	0.003102656	0.010089121	0.03937357	0.015806163	0.031281613	0.029804746	0.032122355	0.056154657	0.049269892	0.057049736	0.054052357	0.1223836	0.19648673	0.2184297	0.04637244	0.027797988
a41	0.025535572	0.017848818	0.0025466685	0.0043579526	0.0023718236	0.0012848367	0.0018949506	0.0044643455	0.0115676	0.02374269	0.020318389	0.01377893	0.016696947	0.068681054	0.4190782	0.28260788	0.053816017	0.029407358
a28	0.005785457	0.0030328012	0.0032393453	0.008087292	0.066851564	0.010829013	0.029298237	0.033508364	0.024347164	0.09479167	0.0690969	0.061331585	0.059810482	0.08456908	0.08166209	0.263072	0.06504228	0.035644647
a24	0.023284245	0.0020218082	0.0007268666	0.02299924	0.05335289	0.0056604026	0.029144108	0.028228642	0.014027064	0.05929871	0.042225495	0.036588453	0.04251724	0.047834434	0.119803816	0.35316825	0.07293295	0.046185404
a31	0.065738045	0.076123625	0.03899094	0.039755423	0.019479554	0.0051967152	0.0074912244	0.001949683	0.006607062	0.038868133	0.041879795	0.038085833	0.045966227	0.02051933	0.122512564	0.2160213	0.13674538	0.07806913
a23	0.05064178	0.059572797	0.02886676	0.022805454	0.0053709275	0.0009296655	0.0016873092	0.002422839	0.007292718	0.05555603	0.056193754	0.04002589	0.05120756	0.09983667	0.24494429	0.1978805	0.059155893	0.0156090865
a31	0.0023983002	0.00029442922	0.00018603061	0.004314533	0.08412511	0.00615512	0.09663442	0.10081351	0.025239866	0.09322534	0.05501717	0.05312691	0.05146517	0.023044806	0.038551	0.2607229	0.064114094	0.040571295
a18	0.06446884	0.11718841	0.115928985	0.03354438	0.0070506493	0.001674529	0.0022270859	0.0018507333	0.0045532314	0.05414116	0.058560435	0.047778405	0.056397855	0.08108583	0.13604909	0.12757687	0.07177137	0.018152112
a31	0.018023953	0.008680113	0.011958546	0.02683032	0.11490779	0.024742484	0.16496114	0.05277948	0.017002195	0.080661826	0.06718486	0.08396306	0.07799424	0.012696949	0.029814636	0.13063397	0.04951728	0.027647126
a17	0.07037907	0.10698296	0.122530535	0.040552594	0.008838999	0.001957082	0.0031252077	0.0023464747	0.0044765854	0.06282107	0.06699294	0.05795953	0.065102786	0.08004099	0.113123976	0.10748529	0.06686566	0.018418295
a20	0.005992043	0.0016728212	0.0021197689	0.009027245	0.08975024	0.027047139	0.32917243	0.12929606	0.0283277	0.06027167	0.046722304	0.04637728	0.041446675	0.004949656	0.0104314005	0.10172964	0.043009035	0.022656908
a23	0.063414305	0.018709512	0.020337204	0.068110734	0.042306975	0.010902447	0.03788837	0.0075759976	0.007309512	0.082439154	0.081554584	0.07740588	0.08172135	0.053636815	0.10237415	0.10542218	0.090163596	0.04872727
a31	0.00561381	0.0009904427	0.0006502696	0.011395802	0.033654924	0.003435235	0.05175288	0.015074482	0.01858548	0.10292034	0.087554194	0.09041102	0.09319917	0.019501133	0.09905515	0.13184115	0.11712872	0.11723578
a13	0.05301866	0.08658877	0.13455534	0.033494495	0.0066884295	0.00093230506	0.0016919514	0.0014898307	0.004181586	0.061209098	0.064578705	0.058485836	0.06408483	0.08980464	0.09397239	0.09399247	0.08740665	0.06382403
a28	0.044551227	0.01642049	0.014997122	0.06504818	0.074300386	0.024211874	0.11037434	0.021285836	0.016030138	0.07828131	0.073451154	0.08159725	0.08050477	0.01146663	0.059546806	0.08877052	0.0764201	0.06274191
a31	0.09193229	0.049663607	0.04880718	0.09075871	0.049095966	0.018065909	0.052494057	0.008898472	0.008306732	0.065064535	0.06454479	0.064084895	0.06574266	0.043210506	0.070011005	0.07396878	0.07146255	0.063887425
a19	0.06784664	0.16145886	0.2839746	0.03502325	0.004715274	0.0017557394	0.0040960056	0.002531044	0.0029175454	0.04072862	0.042663697	0.038917452	0.042129833	0.058154635	0.0591383	0.05918378	0.05526993	0.039494816
a21	0.0031107003	0.0007160856	0.0006673481	0.0068941414	0.024910476	0.02348529	0.24172503	0.060957003	0.032097828	0.08000155	0.07331769	0.079642855	0.07658316	0.020600365	0.06428746	0.07998553	0.07317017	0.057847384
a31	0.076913305	0.042011864	0.053405397	0.07377054	0.040649302	0.009892015	0.023763182	0.005848006	0.008458749	0.0703011	0.070638604	0.06973911	0.07183426	0.06607957	0.07950069	0.080235094	0.079195425	0.0777637
a37	0.04294459	0.07982868	0.16963871	0.023928536	0.004727923	0.0010267611	0.003468721	0.00287741	0.0048418613	0.062760636	0.06530569	0.060902603	0.06489531	0.08341294	0.08396379	0.084363185	0.08305399	0.07805862
a31	0.07615676	0.08453405	0.1007444	0.07319483	0.04752243	0.016431868	0.03754103	0.0087212585	0.013120907	0.06209536	0.061644223	0.06287851	0.06352985	0.033725906	0.06273991	0.066324964	0.06477125	0.0643225
a7	0.10202334	0.16328055	0.24405788	0.054036804	0.007900623	0.0035489388	0.008798682	0.0042313356	0.0041365973	0.042721447	0.043844387	0.041649263	0.043444064	0.050904147	0.051291067	0.051555593	0.048174582	0.034400728
a31	0.031452607	0.013038851	0.012961315	0.055490606	0.0658672	0.11465564	0.2318185	0.04427119	0.028987715	0.051589925	0.049669597	0.051191766	0.050027378	0.0106172655	0.0359172	0.05461072	0.051154092	0.046678428
a17	0.10874152	0.18483096	0.29506004	0.060381718	0.010386896	0.007614841	0.015117024	0.0074104196	0.007059913	0.03343556	0.033757433	0.03315284	0.033685137	0.035149142	0.03574879	0.035742585	0.034420613	0.028304499
a41	0.022494586	0.0049771885	0.0041755736	0.046347063	0.06296561	0.221999	0.29926553	0.057055067	0.02813033	0.033504754	0.0317855	0.032650806	0.031468984	0.007672574	0.020479796	0.03397122	0.032315683	0.028740738
</S>	0.155845	0.08447231	0.10381238	0.118871294	0.031868678	0.04110316	0.04096611	0.018121205	0.017119057	0.042620204	0.042677876	0.04255579	0.042791504	0.04271469	0.043780293	0.043825995	0.043683123	0.043171316
