 	non	ho	cosa	a	fare	</S>
a8	0.37693086	0.4810621	0.10426523	0.008370164	0.007145561	0.022226125
a31	0.00033172438	0.0028305096	0.44608867	0.41222596	0.074819684	0.06370342
a37	0.00027024696	0.016120965	0.76745623	0.12810664	0.03573108	0.05231476
a10	0.0006974369	0.020835416	0.118475944	0.037833292	0.31791794	0.50424
a37	0.014467852	0.111155555	0.28537023	0.05175562	0.17948075	0.35776997
a10	0.016793963	0.06496517	0.40882683	0.056298483	0.15247893	0.30063665
a0	0.0064647673	0.08289254	0.60069895	0.040571567	0.09590535	0.17346685
a20	0.0010286123	0.052115906	0.45438033	0.16940103	0.1391423	0.18393183
a17	0.02636919	0.3456409	0.25533938	0.20799251	0.076877646	0.08778045
a20	0.026958661	0.3050469	0.2612999	0.27785963	0.07084207	0.0579929
a8	0.10914242	0.3149677	0.13799791	0.27186063	0.0995639	0.06646746
</S>	0.17512462	0.40542245	0.18882361	0.1267223	0.049097937	0.054809075
