 	i	bambini	piccoli	a	volte	si	vestono	pure	da	soli	</S>
a20	0.02540641737	0.02027042107	0.0610697935	0.000714072425	0.0121076729	0.060279584	0.527262575	0.055821644	0.0668731132	0.09532998785	0.0748647302
a31	0.00858289188	0.00896505707	0.0629137738333	0.00137105409167	0.315726725633	0.03845167	0.458673682667	0.0197082607033	0.0228294979333	0.0341911517833	0.0285861948667
a46	0.00323241788333	0.00639394902333	0.0606290572778	0.00884593376389	0.479025878544	0.044922196	0.235459858556	0.0600100636044	0.0224157940444	0.0482500528611	0.0308147376222
a20	0.00145073572444	0.00350277400778	0.0511277720926	0.0105207551313	0.236119536181	0.0587216143333	0.251564282852	0.214754901201	0.0756247513481	0.0609204106204	0.0356924248741
a31	0.00062346462648	0.00132548664926	0.0237226118309	0.00455132822043	0.144583485394	0.104948663778	0.288618857617	0.256413463734	0.084508742116	0.0493977775401	0.0413060976247
a29	0.000424536223827	0.000840016429753	0.016610514077	0.00360925770681	0.140302668465	0.182778734593	0.282105879206	0.216614104578	0.0639880090387	0.0466243575134	0.0461019015416
a31	0.000539975354609	0.00162546670992	0.030465628359	0.0068046842356	0.155876022822	0.201133578198	0.253057633069	0.196706241526	0.0707377030129	0.0427411455045	0.0403118885139
a37	0.000488427151536	0.00174598013664	0.051801204453	0.0103037650785	0.136140634274	0.154545494066	0.209191804356	0.217387693842	0.116085947671	0.0664756791682	0.035833356838
a31	0.000852805350512	0.00400905927888	0.116813088151	0.0133438960262	0.0630117880913	0.084355697022	0.153524844785	0.232263357947	0.175403082557	0.115800006389	0.0406223422793
a41	0.00176565675017	0.00680770722629	0.15029031605	0.0144791136754	0.0324561258304	0.039493663674	0.121175823262	0.158461459316	0.162756837519	0.26444453213	0.0478687164264
a8	0.00233108075006	0.0067441997421	0.122626618683	0.0101258134585	0.0143732632768	0.0210016878913	0.139832352754	0.107137976439	0.12136948384	0.40878863071	0.0456688798088
a31	0.00606130801669	0.0155395644474	0.0961269682277	0.00683827385283	0.00651267875893	0.0122131757971	0.134374657585	0.155055138813	0.18200598928	0.343036650237	0.0422356179363
a20	0.00691368157223	0.0174250336491	0.0766048400759	0.00786947441761	0.00337086425298	0.0072992009657	0.113894202528	0.174179829604	0.212768986427	0.343464090079	0.0362098266454
a0	0.00557704492408	0.014421796383	0.143731208692	0.0106194673059	0.00269163008433	0.00952401518857	0.145866584176	0.109327303201	0.153430535476	0.36571833336	0.0390921035485
a29	0.00898868080803	0.026346194461	0.190001432897	0.0353238232686	0.00528763349478	0.0105608508962	0.124646839059	0.119138431067	0.153957331825	0.258405374453	0.0673434445162
a31	0.0272089262693	0.0525432281537	0.122186180966	0.0474121304229	0.00696719193159	0.0106989714654	0.0795270506863	0.181686410356	0.197567537275	0.200103318151	0.0740991031721
a24	0.0322247457564	0.0607858937179	0.138589383655	0.0969983444743	0.0072077630772	0.0139160794885	0.0734172668954	0.170858463452	0.182537292425	0.162443159384	0.0610216360574
a17	0.0327100722521	0.0602649835726	0.210684954552	0.224953794825	0.00869092502573	0.0186600008295	0.0682606509651	0.0946488601507	0.107384375142	0.116398607461	0.0573427753525
a8	0.067181744084	0.0803018811909	0.238328414851	0.270772088275	0.0114730780086	0.0238908462765	0.053120604655	0.0642427890502	0.0709870393807	0.0750204368203	0.0446810694508
a31	0.100895021361	0.103725562397	0.18748774495	0.189531969425	0.0104990858029	0.0287539457588	0.0610947272183	0.0807521563501	0.0833526964602	0.0844381556068	0.0694689308169
a18	0.104910533787	0.148467684132	0.148727278317	0.189250853142	0.0068975537343	0.0273132415863	0.0589525480728	0.0800269121167	0.0809863634867	0.0808179005356	0.073649134939
a38	0.142097611262	0.210975701377	0.158389799439	0.238927187714	0.00611307441143	0.0219282758621	0.0380485373576	0.0461554217056	0.0466457598289	0.0468485688452	0.0438700666463
a31	0.229620990421	0.211361143792	0.104961595146	0.173517839238	0.00450378563714	0.028978741954	0.0438665781192	0.0516273469019	0.0517803026096	0.0514639729484	0.0483177125488
a8	0.237645733474	0.182317614597	0.124136440382	0.166560426413	0.0160375765457	0.0311936366513	0.0438112027064	0.050381787634	0.0506132215365	0.0503311913161	0.0469711808496
</S>	0.202264271737	0.183501517299	0.173053345191	0.215048393207	0.0283659847729	0.0254267373256	0.0322291413532	0.035184718817	0.0355924137682	0.035758936158	0.0335745454248
