 	prima	di	andare	alla	scuola	</S>
a7	0.0220558078	0.05025526675	0.755631805	0.08708961035	0.073814270546	0.011153289761
a11	0.00973579003333	0.0837409550833	0.819142651667	0.0452163950167	0.038181060546	0.003983131841
a43	0.0340292385778	0.110693943361	0.556088533889	0.0760343396722	0.209692066849	0.0134618153603
a20	0.0837870778593	0.150322019454	0.30182400463	0.0872414855574	0.346632632283	0.0301927657868
a31	0.0787248629531	0.280375163151	0.288835524877	0.0612001255191	0.258067480761	0.0327968699289
a20	0.0450865159844	0.419756304384	0.311992688292	0.052226318173	0.14721853692	0.0237196453096
a31	0.0404934083281	0.519389268128	0.273202682764	0.0579103177243	0.08452427564	0.0244800117699
a20	0.0373958844427	0.457132312709	0.200998235921	0.0617337232414	0.156541938547	0.0861978939233
a31	0.0516553901476	0.28430406757	0.200962400307	0.0907290384138	0.231250522849	0.141098577974
a20	0.0992104553825	0.200264225857	0.177703758102	0.127676666138	0.215498554283	0.179646332658
a31	0.171941228461	0.195506105286	0.102531622367	0.128332122046	0.190868464761	0.210820447553
</S>	0.21474167923	0.185876352643	0.0943676286835	0.123989436023	0.17758687238	0.203438013777
