 	la	pasta	vuole	sale	</S>
a31	0.05271654945	0.272610842	0.032087251	0.377110535	0.26547479
a15	0.01939304485	0.106087274	0.308017578667	0.340645759	0.225856316667
a31	0.00893064118333	0.0490906573333	0.390195387556	0.141204337	0.410578938889
a13	0.00517305582778	0.0234326881111	0.134981423852	0.153903762333	0.68250902963
a31	0.00372347597593	0.0168773773704	0.0470249138507	0.160837187444	0.77153701321
a6	0.00483900309198	0.0255567154568	0.0297766305169	0.230424782481	0.70940283107
a31	0.0929382510307	0.174256681819	0.029887567839	0.254464577494	0.448452880357
a46	0.133023778677	0.302555620606	0.139348796946	0.167718832498	0.257352936786
a31	0.258629704559	0.267323610202	0.177880593982	0.135680404166	0.160485640262
a46	0.302302094853	0.298075366734	0.207485742994	0.0903900513887	0.101746741421
a20	0.305023691618	0.323681132245	0.238158564331	0.0662134637962	0.066923201807
</S>	0.436957145809	0.293677351123	0.162644757166	0.0533893318981	0.0533314629035
