 	l'	anno	che	viene	devo	mangiare	molti	dolci	</S>
a8	0.0313906285129	0.029535716286	0.0243003621425	0.00983588387	0.0046505419	0.1317045775	0.16231425	0.386296	0.21997201
a31	0.0131066006796	0.0143651456193	0.0120870051425	0.00486922177	0.0042262739	0.134122555833	0.11475004	0.3795252	0.322947933333
a46	0.00701185363037	0.00930670397407	0.00804199475417	0.00351628572333	0.00495162496667	0.333650801944	0.0776063406667	0.231288390667	0.324626021111
a8	0.00233885361619	0.00310260171779	0.00278985151806	0.00325503420778	0.00667520532222	0.586370847315	0.119449684222	0.103788095889	0.172229848704
a20	0.00147049614096	0.00111807730806	0.00681715573269	0.00929717680259	0.0152115784407	0.508829669105	0.263624744741	0.0779215656297	0.115709557901
a31	0.00258401541365	0.000735358332687	0.0121659072442	0.0235459672675	0.0269696208136	0.386860463035	0.296145554914	0.0936552872099	0.1573378293
a20	0.00230766508788	0.000529738331896	0.00837514181473	0.0249849584225	0.0264568876045	0.315925101012	0.330883941638	0.101794712403	0.1887418431
a13	0.000898529392627	0.000188774228299	0.00356286140491	0.0174301098075	0.0218768365348	0.295887453671	0.358207703879	0.097870460801	0.2040772877
a14	0.00492191214421	0.0001994533861	0.0105998848683	0.0274446722692	0.0250868531783	0.27503200789	0.31699634796	0.128451270267	0.211267629233
a0	0.00639314839474	0.000209914231367	0.0134355807228	0.0341689834231	0.0322227707261	0.236795065963	0.28741594932	0.188676240089	0.200682366411
a31	0.0293165954782	0.00365673155312	0.0248405296743	0.0497872814744	0.040539358242	0.174879900988	0.23406456644	0.24286285003	0.200052218804
a37	0.0430581751594	0.00508557061771	0.0341759998914	0.0817945538248	0.043745949414	0.123284479329	0.188102652147	0.31097154001	0.169781119601
a35	0.0209845532531	0.0020081251949	0.0193754126305	0.0883480012749	0.0703340684713	0.169493126443	0.141513430716	0.35795336667	0.1299899032
a17	0.0097001908177	0.000723590463967	0.0157416495435	0.115093027092	0.11488226149	0.168333166814	0.108321763572	0.362274755557	0.104929592733
a31	0.0663673171392	0.0117675143313	0.0360331091812	0.140738299031	0.11212142383	0.102461717271	0.083319494524	0.359886865186	0.0873043025777
a15	0.0830020557797	0.0154284110758	0.0368788257271	0.10307222801	0.0776724962767	0.154597862757	0.106457048175	0.323918828395	0.0989722841926
a31	0.0863796219932	0.0239426083239	0.0323598362424	0.09513068767	0.0711437370922	0.173961210919	0.101785015058	0.326890729465	0.0884065863975
a46	0.0875000781077	0.026779035867	0.0308695686475	0.0831351107233	0.0557699846974	0.237417070306	0.124096464019	0.300396886488	0.0540358281325
a35	0.0316370012792	0.00918957561467	0.0333440577825	0.103999231741	0.0744005972325	0.297000630102	0.138262919006	0.262330868829	0.0498351557108
a20	0.0529782228931	0.0178245857716	0.0520967579275	0.16138645058	0.137311805744	0.180191246701	0.067262478002	0.247228602943	0.0837198739036
a31	0.134223232298	0.0569611019239	0.0511901546425	0.142160470193	0.142990847248	0.104899105567	0.033688694334	0.242515177648	0.0913711966345
a17	0.124324593433	0.0557725009413	0.0372452942142	0.116796003398	0.131270927749	0.157482791856	0.0476222571113	0.264309912549	0.0651757195448
a20	0.0915589704777	0.0316521996138	0.0387338207381	0.140883444466	0.213934592583	0.183001517285	0.0481983393704	0.202551957516	0.0494851545149
a8	0.0783531239259	0.0233693321226	0.0389413369127	0.216693811489	0.307948397528	0.116783785762	0.0274142027901	0.147834619172	0.0426613788383
a23	0.028551436642	0.00800709342553	0.0333138789709	0.23735885383	0.264900802509	0.126818128587	0.0297031595967	0.178102319724	0.0932443242794
a46	0.020561188114	0.00447321970851	0.0638489263236	0.200129651277	0.185218437503	0.129803946196	0.0326304611989	0.208478986575	0.15485516476
a8	0.0183357828713	0.00357896030284	0.0767303994412	0.188691990426	0.174513242501	0.143576952065	0.0287281600663	0.201065082192	0.164779391587
a31	0.0467476447904	0.0267009514009	0.0521025084804	0.139135951809	0.1355219875	0.127050267355	0.0228035930221	0.221807164064	0.228129893862
a17	0.0885233349301	0.0436610138003	0.0646857808268	0.10928491227	0.1069547825	0.088533065785	0.0279155700074	0.224836658021	0.245604881287
a31	0.12073142031	0.0634806032668	0.0690622329423	0.103577328757	0.113727990833	0.083236016595	0.0300102183358	0.224130352674	0.192043837096
a37	0.139861923437	0.0748219864223	0.0547133553141	0.103841227586	0.140343583611	0.0774502301983	0.0211421084453	0.216288504225	0.171537082365
a31	0.175604147812	0.106649488807	0.0530559751047	0.109633909195	0.15797971587	0.0736792567328	0.0165462563151	0.179840281408	0.127010977455
a30	0.173651399271	0.108608318936	0.0473825260349	0.115592903065	0.203770599957	0.0835335789109	0.0162634192717	0.154671243803	0.0965260058183
a21	0.10320830509	0.044829012312	0.0450397780116	0.169114641022	0.335714836652	0.0992704729703	0.0212247060906	0.109636884601	0.0719613652728
a10	0.123841533697	0.0460809507707	0.0596591226705	0.202497457007	0.363953448884	0.0745868663234	0.0191624290302	0.068409962867	0.0418082597576
a39	0.152636336566	0.0498739735902	0.0786618575568	0.212454889002	0.344369156295	0.0582549641078	0.0180982193434	0.0504490356223	0.0352015802525
a38	0.164346597522	0.0706169611967	0.0868275391856	0.202134213001	0.325114125432	0.0537443223693	0.0191004734478	0.0437640275408	0.0343517074175
a41	0.209815612507	0.132500513732	0.0975255897285	0.179221524334	0.267763401811	0.0393367951231	0.0124045424826	0.0327135338469	0.0287184631392
a18	0.229379637502	0.167010634577	0.10195775991	0.171347084778	0.237988160604	0.0312896483744	0.00874099182753	0.026827588949	0.0254584823797
a31	0.245475435834	0.233413461526	0.08664170797	0.134785008259	0.178921216868	0.0323965894581	0.00877302994251	0.0400906116497	0.0395029064599
a21	0.214464128611	0.209813702175	0.0776547106567	0.10805306942	0.167643325623	0.0621573798194	0.0278231983142	0.0667550238832	0.06563541882
a20	0.194731546204	0.151859149058	0.0894461922189	0.123575549807	0.208547998541	0.0712113306065	0.0349272826047	0.0634293646277	0.06227151494
a31	0.226023375401	0.235297786353	0.0799225237396	0.107413741936	0.16482030618	0.0523259018688	0.0216330083682	0.0569746715426	0.0555885936467
a28	0.213998725134	0.230311702118	0.0753595272465	0.097682627312	0.164920368727	0.0616894816229	0.0277989121227	0.0650103338475	0.0632282812156
a31	0.217741928378	0.239913837373	0.0775242774155	0.0926250387707	0.161211456242	0.0624384622076	0.0310149340409	0.0603790436158	0.0571510204052
a17	0.191981356126	0.214567476458	0.0741913458052	0.11664195459	0.204202635414	0.0627805624025	0.032960976347	0.0537846352053	0.0488890501351
a20	0.191909865375	0.169418559486	0.0971811919351	0.138895028197	0.229479713471	0.0577070248008	0.033710123449	0.0425015834018	0.0391968887117
a31	0.249195321792	0.291130376495	0.105641513978	0.0969624427323	0.126219306824	0.0390429169336	0.0251792911497	0.0343057344673	0.0323230749039
