 	vado	cercando	una	macchina	che	consuma	poca	benzina	</S>
a31	5.4162338e-05	0.111455895	0.020741213	0.121380165	0.18012847	0.10011242	0.21964523	0.14044805	0.10603435
a8	0.00010087978	0.25467455	0.016903894	0.19291115	0.057932377	0.05986599	0.2118064	0.16872753	0.0370773
a31	8.099113e-05	0.1878033	0.021115826	0.20009258	0.058365136	0.1002983	0.21665931	0.17782384	0.037760746
a10	4.8520367e-05	0.1694955	0.011948516	0.21589386	0.059059426	0.069986336	0.26187462	0.17876427	0.03292894
a17	7.3703513e-06	0.14931107	0.008517888	0.17483573	0.0796981	0.1333428	0.21050996	0.18314765	0.06062935
a20	5.650196e-06	0.10266233	0.016214017	0.15669148	0.14491121	0.12747592	0.20581959	0.15213789	0.09408202
a31	1.5168397e-05	0.12668446	0.020310622	0.18237072	0.1539161	0.12251103	0.22006145	0.12084016	0.053290233
a29	5.9910573e-05	0.07254468	0.06525544	0.13667259	0.21934147	0.08207878	0.22385667	0.11137395	0.08881657
a31	1.1969039e-05	0.123797074	0.010989984	0.16680814	0.13591315	0.13251711	0.22073214	0.14427516	0.06495532
a17	6.851409e-05	0.064427555	0.065401085	0.1259209	0.24408427	0.07255621	0.23426881	0.1051945	0.08807815
a31	6.787916e-06	0.11091817	0.0068657594	0.15471897	0.12750268	0.12557527	0.23873968	0.1624228	0.07324978
a17	5.7552355e-05	0.06181552	0.053538162	0.1270389	0.24607904	0.06861605	0.2511729	0.10576987	0.08591202
a31	4.250218e-06	0.107133426	0.003712284	0.1448362	0.110132255	0.1180435	0.26583531	0.17997201	0.0703307
a17	4.515658e-05	0.062496327	0.04107852	0.1282307	0.23840119	0.06878504	0.26505864	0.11055306	0.08535134
a31	3.3203905e-06	0.10414922	0.0022965078	0.13564745	0.09636367	0.111219116	0.29206362	0.19263548	0.06562166
a17	3.5608973e-05	0.06370288	0.031173525	0.12831059	0.22859879	0.06955896	0.27824408	0.11593167	0.0844439
a31	2.8684808e-06	0.10151659	0.0015219634	0.12638396	0.084217094	0.10465435	0.31831855	0.2030261	0.06035848
a24	2.8402555e-05	0.064682275	0.023334859	0.12737176	0.21777456	0.070008755	0.29271528	0.12131386	0.08277023
a31	4.375753e-06	0.095605195	0.002197123	0.11876192	0.08061486	0.11416241	0.2835936	0.22646804	0.07859246
a17	2.9498502e-05	0.059933167	0.024755687	0.12307484	0.22913331	0.065938935	0.2985898	0.11792579	0.08061897
a23	2.7107935e-06	0.09851915	0.0007714158	0.10678687	0.06049816	0.09371201	0.36473143	0.22531857	0.049659677
a8	2.2852212e-06	0.082051866	0.00027234794	0.06804834	0.031450033	0.07155275	0.43408647	0.27438024	0.038155608
a31	2.20019e-06	0.07757325	0.00024300675	0.06727457	0.03310085	0.06319761	0.4708909	0.2538694	0.03384814
a20	1.4218192e-05	0.067509465	0.006009491	0.11163767	0.15535626	0.06708882	0.37493798	0.14770292	0.06974317
a31	2.4248072e-06	0.08491237	0.00018319926	0.052941225	0.020238252	0.056071434	0.46251747	0.29512128	0.02801221
a46	1.3237886e-05	0.06300797	0.004663004	0.10578551	0.14577657	0.0621521	0.4051497	0.14935245	0.06409953
a31	2.621461e-06	0.0703859	0.00014006655	0.043950558	0.017949048	0.047913086	0.49728972	0.29632413	0.026044775
a8	1.23222335e-05	0.06180411	0.0029280086	0.0940992	0.12014129	0.057193268	0.44764817	0.15903513	0.05713856
a31	3.002572e-06	0.051618133	0.00013604126	0.037886433	0.018210527	0.036667828	0.5578327	0.27677947	0.020865878
a28	1.19890665e-05	0.06377945	0.0015144303	0.07611085	0.083392516	0.051804505	0.49558994	0.17974515	0.048051152
a15	3.076251e-06	0.054673787	8.425954e-05	0.02437853	0.00863839	0.032954384	0.49400225	0.36573917	0.01952617
a31	3.3903054e-06	0.042625926	7.619161e-05	0.019723754	0.007489572	0.029322384	0.49587393	0.38545865	0.019426202
a19	1.2583161e-05	0.049806476	0.0011796524	0.06274753	0.07270467	0.03963363	0.559777	0.1748316	0.03930681
a31	4.2179095e-06	0.051973697	0.00012979092	0.024563903	0.009923828	0.03808957	0.48344767	0.36601812	0.025849193
a24	1.498596e-05	0.0415641	0.0009644433	0.048722964	0.05722307	0.03208739	0.60634136	0.18037276	0.03270885
a37	5.838679e-06	0.041954868	0.00011406765	0.017099628	0.00695936	0.028438326	0.46795735	0.4161053	0.021365257
a35	6.873631e-06	0.02865377	0.00011497907	0.013633173	0.0057407306	0.024110453	0.40041044	0.5104911	0.01683854
a37	6.3123935e-06	0.020324897	0.0001260495	0.0124624	0.0058950796	0.02231878	0.38505837	0.537823	0.01598507
a31	7.68745e-06	0.018253002	0.0001598563	0.012986243	0.006420261	0.023575632	0.36636153	0.5564344	0.015801381
a24	3.6553018e-05	0.017473536	0.00035406905	0.022347793	0.022808533	0.015850702	0.68661815	0.21985646	0.014654272
a37	1.4050904e-05	0.023261137	0.00018672929	0.015252753	0.0072769383	0.025842357	0.388277	0.5233875	0.01650154
a38	1.2581136e-05	0.018220404	0.00028240323	0.014999929	0.008378962	0.027018469	0.33071	0.58197063	0.018406581
a31	1.388789e-05	0.016413622	0.00035109682	0.015499357	0.009477563	0.027246661	0.31150752	0.60033095	0.019159347
a46	5.8599126e-05	0.010676454	0.00030557223	0.016461	0.01584324	0.014323871	0.66580087	0.26419136	0.0123390695
a20	1.4625783e-05	0.012715141	0.0003214964	0.013722193	0.008034667	0.022534622	0.37714875	0.5509547	0.014553873
a24	1.6489663e-05	0.014874402	0.00042160446	0.016825119	0.010563063	0.0277418	0.33428946	0.5759906	0.019277364
a31	1.4976794e-05	0.016103419	0.00032006227	0.013650814	0.00820939	0.024582887	0.30546	0.6154163	0.016242221
a8	6.8086076e-05	0.009092063	0.0003201143	0.01460437	0.014128852	0.013735141	0.6514216	0.28466645	0.011963345
</S>	1.7675735e-05	0.01135575	0.00031688233	0.0127875125	0.007194104	0.019372791	0.42502013	0.5114234	0.012511694
