 	ho	finito	di	scrivere	</S>
a38	0.94841623	0.00058567885	0.025419414	0.021847434	0.0037313197
a31	0.51414	0.00018090651	0.0046103387	0.4742826	0.0067861206
a15	0.66816837	8.561796e-05	0.0022271501	0.32603887	0.003479997
a18	0.335386	0.000161153	0.005638953	0.64257586	0.016238056
a31	0.4440226	0.00037433597	0.023917474	0.4861141	0.045571417
a37	0.7162218	0.0020868352	0.0373509	0.21162084	0.032719582
a31	0.31880817	0.00042607012	0.05677131	0.56323117	0.06076329
a0	0.3038602	0.0032469863	0.24487674	0.36321753	0.08479846
a31	0.073226765	0.00021909527	0.08326105	0.7617491	0.08154402
a18	0.15797643	0.003282879	0.17927623	0.6040354	0.05542911
a31	0.006392806	0.0005014219	0.040083807	0.9091713	0.04385065
a39	0.4509704	0.018869797	0.08193462	0.4323018	0.015923314
a20	0.019067645	0.0023432935	0.043719053	0.8864945	0.048375417
a31	0.050785962	0.0029141002	0.056167994	0.8368149	0.053317014
a8	0.5127653	0.028212339	0.08780884	0.35400954	0.017203953
a20	0.11305889	0.0040808255	0.038682617	0.8011198	0.04305784
a31	0.14361235	0.0048880023	0.05218028	0.7559731	0.04334627
</S>	0.3784402	0.034115154	0.08911313	0.4722562	0.026075354
