 	ora	che	loro	non	vengono	più	</S>
a39	0.07627862	0.0029242688	0.88205075	0.03815712	0.00046373767	9.020538e-05	3.5343975e-05
a20	0.15536772	0.008647619	0.76371723	0.060036473	0.00015270345	0.0118977185	0.00018052332
a13	0.1009224	0.0040055723	0.8670481	0.013574332	0.00020431036	0.013766773	0.00047857442
a17	0.056975573	0.0036060927	0.92162025	0.008714344	0.00016202434	0.008283218	0.00063840137
a39	0.04227456	0.002044032	0.9437688	0.0076799416	0.00010486124	0.0035260278	0.0006017647
a8	0.14513798	0.0056248764	0.83199805	0.015018429	0.00012055694	0.0018093529	0.00029066694
a31	0.23256809	0.029656714	0.70698464	0.03000166	0.00017100683	0.00050062384	0.00011728192
a15	0.03458029	0.004626357	0.945636	0.014863143	8.2877064e-05	0.00016827649	4.302891e-05
a38	0.30348438	0.014706522	0.65136844	0.02483202	0.00049230363	0.004289737	0.0008265747
a31	0.36248916	0.018108675	0.58655494	0.029155128	0.00058428093	0.0026128194	0.000494977
a13	0.057336573	0.0046873186	0.92006004	0.017255913	0.00026752823	0.00030607657	8.654909e-05
a20	0.29922715	0.005086834	0.6582602	0.028298419	0.0011472938	0.0069698673	0.0010102389
a7	0.3364094	0.0060990998	0.60985595	0.042386837	0.0010088171	0.0038083384	0.00043161
a11	0.2756875	0.0058016726	0.64276904	0.06734959	0.0018873654	0.005852104	0.000652686
a24	0.22074513	0.0055091125	0.66410553	0.098469615	0.002899879	0.0074835597	0.0007871817
a15	0.15217336	0.005589468	0.7071058	0.10498954	0.005355146	0.021826502	0.0029601408
a24	0.1762021	0.0065054446	0.6307808	0.1723637	0.005450377	0.0077547305	0.0009428325
a31	0.09431931	0.0040187575	0.6657253	0.19679984	0.0070747375	0.029208185	0.0028538327
a0	0.043932524	0.0019215205	0.86466	0.080975644	0.00244695	0.005127276	0.0009360837
a18	0.07715761	0.010207895	0.50639653	0.3334159	0.012629795	0.052246578	0.00794568
a31	0.08432692	0.016652629	0.5471892	0.30121064	0.011968539	0.0327659	0.0058861403
a38	0.050077688	0.0018483292	0.774851	0.1614992	0.0016577436	0.009480639	0.000585386
a31	0.08354141	0.03468471	0.51529425	0.2873291	0.010901639	0.057818435	0.010430461
a20	0.05218014	0.0014253969	0.7558147	0.18639675	0.00072485063	0.0032997846	0.00015837184
a31	0.07355857	0.038355973	0.593263	0.25256944	0.0054508927	0.03141724	0.00538495
a35	0.05481775	0.0013555996	0.7464172	0.1953424	0.0005319709	0.0014412658	9.367242e-05
a31	0.06119676	0.02381456	0.6517145	0.24983625	0.0023550987	0.009548894	0.001533878
a18	0.05637598	0.0014201887	0.75953716	0.18108791	0.0005625503	0.00092686975	8.9304696e-05
a31	0.06086452	0.029256873	0.63935363	0.25563148	0.0027028518	0.010237665	0.0019529891
a46	0.05715714	0.0015509763	0.76567394	0.17405003	0.0006082956	0.00086273224	9.690532e-05
a39	0.059978846	0.022449765	0.66538936	0.24342783	0.0020970856	0.005540809	0.0011163846
a31	0.06601474	0.020334883	0.68148416	0.22388536	0.0021286998	0.0051938677	0.00095832295
</S>	0.058017507	0.0016555334	0.7556886	0.18296108	0.0006479781	0.0009259547	0.00010330534
