 	lo	posso	finire	di	fare	</S>
a20	0.8200829	0.0024906996	0.0070404586	0.077741335	0.073986424	0.0186582095
a31	0.870088516667	0.00232136746667	0.00397817096667	0.0675011226667	0.039107316	0.0170035188333
a46	0.760622928889	0.00195011385556	0.00318282125556	0.137530691889	0.0560328356667	0.0406806076111
a31	0.579776716296	0.00223517221852	0.00458204361852	0.188779361963	0.161340006889	0.063286722537
a41	0.420914118765	0.00326731540617	0.00928537833951	0.264927345321	0.216508602296	0.085097254179
a18	0.335207986255	0.00526594913539	0.0327181501132	0.35079756844	0.181118187432	0.0948921397263
a7	0.383268402085	0.0063722887118	0.0532495357044	0.31166260948	0.170840899144	0.0746062349088
a41	0.390241607362	0.00559525390393	0.0504237529015	0.286666626493	0.193206126381	0.0738666183029
a31	0.265687526787	0.00364859241131	0.0334787538338	0.405164578831	0.190925262127	0.101095289434
a0	0.126367386596	0.00290553838044	0.0201569131446	0.484370182944	0.221702354042	0.144497636478
a31	0.0877674888653	0.00300619152681	0.0167017373815	0.496696654315	0.264644878014	0.131183073826
a39	0.0617487562884	0.0040335039756	0.0177919391272	0.474416674772	0.341336696005	0.100672432942
a46	0.0385543200961	0.00834149519187	0.0394532943757	0.324169501591	0.501538365335	0.0879429909807
</S>	0.034404182048	0.0108659905959	0.0560922071878	0.256720155796	0.570309782667	0.0716076454904
