 	era	molto	stanco	</S>
a46	0.1813635385	0.75440177	0.0524714135	0.0117633125
a8	0.212164342833	0.732973623333	0.0352955215	0.0195665328333
a37	0.120310692278	0.808228441111	0.0315811618333	0.0398796762778
a31	0.0750838020927	0.840188457037	0.0453648906111	0.0393627832593
a0	0.0544805406976	0.858467495679	0.0511880212037	0.0358638675864
a20	0.0492786835659	0.844501365226	0.0614701780679	0.0447497338621
a31	0.0408107570886	0.841560841742	0.0805547460226	0.037073673954
a39	0.0220079489295	0.860676250581	0.0737966920075	0.0435191629847
a41	0.0238598726432	0.845639513527	0.0825314360025	0.0479692359949
a31	0.0185863237811	0.864818864509	0.0822326640008	0.0343621939983
a28	0.013429190827	0.801769434836	0.146786754667	0.0380146633328
a11	0.013896103609	0.671264331612	0.272101101556	0.0427384887776
a20	0.011047276203	0.605044217204	0.347990623852	0.0359179119259
a31	0.00866606973433	0.651834379068	0.305823384617	0.033676189642
a11	0.00667881001144	0.649856746356	0.315664864872	0.027799571214
</S>	0.00676171465572	0.569707923178	0.400282382436	0.023247961107
