 	volevo	Maria	domani	di	venire	da	me	</S>
a20	0.64911603	0.00014725644	0.0252534246	0.014450094	0.28142441	0.00915874225	0.0179333585	0.00251663517
a24	0.52925264	0.000172869042	0.0371447585333	0.0276278083333	0.283636643333	0.01664284825	0.0937068871667	0.01181551739
a31	0.409630623333	0.000120059169333	0.0293392158444	0.0312218004444	0.374135047778	0.0220275370833	0.118871482389	0.01465423613
a17	0.364832917778	7.81498714443e-05	0.0211009579481	0.0275068738148	0.468851495926	0.0197353386944	0.0872419341297	0.0106522870433
a31	0.227670032593	3.97827584814e-05	0.0168554094494	0.0248365492716	0.638697361975	0.0162546889981	0.0674088527099	0.00823724654777
a37	0.272680117531	2.59940151605e-05	0.0133591592831	0.0192181497572	0.644423287325	0.0107320834327	0.03548260957	0.00407854578259
a10	0.504561529177	2.20791563868e-05	0.014007719761	0.0163195805857	0.429861795775	0.0076391983109	0.0249417068567	0.00264637362753
a31	0.508146583059	1.86222781289e-05	0.0102295084203	0.0147786955286	0.446123248592	0.0075441032703	0.0118325441522	0.00132667194251
a20	0.539078157686	1.52250393763e-05	0.0106691473068	0.0129609315095	0.422398812864	0.00705915205677	0.00685685998407	0.000961702547503
a33	0.772738489229	1.45267161254e-05	0.0100036661023	0.00748175590317	0.201837257621	0.00330908445226	0.00396221896136	0.000653026325834
a20	0.88345822641	1.30619563751e-05	0.00555583476743	0.00409629306772	0.102817156874	0.00167077953742	0.00200541725379	0.000383243975278
a31	0.726526698803	1.31157614584e-05	0.00685852032248	0.00603224605591	0.255163366625	0.00310839599914	0.00191031801793	0.000387332715093
a5	0.626823562934	2.60108334861e-05	0.0145859091075	0.010298916352	0.327368446875	0.00771666023305	0.00904754923931	0.0041329357717
a17	0.795342044311	3.14650258287e-05	0.0161656653692	0.00872838325067	0.153944454292	0.00835064224435	0.0117474844131	0.00568986369057
a11	0.795530931437	4.28371789429e-05	0.0177082467897	0.0111022518836	0.143415915431	0.0128475912481	0.013605328471	0.00574690166352
a10	0.613033300479	6.3635220981e-05	0.0310199669299	0.0215156022945	0.280482688477	0.0261567907494	0.020539740157	0.00718827642117
a31	0.482343446826	9.19160849937e-05	0.0460714689766	0.0244732770982	0.398754849492	0.0251183482498	0.018485496719	0.00466116810706
a24	0.526050655609	0.000110677398331	0.0447536649922	0.0210677903661	0.368648843164	0.0192770297499	0.0166154972397	0.00347580046902
a46	0.492137635203	0.00010993302611	0.0347038039974	0.024661460122	0.399122434388	0.0260944799166	0.0188479590799	0.00432229615634
a20	0.382917878401	0.000140370332037	0.0316074793325	0.0308047227073	0.488325258129	0.0324580686389	0.02696770236	0.00677852571878
a31	0.3995027928	0.000175097924012	0.0254751491108	0.0246807569024	0.495136419376	0.0243387850796	0.02457696362	0.00611399749626
a20	0.388113770933	0.000207010898004	0.0216084817036	0.0230262726341	0.521475873125	0.0205932062265	0.0201835517067	0.00479181642209
a31	0.357182313644	0.000246948266001	0.0182809985679	0.0216242492114	0.561549004375	0.0188752145088	0.0179413659689	0.00429991475736
</S>	0.375443256822	0.000265110458	0.013645615784	0.0138966756057	0.572718022188	0.0112355844044	0.0105210145844	0.00227471780368
