 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a23	0.0062569263	0.0029992785	0.00714062	0.025279315	0.013326041	0.03636793	0.028237551	0.010534329	0.04292126	0.09748931	0.7294475
a31	0.05422914	0.067958474	0.123246044	0.51906437	0.08806654	0.035541043	0.08267872	0.00018225946	0.0027790177	0.012835449	0.013419006
a20	0.106835574	0.0010079839	0.007096238	0.1533803	0.0049849125	0.010693908	0.25083065	0.0032635161	0.1392555	0.32262072	3.0671596e-05
a13	0.15673533	0.57808137	0.02613579	0.053823132	0.03029726	0.0052468716	0.023914652	0.021897485	0.017366948	0.079276696	0.007224432
a37	0.078449674	0.3177615	0.046292394	0.07239118	0.03146742	0.011991426	0.037931424	0.05422444	0.030094136	0.28773415	0.031662304
a31	0.17076291	0.38982555	0.038792823	0.06357613	0.03302129	0.019397354	0.07367663	0.040507156	0.008309777	0.11854228	0.043588042
a43	0.06608239	0.050733075	0.00855926	0.008653606	0.003476954	0.002993314	0.06563898	0.0049471334	0.06412595	0.6915802	0.03320919
a31	0.09670929	0.052086286	0.09820405	0.10708306	0.07797356	0.20474139	0.26816976	0.0116388695	0.009465772	0.013633702	0.06029428
a24	0.2150101	0.05519389	0.13715054	0.120589845	0.0721431	0.10695687	0.19389065	0.009507323	0.009382563	0.04824465	0.031930525
a7	0.037256714	0.015712244	0.03784234	0.070082545	0.052237816	0.2989081	0.31653652	0.005487824	0.016045535	0.024737014	0.12515329
a31	0.10306438	0.05773112	0.07781132	0.077400275	0.09876589	0.3124745	0.23802432	0.005592017	0.0046352684	0.0064330273	0.018067922
a13	0.19690956	0.045313176	0.17131898	0.13092147	0.051457193	0.0817291	0.19332966	0.0091394475	0.014007706	0.06923378	0.03663995
a28	0.12152277	0.024135062	0.033886455	0.05965811	0.055602808	0.30764017	0.2625951	0.0065577845	0.018718518	0.015053467	0.09462976
a20	0.07878348	0.034149818	0.10234834	0.12385378	0.08554688	0.32062724	0.22078313	0.0050211414	0.010280003	0.010229188	0.008377005
a31	0.12628245	0.0452085	0.062475014	0.10287213	0.09429102	0.2609215	0.2344475	0.008669724	0.016653864	0.01462573	0.03355259
a37	0.055407576	0.016178867	0.17216198	0.25657222	0.035020784	0.029002642	0.06938382	0.0026649458	0.025935	0.26815784	0.0695143
a1	0.4330552	0.03120719	0.059365604	0.076915115	0.05860317	0.13860957	0.08792262	0.02184055	0.02256322	0.012868917	0.05704889
a28	0.10709159	0.018048352	0.1904426	0.26860863	0.046047572	0.17931525	0.069925085	0.012212661	0.0316436	0.029205155	0.04745947
a1	0.23470843	0.016648455	0.077614166	0.16768834	0.06416168	0.22752887	0.039701212	0.034252144	0.046038758	0.024227057	0.06743094
a28	0.1907102	0.019306418	0.0636543	0.1630217	0.07525287	0.2401418	0.038590543	0.037940837	0.05035883	0.032292724	0.08872977
a31	0.19453189	0.03266848	0.05377899	0.11831609	0.07650668	0.18171419	0.047975656	0.058961455	0.06678532	0.04849593	0.1202653
a20	0.06645257	0.015644617	0.21808083	0.34967467	0.057475686	0.068546824	0.022540022	0.0062039653	0.017457658	0.11724146	0.060681652
a31	0.31187335	0.02880073	0.05451166	0.12622471	0.10804359	0.14906873	0.046235833	0.05250871	0.03612414	0.028240496	0.058368027
a20	0.047128394	0.016782878	0.12735909	0.184038	0.053008907	0.06225518	0.029503562	0.02029052	0.027721	0.2238588	0.2080537
a31	0.13296188	0.049723577	0.07787646	0.1629938	0.13775547	0.17690717	0.063545525	0.05506292	0.04851432	0.04573975	0.048919175
a8	0.05440352	0.02845395	0.044051513	0.073543124	0.04576188	0.06493402	0.058400534	0.059494022	0.07648092	0.24328405	0.25119254
</S>	0.10833765	0.06893272	0.0849543	0.13360396	0.11911779	0.14181083	0.07639011	0.06817773	0.06642358	0.06579714	0.06645425
