 	mia	sorella	quest'	anno	che	viene	vuole	diventare	dottoressa	</S>
a31	0.015818734	0.006316463	0.01316351	0.1114549	0.015948065	0.060534593	0.010310326	0.053133197	0.29009286	0.42322734
a41	0.18824805	0.00020214768	0.008612014	0.23002996	0.0040216306	0.00763258	0.4814382	0.06516496	0.0045224945	0.010127962
a31	0.3592177	0.094543196	0.19448498	0.26716238	0.020763593	0.0033041516	0.045530334	0.011924768	0.00018637904	0.0028825318
a20	0.11646857	0.0025307606	0.03071643	0.17017132	0.02528071	0.001490693	0.61406034	0.03751226	0.00025032606	0.0015185461
a31	0.2083379	0.009980116	0.022980362	0.10603256	0.056862734	0.047222394	0.38015488	0.077911384	0.004034874	0.08648284
a37	0.16993424	0.057053886	0.019810235	0.049899768	0.27731735	0.23668055	0.10364005	0.065380424	0.0071260827	0.013157506
a16	0.35071328	0.0031335785	0.026900366	0.0647856	0.0709598	0.30960435	0.06718716	0.056272537	0.012261005	0.038182337
a35	0.9071232	0.001491176	0.014830857	0.0066247913	0.006280385	0.017924078	0.0305319	0.0056771403	0.0021303962	0.0073860926
a24	0.42772663	0.0011681546	0.01726662	0.034094363	0.16862352	0.23768415	0.055675864	0.010878606	0.018661479	0.028220508
a31	0.3747439	0.0011125251	0.0074901297	0.026377529	0.21653792	0.2587999	0.026261566	0.013732566	0.036306098	0.038637765
a39	0.61625654	0.00061785505	0.0046727746	0.046570323	0.058295134	0.021266233	0.1850583	0.059931707	0.002591111	0.0047400543
a31	0.14148927	0.007699122	0.00541264	0.031340435	0.15531228	0.2179216	0.023569359	0.030475311	0.25160483	0.13517515
a20	0.10268184	0.0007924753	0.01827647	0.21665391	0.13570894	0.21426913	0.15977372	0.08450793	0.027391525	0.039944157
a31	0.19376165	0.011779138	0.0072246273	0.038196817	0.19194123	0.19620013	0.03422504	0.027175847	0.18586345	0.11363209
a3	0.027538288	0.0012943737	0.012526258	0.17936476	0.07286965	0.26164302	0.10814721	0.10409466	0.08530415	0.14721759
a20	0.16958432	0.01757132	0.013873811	0.07478826	0.27185437	0.23554648	0.09051694	0.03137605	0.056966055	0.037922394
a31	0.061457638	0.006138837	0.005449736	0.041685887	0.16865647	0.2644396	0.027116315	0.037551608	0.256988	0.13051592
a37	0.043243136	0.0034939146	0.012840143	0.21644592	0.093239196	0.15613227	0.06892779	0.055738352	0.109612696	0.24032661
a31	0.13892207	0.021683928	0.020216154	0.10985868	0.26176384	0.25807843	0.09904348	0.033876874	0.03176428	0.02479218
a20	0.06113022	0.007297246	0.015318816	0.17475167	0.11604239	0.1366779	0.08931028	0.07327879	0.08752809	0.2386646
a28	0.12203183	0.025463456	0.027175438	0.14219017	0.24464405	0.27301022	0.082500815	0.03332635	0.026280925	0.023376746
a31	0.091066785	0.035009734	0.028873792	0.1450806	0.24552977	0.260874	0.06934844	0.038143735	0.044898722	0.041174438
a20	0.0472864	0.010359744	0.01580323	0.2371361	0.13387704	0.11402942	0.071157455	0.07615698	0.06494276	0.22925088
a31	0.10893773	0.04410828	0.04012751	0.1367775	0.22092326	0.27144808	0.062456578	0.040279645	0.038656477	0.036284972
a33	0.0570105	0.017985059	0.020922171	0.12463312	0.11637265	0.14656857	0.09648956	0.1299814	0.07883605	0.21120088
</S>	0.101165794	0.07834444	0.075725324	0.11349217	0.14401422	0.18185738	0.08208266	0.0747116	0.074787736	0.073818654
