 	ieri	abbiamo	deciso	di	andare	al	mare	tutti	ma	mio	fratello	non	voleva	venire	</S>
a31	0.0060727485	0.002802343	0.0030270573	0.0026331753	0.0044403253	0.0046229186	0.005695154	0.00803852	0.014896628	0.03035095	0.019550573	0.0072007915	0.049337327	0.11626256	0.725069
a46	0.00026689004	0.0024375203	0.0015965172	9.1910195e-05	0.00040996048	0.0024717273	0.026395157	0.09699301	0.188162	0.089437865	0.29202583	0.06293448	0.17285465	0.06003418	0.0038883209
a31	0.0154596055	0.38325235	0.4109608	0.062126588	0.0349272	0.0227685	0.023682686	0.012680201	0.010136984	0.004867089	0.006484874	0.0063140667	0.003905637	0.0019943314	0.00043908844
a46	3.4536417e-05	0.71973497	0.024212193	0.0015265258	0.0047852453	0.0010151403	0.0033968799	0.0036621774	0.011499877	0.0033754646	0.019033035	0.013253994	0.16358684	0.030854385	2.869008e-05
a8	0.013500054	0.011963568	0.026213225	0.00976845	0.011870195	0.016950618	0.041628607	0.06746378	0.11369307	0.2021166	0.29582158	0.0728653	0.024638813	0.046484064	0.045022074
a31	0.005858278	0.0015170868	0.0014311435	0.003467623	0.021183643	0.018101057	0.046183985	0.10132004	0.24392076	0.36029318	0.11716243	0.005451602	0.012388356	0.016044127	0.045676794
a28	0.01421168	0.006744052	0.011499842	0.013741736	0.037865445	0.09082347	0.15450625	0.22015984	0.20960791	0.1048094	0.048634615	0.011272339	0.018935546	0.03138072	0.02580707
a8	0.004219128	0.0014626986	0.0032591326	0.00276143	0.021092981	0.025871627	0.056012474	0.1278668	0.2048775	0.25247464	0.062275533	0.0024551393	0.009721477	0.034070037	0.19157937
a31	0.021644512	0.009046486	0.008688429	0.023725959	0.16007519	0.0891846	0.10037838	0.12781076	0.1847687	0.17073944	0.044464797	0.0024106586	0.0068970397	0.013470217	0.036694746
a11	0.021844836	0.013202704	0.029562205	0.023515163	0.04853246	0.09843671	0.16229098	0.23196596	0.172429	0.07278314	0.04547977	0.013312423	0.017763859	0.032418534	0.016462259
a31	0.0062683295	0.0023578843	0.0052248435	0.0056301584	0.03447818	0.04494487	0.08963332	0.17592585	0.2001147	0.17279103	0.038476396	0.0023859378	0.008655469	0.026288668	0.18682437
a11	0.017638624	0.025712945	0.06763653	0.02522853	0.046302415	0.07996321	0.11847688	0.1625832	0.13214266	0.049769368	0.043734815	0.032395307	0.08110224	0.090116985	0.027196305
a39	0.0139605235	0.012682189	0.015319423	0.011918837	0.064758256	0.071415566	0.120141566	0.19607757	0.2135573	0.12508173	0.054085676	0.004308951	0.017632816	0.022246562	0.056813024
a31	0.03619602	0.015044017	0.018992824	0.030517248	0.23669086	0.13542548	0.12075586	0.13472806	0.135488	0.0945415	0.028659828	0.0024750403	0.0012483108	0.0023169704	0.006919954
a8	0.0051528737	0.028284052	0.04696815	0.012112818	0.024138978	0.029835533	0.04744658	0.07192843	0.07103344	0.023240812	0.039513186	0.03222024	0.3083993	0.23915921	0.020566491
a46	0.010956205	0.008496226	0.008387382	0.010902299	0.091962755	0.08460234	0.11985789	0.18138832	0.21509008	0.14712462	0.044898126	0.0023537704	0.010035376	0.01150972	0.05243479
a35	0.026534371	0.013975059	0.030706406	0.03703529	0.2186945	0.16356389	0.12328837	0.13814543	0.13429528	0.07723934	0.021625351	0.0018068012	0.0013664932	0.0037070112	0.008016344
a31	0.0051172297	0.013967818	0.03269352	0.052663844	0.1900318	0.12947999	0.10355485	0.12228945	0.16639614	0.1059651	0.015743937	0.0016359048	0.007208279	0.019317731	0.033934467
a24	0.0021804222	0.017257668	0.023996076	0.008310255	0.0427605	0.02214365	0.056202468	0.106299564	0.09528685	0.029606963	0.023984727	0.004464172	0.095325485	0.44237116	0.029810019
a31	0.0027535092	0.0015651423	0.005186508	0.006489711	0.053255297	0.05130282	0.08241847	0.15963729	0.15234149	0.087027356	0.016503483	0.0045401677	0.021735497	0.05464752	0.30059576
a28	0.009057786	0.004559156	0.033212613	0.013924474	0.027281938	0.045922924	0.087877646	0.15906836	0.12654538	0.10528094	0.08445809	0.01580672	0.03897194	0.15922925	0.08880285
