 	io	voglio	che	Maria	venga	qui	</S>
a31	0.52171633	0.01851038	0.046900945	0.0310744805	0.0476532695	0.07810775	0.256036909
a39	0.577403233333	0.0479012196667	0.0996371783333	0.0400171675	0.0796868361667	0.041798642	0.113555809
a31	0.414321734444	0.0721648898889	0.230899502778	0.0457558328333	0.136490028722	0.0312911273333	0.069076953
a37	0.259652773148	0.049304589963	0.327512844259	0.121755362944	0.167643699574	0.0255498724444	0.04858087
a31	0.333077629383	0.0359704059877	0.271821684753	0.154880244981	0.150860613191	0.0284037678148	0.024985657
a11	0.503230819794	0.0411552013292	0.143723803918	0.069445206327	0.172330521064	0.0410912442716	0.0290231983333
a20	0.519964739931	0.0447720831097	0.0852507549727	0.032132285109	0.227000463688	0.0497060990905	0.0411735407778
a4	0.60867392331	0.0326162723699	0.0518963363242	0.0179117700363	0.162632599896	0.0750064506968	0.0512626722593
a24	0.576824484437	0.0208506684566	0.0249807747747	0.00958217967877	0.0829029829653	0.179371720232	0.105487236086
a31	0.466116944812	0.0203704851522	0.0792957442582	0.0488660602263	0.0653664753218	0.185494566744	0.134489728695
a11	0.469299488271	0.0241664117174	0.110511505419	0.0756901000754	0.0683963651073	0.153792648915	0.0981434822317
a24	0.433065909424	0.0429485339058	0.082883707473	0.0612037876918	0.0671356497024	0.222796359638	0.0899660500772
a31	0.300965763141	0.0665361959686	0.111284447491	0.147055700231	0.0733787145675	0.199320399879	0.101458796692
a46	0.228480847714	0.0814773416562	0.12688335583	0.190518086744	0.0927302981892	0.174610023293	0.105300073897
a8	0.230569695905	0.0990566222187	0.11903402861	0.139150225581	0.107877576063	0.193768437764	0.110543409632
</S>	0.230430732952	0.108241336109	0.122298674305	0.13071580279	0.109849248032	0.186214398882	0.112249789816
