 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
a31	0.7386246	0.25224826	0.0018998868	0.0005510619	0.00023579337	0.0007555941	0.00071092596	0.004143928	0.0008299887
a24	0.4325586	0.40769932	0.069416314	0.048446897	0.00056944246	5.1044513e-05	0.027243163	0.013638802	0.00037646285
a28	0.016465921	0.045835413	0.6452654	0.29173645	2.8989902e-05	1.0399589e-06	0.00027621645	0.00032742677	6.3108164e-05
a31	0.02185104	0.06696245	0.3943217	0.51609516	1.8778721e-05	1.706205e-06	0.00020043792	0.00043480273	0.00011396113
a8	0.026239907	0.089310616	0.5537247	0.3304285	8.9254245e-05	1.3728637e-06	0.00011596372	7.544306e-05	1.4190804e-05
a0	0.124573335	0.17339672	0.4650775	0.23545177	0.00020939075	1.49215375e-05	0.0010598664	0.00020986485	6.6892026e-06
a31	0.24413173	0.10274145	0.35119516	0.27518082	0.002065653	0.0011290236	0.012671433	0.006079994	0.0048048436
a39	0.2066316	0.09206804	0.21296224	0.23015325	0.012609895	0.008174069	0.13600433	0.07799056	0.023405982
a31	0.1533316	0.07941617	0.11810228	0.113658495	0.019538386	0.021552442	0.3330633	0.13490689	0.026430454
a8	0.053202875	0.031306975	0.04332435	0.039946362	0.022544177	0.022043064	0.12890238	0.41812637	0.24060339
a31	0.024847245	0.028585048	0.022313401	0.025709247	0.014499069	0.014566052	0.073393844	0.6042076	0.19187851
a24	0.06338776	0.060834497	0.062203	0.06168232	0.05944539	0.059257552	0.06760534	0.13049017	0.435094
a46	0.05785421	0.06058782	0.05722534	0.058982417	0.0545946	0.054741517	0.066634335	0.14609247	0.44328728
a31	0.06468982	0.062050194	0.06272224	0.062418878	0.05776809	0.05733763	0.07010267	0.1231704	0.43974006
a1	0.075667955	0.075341664	0.07533915	0.07541114	0.07427041	0.07414953	0.07985242	0.09110193	0.37886578
a31	0.06724721	0.06804216	0.06650789	0.0672937	0.06359064	0.063380234	0.07315795	0.13690856	0.39387164
</S>	0.087386146	0.08715035	0.087189645	0.08719025	0.0866347	0.086537056	0.089975424	0.093792886	0.2941435
