 	che	non	li	aspettiamo	</S>
a20	0.5019066	0.24790083	0.22312044	0.005129081	0.021943051
a8	0.015380063	0.03284764	0.9514869	6.0270533e-05	0.00022513863
a7	0.05271401	0.8698148	0.07554066	0.00018464023	0.0017458104
a35	0.017620608	0.09868757	0.85571665	0.00019281755	0.027782341
a46	0.017585171	0.042221628	0.93596566	0.00012135557	0.0041061835
a31	0.70680755	0.13479444	0.15500817	0.00012350663	0.0032663206
a11	0.8279163	0.103970066	0.028201064	0.0034175788	0.036494836
a31	0.64850783	0.15418366	0.029906502	0.0027629717	0.16463904
a0	0.37089357	0.2956244	0.041010182	0.0959357	0.19653612
a31	0.34495825	0.2627943	0.025192747	0.040531456	0.3265232
a30	0.18110955	0.16746998	0.08514218	0.13895081	0.42732742
a0	0.19169247	0.17770271	0.07544167	0.13965917	0.415504
a31	0.24582434	0.23726223	0.07746087	0.15479001	0.28466254
</S>	0.14028609	0.1369934	0.10838864	0.12972127	0.48461062
