 	se	vuoi	restare	sempre	magro	non	magniare	la	sera	</S>
a31	0.5799236	0.016286585	0.028191734	0.03828547	0.07048908	0.077560365	0.018250952	0.056817047	0.09883436	0.015360856
a24	0.0012560657	0.09585628	0.4763391	0.10199917	0.1809091	0.12099424	0.00012799047	0.016103374	0.005877438	0.000537215
a16	0.0014211134	0.06506536	0.46937573	0.2839267	0.093662985	0.08380648	0.0021249172	0.00047910895	0.00013534717	2.3086916e-06
a28	0.0011910069	0.064691484	0.5385698	0.30072445	0.064099476	0.029972035	0.00037093152	0.00023216574	0.00014007362	8.542501e-06
a31	0.0021287017	0.026715016	0.36751527	0.54059905	0.01705634	0.04497289	0.00021193047	0.0005284375	0.00026041543	1.1910612e-05
a37	0.019391641	0.023535693	0.22920685	0.6358629	0.011996421	0.070812985	0.000687066	0.0026678094	0.005688171	0.00015045326
a24	0.13191508	0.06453473	0.29214367	0.41128415	0.019291773	0.04249214	0.00098199	0.009694956	0.026348112	0.0013134002
a46	0.13868168	0.05757566	0.26567563	0.32504636	0.041213702	0.055624124	0.0007618794	0.02498348	0.078599766	0.011837746
a31	0.1574376	0.06716415	0.2049265	0.37258545	0.03894043	0.04338209	0.0027765105	0.02156502	0.0763022	0.014920067
a10	0.12950265	0.055252783	0.12486219	0.16826677	0.17545284	0.10739848	0.0012774444	0.055200525	0.087740265	0.09504606
a11	0.14397244	0.046410494	0.09090595	0.13715032	0.14878123	0.14131762	0.00059572846	0.038766954	0.11524635	0.13685298
a31	0.1858153	0.052900255	0.093477026	0.14324428	0.12689787	0.09547342	0.0004821488	0.039787255	0.09745057	0.16447183
a0	0.20780024	0.08755377	0.10511195	0.13554704	0.21138495	0.10468596	0.0016150264	0.04828983	0.041055404	0.05695577
a31	0.07363581	0.07636515	0.05484989	0.18000409	0.030761877	0.035682824	0.0023498558	0.0743558	0.13575982	0.33623493
a39	0.20395431	0.15340261	0.11771428	0.16584496	0.19245616	0.058771454	0.0071064746	0.04500521	0.036317006	0.019427547
a29	0.08268247	0.19732068	0.08245979	0.24155433	0.056519527	0.035633888	0.007905428	0.15826239	0.06822625	0.06943526
a41	0.10925899	0.24379821	0.08611945	0.2542244	0.07734997	0.033371896	0.015347111	0.08620847	0.05594748	0.038374085
a35	0.11832443	0.21809834	0.10046818	0.24669132	0.08201421	0.03204528	0.0077922326	0.10914017	0.065637775	0.019788055
a20	0.09930251	0.24974282	0.08204612	0.28101808	0.065719604	0.032376338	0.011882311	0.08590844	0.061907627	0.03009613
a31	0.107841	0.28852683	0.09118701	0.26723057	0.081617676	0.03371252	0.017839696	0.04823807	0.035536245	0.028270425
a37	0.061347056	0.38204065	0.056291673	0.25071713	0.053838752	0.03957013	0.032894183	0.05103577	0.031904377	0.04036027
a2	0.062444337	0.35208362	0.060521804	0.13076098	0.059311435	0.05871721	0.05388319	0.08804585	0.063413724	0.07081776
a20	0.07347389	0.25831145	0.070783556	0.10268845	0.07238475	0.07094334	0.06980481	0.06832586	0.050688364	0.16259553
a0	0.080756575	0.18507014	0.08031239	0.09700879	0.079855226	0.080093674	0.07827809	0.09288877	0.081649624	0.14408673
a31	0.0891466	0.120061256	0.08772246	0.09714467	0.0864527	0.08990523	0.08737787	0.10470664	0.10019235	0.13729015
a16	0.0846828	0.17237557	0.08421251	0.09769514	0.08425197	0.08395351	0.08326056	0.0868839	0.07787378	0.14481018
a31	0.08894316	0.09764882	0.088593856	0.09190198	0.0878319	0.089709826	0.08826774	0.10324281	0.10038715	0.1634728
a20	0.09132321	0.115792036	0.09126913	0.09536157	0.091175474	0.09158375	0.09085545	0.09373108	0.08782582	0.15108247
</S>	0.08967362	0.09793265	0.08979386	0.091583654	0.08946857	0.090228096	0.0893088	0.09609087	0.09320766	0.17271218
